 	les	gens	sont	en	train	de	huer	le	voleur	</S>
a15	0.243631	0.201161	0.150356	0.121481	0.105339	0.0681229	0.0543123	0.0306277	0.0163938	0.00857605
a66	0.331911	0.211558	0.11566	0.0930306	0.0722242	0.0652496	0.0578517	0.0282893	0.0144503	0.00977408
a87	0.295317	0.238115	0.171042	0.119398	0.0740155	0.0464795	0.0231524	0.0115089	0.0105092	0.0104621
a23	0.285539	0.219202	0.177398	0.131674	0.0838299	0.0600129	0.0241539	0.00749157	0.00562	0.00507863
a87	0.323235	0.188635	0.131433	0.0984015	0.0677489	0.0522296	0.0420484	0.0341907	0.0333057	0.0287717
a23	0.347906	0.208252	0.128756	0.0908563	0.0533691	0.0433874	0.0370692	0.0304522	0.0313078	0.0286432
a99	0.278932	0.145163	0.0881239	0.0712787	0.0560494	0.0535847	0.0780339	0.0812041	0.0779202	0.0697105
a94	0.138524	0.0772748	0.0570497	0.0616113	0.0689325	0.0866103	0.206929	0.12155	0.0995613	0.0819574
a70	0.143127	0.102901	0.0986947	0.119214	0.118101	0.117985	0.138266	0.0712369	0.0519702	0.0385048
a13	0.0648576	0.0632055	0.0816336	0.100648	0.104056	0.131748	0.149853	0.127368	0.103559	0.0730711
a53	0.047384	0.0480316	0.0690669	0.0933398	0.111324	0.146835	0.141705	0.115475	0.117905	0.108934
a4	0.0398066	0.0441341	0.07189	0.103661	0.129145	0.16518	0.137934	0.107422	0.106303	0.0945252
a15	0.0396849	0.0423076	0.0644514	0.0887923	0.106701	0.130375	0.113763	0.11897	0.145367	0.149589
a6	0.0396389	0.0425468	0.0642973	0.0906413	0.109083	0.134492	0.10821	0.107029	0.146872	0.15719
a56	0.0294906	0.030266	0.0433794	0.0627835	0.0847187	0.106928	0.102717	0.134702	0.194775	0.210239
a37	0.0169239	0.0160341	0.0206136	0.0288466	0.0437989	0.062502	0.0745982	0.134705	0.254584	0.347394
a34	0.0169958	0.0147565	0.0172721	0.0244432	0.0401285	0.0600901	0.0740875	0.137033	0.258214	0.35698
a96	0.00694875	0.00587159	0.00626535	0.00853144	0.0161261	0.0279527	0.0528499	0.16435	0.312368	0.398737
a90	0.00398144	0.00314095	0.00321683	0.00427745	0.00825587	0.0167593	0.0328833	0.146365	0.317001	0.464118
a79	0.00319204	0.00263593	0.00298116	0.00447349	0.00997314	0.021718	0.0463496	0.171429	0.352363	0.384885
a44	0.0029854	0.00206864	0.00218242	0.00330191	0.00731709	0.0146416	0.0301576	0.137841	0.348768	0.450737
a93	0.00145532	0.000987975	0.000948774	0.00142037	0.00320543	0.00667101	0.0139583	0.091375	0.321502	0.558476
a4	0.000689428	0.00051434	0.000492315	0.000712174	0.00146674	0.00283806	0.00759402	0.0742629	0.303193	0.608236
a70	0.000334114	0.000265955	0.00026217	0.000355462	0.000710283	0.00124897	0.00319777	0.0433706	0.273549	0.676706
a13	0.000341213	0.000279367	0.000263223	0.000344953	0.000595736	0.00106635	0.00312433	0.0418298	0.260214	0.691941
a3	0.000814185	0.000640091	0.000608253	0.000864294	0.00146146	0.00254919	0.00545208	0.0550284	0.272095	0.660487
a97	0.0267218	0.0173818	0.0139294	0.0184652	0.0298698	0.0313893	0.0271512	0.0756117	0.234503	0.524976
a87	0.210308	0.171547	0.139984	0.125415	0.114677	0.0706365	0.0307687	0.0295082	0.046792	0.0603627
a23	0.188384	0.159376	0.133289	0.122978	0.117338	0.086368	0.0340242	0.0365026	0.0584683	0.0632723
a87	0.210764	0.141109	0.0888028	0.0766932	0.0731452	0.0473733	0.0211939	0.0468997	0.117769	0.176249
a23	0.0655824	0.0494212	0.0424507	0.0437781	0.0530191	0.0479359	0.0316939	0.0964734	0.221309	0.348337
a10	0.112451	0.0855106	0.0663653	0.0661496	0.0788982	0.0653159	0.0337008	0.0912239	0.179168	0.221217
a87	0.0941103	0.0722374	0.0595813	0.0632911	0.0808195	0.0739229	0.0441138	0.109113	0.183622	0.219188
</S>	0.0845149	0.0742879	0.0668244	0.067969	0.0782378	0.0685219	0.0451523	0.110306	0.189962	0.214223
