 	la	femme	du	chef	coutumier	prend	soin	de	ses	habits	</S>
a66	0.206996	0.189571	0.181183	0.171058	0.090432	0.0541308	0.0465905	0.0258022	0.0149749	0.0104554	0.00880556
a87	0.434732	0.242517	0.112188	0.0805744	0.0301848	0.0196933	0.0150589	0.0136573	0.0164059	0.0185163	0.0164721
a23	0.342095	0.243877	0.142181	0.12304	0.0425211	0.025106	0.0185414	0.0124552	0.0145537	0.0171904	0.018439
a38	0.22384	0.163278	0.114415	0.143904	0.0809991	0.0606568	0.0397673	0.0318959	0.0406303	0.0493518	0.0512613
a44	0.187561	0.181386	0.135919	0.145332	0.0675917	0.0472859	0.0272749	0.0297482	0.0490553	0.0626755	0.0661713
a54	0.294524	0.23224	0.151322	0.139599	0.0696522	0.0371794	0.0156957	0.0123902	0.0152277	0.0167154	0.0154554
a6	0.256104	0.210201	0.143258	0.122463	0.0844394	0.0579531	0.0263702	0.0187122	0.0238918	0.0290162	0.0275913
a0	0.256798	0.237083	0.15099	0.112503	0.0844502	0.0550942	0.0220819	0.014908	0.019072	0.0238761	0.0231438
a75	0.169555	0.201934	0.171902	0.143505	0.113498	0.0766662	0.031538	0.0191175	0.0210859	0.0252534	0.0259448
a79	0.150124	0.180015	0.155964	0.126802	0.121446	0.0909772	0.0434079	0.0297882	0.0282629	0.0357405	0.0374723
a37	0.130298	0.15508	0.152719	0.141584	0.150553	0.110952	0.05526	0.0270466	0.0212357	0.0259034	0.0293675
a79	0.109203	0.122876	0.129035	0.139611	0.159109	0.138576	0.0909202	0.0300135	0.0229611	0.0268204	0.030876
a92	0.0558531	0.0743794	0.107164	0.149535	0.19153	0.160579	0.105728	0.0469829	0.0329179	0.0357083	0.0396231
a21	0.0361106	0.0477089	0.0907814	0.138811	0.199804	0.180098	0.128261	0.0599591	0.0387528	0.0384887	0.0412255
a5	0.0167572	0.0203189	0.04131	0.0728622	0.138275	0.166771	0.194371	0.108862	0.0756976	0.0779741	0.0868013
a23	0.00765676	0.00972561	0.0246541	0.055012	0.114979	0.163369	0.235608	0.131554	0.0871435	0.0831995	0.0870982
a27	0.00457248	0.00640005	0.0179548	0.0471523	0.0947479	0.162239	0.27503	0.153028	0.0864372	0.0740516	0.0783869
a40	0.0111436	0.0138735	0.0199439	0.0366408	0.0563715	0.128068	0.265843	0.156593	0.100716	0.0983464	0.112461
a5	0.00580781	0.00730799	0.0151146	0.029503	0.0537544	0.0754703	0.153019	0.156681	0.150047	0.156427	0.196867
a61	0.00284196	0.00332903	0.00745065	0.0175933	0.0384687	0.074039	0.204517	0.225124	0.160566	0.129248	0.136822
a12	0.00427509	0.00484867	0.00964703	0.0216784	0.0399171	0.0731326	0.180024	0.218416	0.164316	0.134706	0.149039
a34	0.00227297	0.00261189	0.00539594	0.0131714	0.0287745	0.0594477	0.143497	0.208408	0.18903	0.166389	0.181001
a93	0.0042041	0.00486629	0.00852555	0.0168706	0.0281395	0.0578605	0.134159	0.19273	0.203289	0.17364	0.175716
a96	0.0018375	0.00221563	0.0038488	0.00864753	0.01577	0.034595	0.0941937	0.185104	0.237935	0.215385	0.200468
a62	0.00158741	0.00197604	0.00293491	0.00566621	0.00816474	0.0197814	0.0490655	0.11897	0.221164	0.276869	0.293821
a21	0.00130595	0.00183381	0.00341753	0.00649234	0.0107556	0.0244848	0.0551376	0.102247	0.193035	0.291599	0.309691
a47	0.000431924	0.000501494	0.000814372	0.00150855	0.00323476	0.00909031	0.0287379	0.0766623	0.191671	0.342299	0.345049
a31	0.000795591	0.00109626	0.00197338	0.00419824	0.00670821	0.015003	0.029129	0.0728262	0.183959	0.320512	0.363799
a12	0.000653419	0.000920207	0.00176889	0.00378414	0.00652611	0.0149823	0.028575	0.0643015	0.149834	0.303082	0.425573
a18	0.000381425	0.000565255	0.00102334	0.0021756	0.00424149	0.0103077	0.0249146	0.0541627	0.135632	0.32351	0.443086
a96	0.00330805	0.00343457	0.00552156	0.00897274	0.0118054	0.020494	0.028919	0.0649308	0.141214	0.277189	0.43421
a62	0.000535087	0.00073722	0.00135993	0.00296959	0.00476763	0.0107811	0.019292	0.049012	0.125564	0.296602	0.488379
a88	0.000688186	0.000966073	0.00182826	0.00389897	0.00618518	0.0128424	0.0202734	0.047736	0.117905	0.289229	0.498448
a71	0.00114706	0.00139335	0.00237784	0.00454629	0.0073123	0.0146264	0.0215024	0.0472034	0.115571	0.281926	0.502394
a75	0.00633196	0.00634452	0.00892148	0.0116559	0.014499	0.021144	0.0277991	0.0630551	0.144171	0.271592	0.424487
a85	0.000302276	0.000387337	0.000718059	0.00141362	0.00236216	0.0058116	0.0108736	0.0325782	0.103732	0.296747	0.545074
a6	0.00014675	0.000174189	0.000273393	0.000476044	0.000856674	0.0026585	0.00827675	0.0294646	0.110095	0.32139	0.526188
a37	0.000285817	0.000366612	0.000686563	0.00116204	0.00189808	0.00437194	0.0097264	0.0282346	0.0967438	0.308535	0.547989
a36	0.00221103	0.00251849	0.00361516	0.00469724	0.00593669	0.0109531	0.0132815	0.0454179	0.132699	0.30535	0.473319
a27	0.0190629	0.0191396	0.0231362	0.0250819	0.0258275	0.0327487	0.0318045	0.0861011	0.163506	0.238842	0.334749
a57	0.0699748	0.0470406	0.0491347	0.0437874	0.0474903	0.0533393	0.0430227	0.113285	0.143415	0.163376	0.226135
a87	0.225113	0.112344	0.0840768	0.0622346	0.054614	0.0533207	0.047035	0.0751156	0.0884397	0.0921775	0.10553
