 	l'	eau	rend	la	machette	moins	tranchante	</S>
a66	0.473999	0.178428	0.111932	0.0682594	0.0587852	0.0540846	0.0345039	0.0200084
a87	0.272882	0.113107	0.0760181	0.0721915	0.0850237	0.112663	0.122722	0.145392
a97	0.299326	0.172284	0.14538	0.0987213	0.0633632	0.0542116	0.056499	0.110215
a83	0.294891	0.192516	0.177393	0.0996989	0.052266	0.0515486	0.0535787	0.0781068
a54	0.577643	0.18301	0.065972	0.0268284	0.0171196	0.0195807	0.0355559	0.0742905
a47	0.375337	0.280435	0.129562	0.0623103	0.0385454	0.0317913	0.0343097	0.0477086
a7	0.316225	0.26482	0.164072	0.0821993	0.039841	0.0329817	0.0379403	0.0619205
a79	0.203943	0.20726	0.215207	0.149667	0.0785048	0.0606539	0.0380073	0.0467568
a47	0.151857	0.225923	0.270407	0.179032	0.0881144	0.0435347	0.019519	0.0216125
a7	0.0899541	0.175074	0.249597	0.194471	0.128973	0.0757464	0.0409036	0.0452806
a26	0.0827897	0.141349	0.236549	0.201567	0.150255	0.0880422	0.0469658	0.0524824
a93	0.0539566	0.0853352	0.152367	0.167903	0.18408	0.155213	0.0909181	0.110227
a94	0.0916321	0.134377	0.194489	0.181649	0.170186	0.116013	0.0557382	0.0559166
a56	0.0297523	0.0438703	0.0920199	0.134878	0.236088	0.248717	0.115349	0.0993259
a61	0.0193029	0.0294731	0.0640337	0.106751	0.211886	0.249515	0.166335	0.152704
a0	0.0150544	0.0206141	0.0407483	0.0740369	0.182054	0.258081	0.214089	0.195322
a75	0.0107371	0.0144163	0.0296875	0.0485008	0.115756	0.194118	0.278222	0.308562
a73	0.00397989	0.00615247	0.0123008	0.0255521	0.0850435	0.17551	0.278667	0.412794
a69	0.00288345	0.00509854	0.0105818	0.0185385	0.0553354	0.134074	0.296963	0.476525
a58	0.0043966	0.006184	0.0099665	0.016027	0.0456216	0.10865	0.290302	0.518852
a53	0.00273261	0.00263902	0.00377327	0.00737596	0.0236086	0.0627984	0.24008	0.656992
a15	0.00464571	0.00583222	0.00841714	0.0143926	0.0381345	0.0874775	0.273496	0.567604
a5	0.000955745	0.00174996	0.00313316	0.00618403	0.0213021	0.0598763	0.258855	0.647944
a37	0.000690518	0.00110156	0.00210749	0.00500521	0.0203266	0.0570083	0.250957	0.662803
a27	0.000631992	0.000850697	0.00121961	0.00335364	0.0152189	0.0482627	0.258752	0.67171
a25	0.0178449	0.017858	0.0130019	0.0168235	0.0443077	0.100925	0.324307	0.464932
a97	0.0754233	0.0423837	0.0280495	0.0272085	0.04339	0.0712934	0.250015	0.462237
a87	0.0608957	0.0332445	0.0218662	0.0191246	0.0329294	0.0602664	0.277451	0.494223
a97	0.0588862	0.0360844	0.0234215	0.0205681	0.0381318	0.0766971	0.295597	0.450614
</S>	0.042279	0.0293456	0.0243452	0.0228484	0.0365386	0.0793141	0.262494	0.502835
