 	notre	aîné	a	déjà	achevé	ses	études	</S>
a66	0.367458	0.17804	0.122962	0.107312	0.136049	0.0440019	0.026266	0.0179105
a87	0.446357	0.226737	0.144568	0.101237	0.0440351	0.0155716	0.0118025	0.00969078
a23	0.521847	0.230023	0.113998	0.0806858	0.0234637	0.0112524	0.00932643	0.00940317
a79	0.405939	0.193175	0.112623	0.108049	0.0540374	0.0340403	0.0380079	0.0541287
a37	0.330439	0.214045	0.147085	0.123937	0.0562091	0.0376817	0.0383278	0.052276
a96	0.297625	0.249962	0.194611	0.132862	0.0460149	0.0280409	0.0241869	0.0266979
a12	0.276895	0.263391	0.21457	0.15161	0.0385581	0.0241374	0.0161895	0.0146487
a37	0.242614	0.243733	0.21615	0.198753	0.0493124	0.0235195	0.0148122	0.0111049
a85	0.170494	0.198801	0.202588	0.256493	0.0872519	0.039872	0.0259835	0.0185177
a6	0.107538	0.134543	0.165468	0.248366	0.150535	0.0916711	0.0561079	0.045771
a36	0.125744	0.144545	0.169761	0.254176	0.149765	0.0727083	0.0465452	0.0367562
a37	0.0687465	0.101682	0.128718	0.23868	0.215274	0.100811	0.0769171	0.0691723
a43	0.0717526	0.0981085	0.118254	0.229147	0.241808	0.0981267	0.075311	0.0674922
a75	0.0458031	0.0585258	0.0771652	0.180299	0.309563	0.130864	0.102842	0.094937
a5	0.020852	0.0295588	0.0495731	0.130452	0.278246	0.207936	0.158447	0.124935
a61	0.0225237	0.0258861	0.0342444	0.102723	0.309253	0.192631	0.169274	0.143465
a43	0.0140693	0.0158642	0.0219093	0.0569375	0.255625	0.237201	0.228875	0.169518
a0	0.0197945	0.0199119	0.0249715	0.0421947	0.161992	0.221365	0.25927	0.2505
a56	0.0218332	0.0200577	0.026683	0.0315804	0.0734113	0.1665	0.297352	0.362582
a61	0.0111473	0.01257	0.0170883	0.0239134	0.063862	0.156946	0.30646	0.408013
a0	0.0114857	0.0121717	0.0173493	0.0230639	0.0534716	0.148726	0.315609	0.418122
a21	0.0130568	0.0130808	0.02102	0.0240222	0.0435664	0.139784	0.312211	0.433258
a5	0.00319931	0.00390783	0.00635128	0.0107065	0.0349472	0.140124	0.334823	0.465942
a23	0.00164272	0.00210054	0.0044306	0.00773927	0.026204	0.11444	0.301473	0.541969
a90	0.0023672	0.0025989	0.00498299	0.00875895	0.0224109	0.10249	0.270032	0.586359
a92	0.00212749	0.00250146	0.00323141	0.00553358	0.0213094	0.0950485	0.265536	0.604712
a37	0.0013027	0.00167026	0.00227365	0.00413344	0.0179692	0.0912688	0.270342	0.61104
a44	0.00241201	0.00284553	0.00516428	0.00813162	0.0220152	0.0947026	0.268841	0.595887
a26	0.00426058	0.00486643	0.00845262	0.0109522	0.023685	0.114533	0.268787	0.564462
a82	0.0700356	0.0614397	0.0698403	0.0659964	0.0771026	0.162125	0.218127	0.275333
a87	0.284275	0.135948	0.0966024	0.0765616	0.0715964	0.0894528	0.112758	0.132806
a23	0.368407	0.190466	0.11862	0.0895396	0.0676378	0.0613064	0.0555182	0.0485053
a87	0.136083	0.0833859	0.0625267	0.071803	0.116272	0.191237	0.169794	0.168898
a23	0.0664147	0.0405056	0.0325169	0.0565179	0.0886464	0.203807	0.228085	0.283506
a87	0.0844114	0.0597691	0.0512592	0.0906199	0.114684	0.193184	0.189745	0.216326
</S>	0.058765	0.0493061	0.0538974	0.104649	0.106536	0.204471	0.200495	0.221881
