 	elle	brasse	la	pâte	</S>
a23	0.28848	0.129755	0.134639	0.201486	0.24564
a79	0.487734	0.221792	0.0977237	0.0810089	0.111741
a20	0.208958	0.123096	0.17356	0.236211	0.258175
a36	0.374929	0.238354	0.187682	0.125047	0.0739896
a2	0.410229	0.344756	0.127577	0.0642529	0.0531848
a75	0.42755	0.397147	0.0929468	0.0430883	0.0392682
a73	0.28076	0.250878	0.184019	0.151842	0.132501
a0	0.215704	0.228325	0.216156	0.177188	0.162628
a26	0.314626	0.2488	0.158193	0.131222	0.147159
a98	0.428803	0.313687	0.12185	0.0672318	0.0684275
a79	0.309473	0.24217	0.186908	0.134849	0.126599
a0	0.195138	0.206534	0.244405	0.193454	0.160469
a75	0.208421	0.203244	0.266347	0.177445	0.144542
a25	0.106522	0.110882	0.211091	0.292334	0.279171
a44	0.0656739	0.0763423	0.217777	0.347194	0.293012
a84	0.182053	0.136536	0.218507	0.244215	0.218689
a53	0.108319	0.0809193	0.17699	0.275126	0.358646
a54	0.0814407	0.108448	0.220943	0.319149	0.27002
a7	0.0186533	0.0249132	0.0976572	0.29763	0.561147
a75	0.00785791	0.011239	0.0595087	0.248111	0.673283
a25	0.0278074	0.0283667	0.0916756	0.277453	0.574697
a44	0.0289384	0.0269412	0.0769863	0.263408	0.603726
a58	0.0036159	0.00495296	0.0302381	0.19263	0.768563
a54	0.000831642	0.00100316	0.0116377	0.161751	0.824776
a98	0.00187208	0.00225094	0.0157703	0.151369	0.828738
a7	0.00309962	0.00461063	0.0344073	0.193536	0.764346
a26	0.000976443	0.00170488	0.0125752	0.145951	0.838793
a90	0.00742491	0.00774595	0.0619066	0.278728	0.644194
a58	0.0025304	0.00346424	0.031358	0.186453	0.776195
a82	0.00383441	0.00658939	0.0426483	0.202111	0.744817
a10	0.0335831	0.0263771	0.0884344	0.269902	0.581703
a87	0.185644	0.0727722	0.168747	0.233317	0.33952
a23	0.259721	0.0933485	0.142162	0.205074	0.299695
a87	0.078674	0.0407145	0.123261	0.269534	0.487817
</S>	0.0127935	0.0105936	0.0580166	0.227998	0.690598
