 	de	petits	enfants	ont	capturé	les	petits	du	tilapia	</S>
a66	0.146078	0.152662	0.131902	0.151203	0.1665	0.156162	0.0704782	0.0130062	0.00731885	0.00468922
a87	0.548877	0.227866	0.0915886	0.0573312	0.0244817	0.0192643	0.0108889	0.00786832	0.00596338	0.00587011
a23	0.492111	0.172551	0.113394	0.0854667	0.0597991	0.0348207	0.0171925	0.00818468	0.00712588	0.0093539
a87	0.466939	0.128035	0.086585	0.0689234	0.0400181	0.0212855	0.0145067	0.0241582	0.0399975	0.109552
a23	0.49192	0.162447	0.104761	0.0778706	0.049606	0.0255882	0.0146373	0.0176031	0.0205155	0.0350524
a40	0.36079	0.119828	0.0888342	0.071154	0.0491582	0.0289249	0.0264765	0.0541558	0.0739576	0.126721
a36	0.269134	0.177272	0.125075	0.108474	0.0867654	0.0738957	0.0494927	0.035527	0.0387986	0.0355659
a6	0.129818	0.138676	0.131502	0.135	0.109416	0.0639155	0.0553534	0.0702764	0.0926725	0.0733699
a54	0.110342	0.1237	0.133725	0.149619	0.130713	0.0832835	0.0616725	0.0656108	0.0814376	0.0598973
a47	0.0616633	0.0761758	0.0932629	0.113623	0.100834	0.0942547	0.0955987	0.0952452	0.147203	0.12214
a6	0.102682	0.118503	0.116377	0.112161	0.113707	0.0745179	0.0688343	0.0540713	0.103755	0.13539
a37	0.077126	0.0956423	0.11397	0.135673	0.155182	0.130015	0.0676158	0.0422569	0.0799089	0.102611
a12	0.0563745	0.0794959	0.120078	0.164927	0.211516	0.170824	0.0755407	0.0329763	0.0429744	0.0452935
a43	0.0313502	0.0457752	0.0795821	0.139717	0.224762	0.239018	0.0932154	0.0368307	0.0508285	0.0589206
a75	0.0273628	0.0423098	0.0688998	0.121976	0.204288	0.291745	0.106501	0.0384158	0.0416924	0.0568096
a85	0.0221845	0.0268626	0.0379459	0.0526621	0.0912372	0.186713	0.141808	0.0865279	0.148943	0.205115
a6	0.0189452	0.023935	0.0357843	0.0503061	0.0752584	0.174689	0.131215	0.073476	0.146572	0.269819
a36	0.00688402	0.0097673	0.0176006	0.0296091	0.0522297	0.150634	0.127012	0.0930557	0.192354	0.320854
a61	0.00767323	0.0129446	0.0248406	0.0464722	0.0719873	0.138375	0.0926626	0.0591708	0.156363	0.389511
a47	0.00754761	0.0124196	0.0222931	0.0403196	0.0630231	0.11233	0.0960099	0.0661392	0.15805	0.421868
a21	0.00610903	0.00947407	0.016646	0.028668	0.0380267	0.0719297	0.0583497	0.0506991	0.147571	0.572527
a5	0.00542577	0.00767351	0.0105996	0.0145974	0.0254323	0.0527663	0.0646228	0.0793493	0.253135	0.486398
a75	0.00283119	0.004325	0.00642452	0.00887084	0.0139161	0.0304384	0.0391958	0.0585489	0.240494	0.594955
a85	0.000867871	0.00134887	0.00208112	0.00306784	0.0040298	0.0131726	0.029589	0.0991256	0.325086	0.521631
a92	0.00133823	0.00196961	0.00369465	0.00521102	0.00485035	0.0098255	0.0209883	0.0687909	0.275797	0.607535
a85	0.000362216	0.000620321	0.00119528	0.00214433	0.00240042	0.00783121	0.0158062	0.0761214	0.328962	0.564557
a6	0.000290316	0.000451505	0.000966331	0.00181934	0.0018029	0.00653252	0.0140465	0.0627054	0.299398	0.611987
a37	0.000514686	0.000764829	0.001235	0.00174102	0.00158735	0.00637127	0.0170141	0.0734704	0.294774	0.602527
a90	0.00184495	0.00258227	0.00381258	0.00433582	0.00320321	0.00686408	0.0163904	0.0664433	0.235116	0.659407
a69	0.000857359	0.00124901	0.0017816	0.00206376	0.00180561	0.00410348	0.0106752	0.0638887	0.270163	0.643412
a4	0.000716706	0.00113021	0.00149175	0.0016012	0.00133562	0.00420011	0.0167046	0.0843516	0.291132	0.597336
a58	0.00086692	0.00125597	0.00155546	0.00177719	0.00185225	0.00439557	0.010892	0.0413053	0.229745	0.706354
a82	0.0117833	0.0109191	0.0114159	0.0124482	0.0119511	0.0193288	0.0378523	0.0925471	0.234415	0.557339
a87	0.0969613	0.0606435	0.0569684	0.0474664	0.0400925	0.0439172	0.0847499	0.101819	0.160605	0.306777
a23	0.309892	0.211308	0.122844	0.0771932	0.0393957	0.0693632	0.0725631	0.037509	0.0289854	0.0309467
a87	0.074343	0.0402735	0.0233428	0.0155568	0.00718023	0.0184021	0.0388532	0.103332	0.303888	0.374828
</S>	0.0275752	0.013448	0.00793097	0.00572846	0.00273404	0.00756649	0.013929	0.055997	0.269752	0.595339
