 	nous	attendons	que	la	paix	revienne	au	pays	</S>
a66	0.172037	0.210267	0.232319	0.186633	0.120619	0.0508367	0.0167652	0.00698726	0.00353632
a87	0.359256	0.312861	0.200511	0.0887206	0.0297831	0.00363632	0.00183187	0.00158257	0.00181708
a23	0.272772	0.378678	0.159304	0.100187	0.0491996	0.0160218	0.00966268	0.00644458	0.00773087
a87	0.302729	0.394827	0.143287	0.0679975	0.043538	0.0152483	0.0129645	0.00864447	0.0107642
a23	0.282245	0.390168	0.143121	0.0744384	0.0578993	0.0186209	0.0144288	0.00966505	0.00941325
a83	0.291406	0.389724	0.129111	0.0627948	0.051483	0.0199853	0.0203998	0.0152247	0.0198706
a24	0.254063	0.337143	0.220434	0.107159	0.050847	0.0130713	0.00685431	0.00522285	0.00520543
a61	0.245296	0.340889	0.208291	0.0984662	0.0587463	0.0261842	0.0121274	0.00558952	0.00441056
a21	0.16406	0.306203	0.244216	0.141213	0.075306	0.0415476	0.0148879	0.00754318	0.00502302
a12	0.1072	0.187042	0.229493	0.197585	0.144089	0.0835051	0.032366	0.0122099	0.00650959
a96	0.146652	0.224703	0.234641	0.180814	0.0957726	0.0633938	0.0287214	0.0152792	0.0100232
a94	0.105921	0.173879	0.168891	0.153708	0.118214	0.127487	0.0767258	0.0425053	0.0326693
a93	0.0699366	0.084996	0.119739	0.171747	0.158642	0.192092	0.102777	0.0571231	0.042948
a56	0.0488985	0.0557847	0.110277	0.17024	0.170721	0.186794	0.133885	0.0686144	0.054785
a34	0.0277283	0.0280441	0.0698843	0.141516	0.21545	0.223494	0.140566	0.0843749	0.0689418
a98	0.0158472	0.0161191	0.0382525	0.0942822	0.222609	0.225964	0.168469	0.120115	0.098343
a47	0.00775548	0.0062039	0.0150469	0.0448184	0.186826	0.229321	0.228606	0.159559	0.121863
a36	0.00742811	0.00645804	0.015408	0.0478473	0.211685	0.238196	0.181931	0.153459	0.137588
a21	0.0073069	0.00809632	0.0164595	0.0371633	0.180902	0.318652	0.160917	0.14363	0.126874
a12	0.00864943	0.00552023	0.00994079	0.0205178	0.122209	0.258884	0.227127	0.188721	0.15843
a23	0.0072869	0.00412599	0.00647951	0.0119694	0.0700392	0.197875	0.237852	0.232444	0.231928
a90	0.00358927	0.00248105	0.0045052	0.00843086	0.040464	0.143119	0.217362	0.290931	0.289118
a25	0.00149738	0.000932989	0.00187884	0.00395708	0.0253028	0.112483	0.215909	0.349654	0.288385
a15	0.00183545	0.00109321	0.00230231	0.00633192	0.0342892	0.106876	0.144278	0.301259	0.401734
a69	0.00209049	0.00185453	0.00289655	0.00610723	0.0201044	0.0655747	0.128009	0.322481	0.450882
a7	0.00314044	0.00148101	0.00229798	0.00528591	0.0145231	0.0501174	0.108345	0.288889	0.52592
a4	0.00104015	0.000642253	0.000766807	0.00168009	0.0049577	0.0175825	0.068029	0.285027	0.620275
a13	0.000408941	0.000223141	0.000344718	0.000828265	0.00283372	0.0113061	0.0492381	0.293572	0.641245
a82	0.00021881	0.000137993	0.000211702	0.000497776	0.00180741	0.00615972	0.0325459	0.282831	0.67559
a87	0.0140495	0.0106895	0.00781815	0.0127959	0.0174402	0.0367026	0.0783894	0.294759	0.527356
a23	0.170333	0.120419	0.064917	0.0713832	0.0764287	0.11074	0.0951673	0.145138	0.145474
a97	0.0293151	0.0156832	0.0108429	0.0138286	0.0206101	0.0437207	0.133473	0.294202	0.438324
a87	0.0159448	0.0119165	0.00814327	0.0134601	0.0272246	0.0349725	0.116778	0.235581	0.535979
a23	0.0303234	0.0256865	0.0225215	0.0405047	0.0728086	0.0700642	0.135216	0.179672	0.423202
a99	0.0360331	0.0241738	0.0194003	0.0281022	0.0542129	0.0599488	0.132288	0.201061	0.44478
a97	0.0405175	0.0305448	0.0251662	0.0394526	0.0541078	0.0570374	0.118089	0.199593	0.435492
</S>	0.0331148	0.0298401	0.0230833	0.0293944	0.0348088	0.0340993	0.0948621	0.187774	0.533023
