 	son	bras	lui	fait	mal	</S>
a23	0.371572	0.200995	0.133774	0.0993134	0.0925824	0.101763
a85	0.320313	0.183663	0.140164	0.123042	0.114841	0.117977
a87	0.328643	0.236099	0.149286	0.103097	0.0858553	0.0970193
a23	0.434468	0.252806	0.134773	0.0784283	0.053873	0.0456516
a41	0.328435	0.241868	0.16096	0.12028	0.0785315	0.0699252
a32	0.314857	0.255232	0.170378	0.112467	0.0730617	0.0740038
a94	0.326316	0.260773	0.192675	0.117744	0.0641142	0.0383782
a30	0.285844	0.228726	0.196206	0.13221	0.094048	0.0629669
a73	0.205902	0.177259	0.208381	0.182389	0.139709	0.0863607
a20	0.171504	0.153033	0.207998	0.200477	0.163644	0.103344
a30	0.228815	0.186366	0.195675	0.160114	0.130265	0.0987652
a41	0.153067	0.153749	0.178128	0.192823	0.180402	0.14183
a35	0.0664601	0.0834795	0.123101	0.197935	0.261309	0.267715
a14	0.0403823	0.0522841	0.0883298	0.176731	0.287646	0.354626
a35	0.038584	0.0497588	0.0811773	0.163559	0.290802	0.376118
a26	0.0233433	0.0313152	0.0517687	0.117204	0.265692	0.510677
a54	0.00791963	0.0105562	0.0211927	0.0604536	0.210867	0.689011
a30	0.0131736	0.0173627	0.0348709	0.098993	0.24934	0.58626
a2	0.0203082	0.0227845	0.0407797	0.0970635	0.232597	0.586467
a57	0.0372376	0.0348542	0.0436562	0.0818907	0.211325	0.591036
a87	0.0763133	0.0883317	0.092936	0.134469	0.211165	0.396785
</S>	0.0421328	0.0691766	0.0715539	0.131694	0.252012	0.43343
