 	celui	qui	m'	a	fait	goûter	des	beignets	et	du	gimgembre	c'	est	ton	ami	</S>
a66	0.157651	0.153137	0.147593	0.134081	0.115916	0.110157	0.0671245	0.0251333	0.0186447	0.0238211	0.0221717	0.00623274	0.00423842	0.00360174	0.00469322	0.0058033
a87	0.289497	0.204168	0.150006	0.104653	0.0758006	0.0498251	0.0282657	0.0212045	0.015727	0.0147694	0.0153386	0.00590828	0.00512322	0.00542897	0.00676077	0.00752431
a23	0.279199	0.172234	0.137389	0.11334	0.0768166	0.0588455	0.0496402	0.0308675	0.0263019	0.0189389	0.012877	0.00518017	0.00381629	0.00378849	0.00497672	0.00578825
a79	0.199454	0.146984	0.111923	0.090492	0.0603329	0.0483324	0.0610137	0.0574974	0.0327706	0.0202539	0.0141788	0.0152076	0.0183335	0.029425	0.0414074	0.0523929
a53	0.0802959	0.0740265	0.0832464	0.093734	0.0857916	0.0803537	0.0723163	0.0600058	0.0508796	0.0415081	0.0484115	0.0327495	0.0410491	0.0467668	0.0509093	0.0579559
a94	0.118098	0.139039	0.142573	0.13517	0.105338	0.0845081	0.0631262	0.0405583	0.0350758	0.0274683	0.0428631	0.013421	0.0129229	0.013026	0.0128421	0.0139703
a21	0.0917241	0.155358	0.182815	0.154848	0.11922	0.0848108	0.0562266	0.0293646	0.0240805	0.0182989	0.0402218	0.00995766	0.00981934	0.00845581	0.00729489	0.00750423
a12	0.0485121	0.0900427	0.141529	0.177738	0.152353	0.12468	0.090657	0.0444464	0.0342077	0.0259747	0.0374178	0.00936368	0.00786829	0.0056395	0.00456099	0.00500882
a43	0.0510013	0.0773633	0.12227	0.170572	0.142194	0.125954	0.102459	0.0538506	0.0383101	0.0287457	0.0390077	0.0125206	0.0112241	0.0085201	0.0075	0.0085074
a31	0.0404471	0.0660926	0.118337	0.176372	0.147265	0.134547	0.109392	0.0539635	0.0419341	0.0321101	0.0390391	0.0113177	0.00918811	0.00668027	0.00617758	0.00713669
a61	0.0132547	0.021613	0.0519571	0.108955	0.143242	0.168632	0.162401	0.0915494	0.0834871	0.0616632	0.0517709	0.0128105	0.00890696	0.00637006	0.00633921	0.00704736
a75	0.012423	0.0184112	0.0349049	0.0694068	0.0995195	0.140193	0.170302	0.115534	0.117251	0.0914579	0.0730919	0.0166909	0.0118671	0.00906794	0.009637	0.0102424
a85	0.00404457	0.00564247	0.011398	0.0254775	0.0476852	0.078336	0.124527	0.168999	0.160438	0.121733	0.109367	0.0361326	0.029861	0.0247732	0.0244451	0.0271397
a5	0.00304252	0.00450812	0.00970181	0.0223109	0.0432119	0.0717275	0.120787	0.152772	0.155068	0.112167	0.115998	0.0497776	0.0440858	0.0347977	0.0274983	0.0325451
a43	0.00177774	0.00248143	0.00582821	0.0165226	0.0376201	0.0742984	0.148729	0.135421	0.196296	0.158646	0.108866	0.0325022	0.0241632	0.0185117	0.018071	0.0202648
a75	0.00299365	0.00360184	0.0068369	0.0156161	0.032841	0.0695589	0.166343	0.168714	0.198023	0.141212	0.0941469	0.0261064	0.0210123	0.0161723	0.0167316	0.0200895
a85	0.00153145	0.00192716	0.0042194	0.0107145	0.0243199	0.0519466	0.0966479	0.0846368	0.131431	0.123765	0.162353	0.0762497	0.0668854	0.0571937	0.0491789	0.0570008
a6	0.00124134	0.00175168	0.00379415	0.00946247	0.0189911	0.03561	0.0671202	0.0711128	0.118502	0.118871	0.190843	0.0857514	0.0761264	0.0705494	0.060394	0.0698793
a0	0.00234299	0.00302304	0.00576307	0.0119055	0.0226048	0.044778	0.0813717	0.0851189	0.100377	0.0900031	0.134634	0.0682471	0.0673698	0.0776986	0.0935805	0.111182
a43	0.0040602	0.00556176	0.00923288	0.0187712	0.0323702	0.0608892	0.126514	0.128903	0.102912	0.062839	0.0522179	0.0310434	0.0390588	0.054437	0.107376	0.163814
a75	0.00982509	0.0148148	0.0213741	0.0367253	0.0412551	0.0622568	0.10645	0.118032	0.0720833	0.0440092	0.0258922	0.0235958	0.0373337	0.0592497	0.13314	0.193962
a85	0.00202768	0.00204867	0.00322104	0.00638982	0.0133162	0.0335417	0.0661037	0.0585506	0.0634283	0.0498133	0.0807396	0.0527833	0.0747878	0.123202	0.162111	0.207935
a6	0.00126383	0.00153779	0.00265811	0.00581492	0.0119898	0.0277021	0.0541734	0.0498538	0.0567171	0.0477185	0.069294	0.056793	0.0705634	0.120352	0.179937	0.243632
a0	0.00174979	0.00179228	0.00318806	0.00717709	0.0145762	0.0343503	0.0584836	0.0480195	0.052265	0.0453872	0.0515117	0.0620542	0.0834146	0.132612	0.18988	0.213538
a85	0.00175432	0.00189362	0.00298404	0.00596748	0.0111377	0.02387	0.0488069	0.0496535	0.0456071	0.034931	0.0324236	0.0649551	0.091904	0.119329	0.20037	0.264412
a25	0.000821125	0.000875236	0.00128107	0.00226642	0.00447703	0.010404	0.0205751	0.0205701	0.0220835	0.0184288	0.0258599	0.0433806	0.0740396	0.154488	0.269291	0.331159
a44	0.00155008	0.00150061	0.0019039	0.00268926	0.00493299	0.00918182	0.019006	0.0275608	0.0271188	0.0218422	0.0204118	0.0415447	0.0684564	0.149977	0.269266	0.333058
a94	0.00285927	0.00352044	0.00503858	0.00818453	0.0107453	0.0151168	0.0278933	0.0459065	0.03369	0.0205923	0.0129234	0.026965	0.0529246	0.123206	0.256427	0.354008
a11	0.00222573	0.00260031	0.00331981	0.00576706	0.00785786	0.0127405	0.0224368	0.0320436	0.0234585	0.012791	0.00748778	0.0194291	0.0496874	0.127435	0.280537	0.390182
a75	0.00244302	0.0027349	0.00340387	0.0055717	0.00849933	0.0132742	0.0193666	0.0188999	0.0126286	0.00754432	0.00523889	0.0148551	0.0444707	0.132666	0.294799	0.413604
a56	0.000211036	0.000200838	0.000261225	0.000441708	0.000799879	0.0015866	0.00283003	0.00532107	0.00344012	0.00226102	0.00187904	0.00925548	0.0306717	0.131794	0.333036	0.47601
a11	0.000535994	0.000682798	0.00117368	0.00245466	0.00489037	0.00813747	0.0116672	0.0115899	0.00713251	0.00488806	0.00412789	0.0121664	0.0334774	0.12245	0.318177	0.456449
a93	0.00102889	0.00153248	0.00278032	0.00597622	0.0102228	0.0151641	0.0209912	0.0167285	0.00989933	0.00682231	0.00628157	0.0147115	0.035813	0.124485	0.299981	0.427582
a13	0.00086586	0.00122502	0.00203365	0.0041645	0.00633661	0.00970589	0.0145963	0.011301	0.0074346	0.00545839	0.00591338	0.0160616	0.0464986	0.159133	0.312429	0.396842
a38	0.0055212	0.00614546	0.00935004	0.0156935	0.018051	0.0221484	0.0275695	0.0182347	0.017183	0.0126763	0.0158538	0.0472104	0.0864853	0.185428	0.239934	0.272516
a62	0.0025164	0.00231991	0.00324899	0.00533759	0.00654896	0.00853094	0.0118951	0.0105014	0.00927219	0.00675902	0.00814267	0.035865	0.0721929	0.178803	0.298298	0.339768
a5	0.000315315	0.000506935	0.000962913	0.00230757	0.00373891	0.00638184	0.00945891	0.00688357	0.00515899	0.00402689	0.0049182	0.013788	0.0366267	0.129264	0.318378	0.457284
a37	0.000264883	0.000386895	0.000667562	0.00149292	0.00225411	0.00403866	0.00611851	0.00459322	0.00348627	0.00279896	0.00343694	0.0148363	0.0434935	0.149841	0.32856	0.43373
a26	0.000317444	0.000430297	0.00074096	0.00169553	0.00265504	0.00472795	0.00647938	0.00474662	0.00367097	0.00286478	0.00332353	0.0180754	0.054207	0.167372	0.326623	0.40207
a82	0.0113543	0.0101301	0.0121496	0.0185333	0.0191896	0.02377	0.0272345	0.0169317	0.0168546	0.0119379	0.0164479	0.0638048	0.0946739	0.178197	0.226822	0.251969
a87	0.128666	0.062196	0.0394815	0.0375169	0.0314764	0.0363419	0.0344532	0.026459	0.0317723	0.0270318	0.0352455	0.082645	0.0793569	0.107033	0.118727	0.121598
a23	0.233216	0.153425	0.094506	0.0690404	0.0480701	0.0459926	0.0328385	0.0337969	0.0364914	0.0351599	0.0315169	0.0330498	0.0303289	0.0373634	0.0421388	0.0430653
a87	0.0697621	0.0507843	0.0349438	0.0307387	0.0239775	0.0329239	0.0300272	0.0616242	0.0475449	0.0510538	0.0284088	0.0612013	0.0760601	0.108121	0.142829	0.15
