 	une	lance	qui	ne	porte	pas	d'	anneau	est	légère	</S>
a84	0.115826	0.0754632	0.0533807	0.0862104	0.148114	0.141531	0.148072	0.130865	0.0685599	0.0207144	0.0112641
a10	0.143576	0.100899	0.0849385	0.0741581	0.0599316	0.06297	0.0901179	0.140424	0.128214	0.0633498	0.0514203
a87	0.368767	0.184651	0.0780703	0.0538107	0.0464765	0.0526353	0.0632761	0.0838601	0.0230368	0.0172239	0.0281924
a99	0.307217	0.234513	0.12171	0.0770843	0.0489339	0.0508233	0.0525693	0.0634677	0.0183999	0.0118391	0.0134425
a10	0.284773	0.262611	0.15069	0.091211	0.0442352	0.0373127	0.0376482	0.0426673	0.0177718	0.014741	0.0163385
a87	0.257804	0.225724	0.149837	0.0933769	0.0516355	0.0400282	0.0493115	0.0557506	0.0251678	0.0241954	0.0271697
a85	0.241176	0.215195	0.161971	0.0985805	0.0480184	0.0388493	0.0531904	0.0653582	0.027323	0.0239398	0.026398
a87	0.210005	0.213658	0.150506	0.103359	0.0601107	0.0428247	0.0593022	0.0668886	0.0366604	0.0318557	0.0248299
a23	0.197426	0.191285	0.160556	0.115878	0.0671961	0.0496171	0.060818	0.0633644	0.0338639	0.0319011	0.0280938
a83	0.200503	0.207253	0.156115	0.108803	0.0641161	0.0433222	0.0564791	0.0626488	0.036988	0.0352213	0.0285509
a66	0.166812	0.167746	0.145554	0.101258	0.0695792	0.0555036	0.0674108	0.0912407	0.0461769	0.0447339	0.0439846
a53	0.202396	0.208329	0.176147	0.111624	0.0652357	0.0514906	0.0484201	0.0633713	0.0265574	0.0237092	0.0227187
a90	0.136035	0.149807	0.138505	0.105938	0.0877434	0.0852244	0.0800502	0.105132	0.0386191	0.037173	0.0357737
a56	0.071605	0.0892551	0.116432	0.114613	0.124493	0.127778	0.110253	0.121962	0.0459226	0.04198	0.0357067
a25	0.058222	0.0707584	0.106053	0.1213	0.140217	0.144942	0.128027	0.130703	0.0432957	0.0321616	0.0243197
a92	0.052709	0.0610991	0.108098	0.118452	0.129723	0.145392	0.130314	0.125557	0.0474517	0.0386586	0.0425449
a21	0.0422316	0.0434776	0.0766806	0.111636	0.159542	0.173364	0.152112	0.134785	0.0457987	0.0319393	0.0284334
a12	0.0473522	0.0508074	0.0847288	0.121722	0.156342	0.173862	0.145089	0.131003	0.0457753	0.0245123	0.0188061
a96	0.0339146	0.033199	0.0703179	0.114411	0.154522	0.182836	0.15113	0.143967	0.057778	0.0304607	0.0274627
a21	0.0221713	0.019203	0.0506879	0.0979524	0.164505	0.193041	0.156963	0.152562	0.0606526	0.036874	0.0453885
a85	0.0356655	0.03173	0.0533527	0.0983988	0.134823	0.157574	0.124467	0.134173	0.100321	0.0675509	0.0619442
a37	0.0170082	0.0144493	0.0293177	0.0585518	0.122853	0.170103	0.129928	0.129883	0.0989437	0.0972874	0.131676
a21	0.014694	0.011436	0.0271593	0.0535179	0.138177	0.185471	0.147941	0.141807	0.101155	0.0693724	0.109269
a12	0.027191	0.0217915	0.0321383	0.0467278	0.0789785	0.108413	0.0924719	0.118908	0.167477	0.147367	0.158536
a18	0.0109477	0.00901228	0.019592	0.0301565	0.0635987	0.108559	0.0959258	0.127777	0.173614	0.156331	0.204487
a75	0.00774977	0.00703655	0.0163214	0.0315911	0.106214	0.146343	0.115394	0.109595	0.140328	0.130491	0.188936
a85	0.00844297	0.00647289	0.0120987	0.0152569	0.030117	0.0507534	0.0434903	0.0508806	0.106619	0.199096	0.476772
a47	0.00793276	0.00644018	0.0107811	0.0154397	0.0358973	0.0566724	0.0481993	0.0453487	0.113633	0.240667	0.418988
a36	0.0104959	0.00808546	0.0146054	0.018444	0.0300662	0.0435141	0.038228	0.0348445	0.107099	0.263955	0.430662
a2	0.0105558	0.00824018	0.0149454	0.0198336	0.035047	0.0411972	0.0362515	0.032977	0.12512	0.272316	0.403517
a57	0.0559576	0.0311252	0.0358348	0.0380825	0.0520672	0.0534152	0.047127	0.0366293	0.096478	0.180751	0.372533
a87	0.078281	0.0403908	0.0417419	0.0428564	0.0582675	0.0575734	0.0611675	0.0615423	0.169496	0.17551	0.213173
a23	0.035228	0.0159667	0.0122094	0.016159	0.044727	0.0550784	0.0790414	0.114836	0.181337	0.206105	0.239311
a87	0.0274247	0.0116005	0.00853803	0.00884462	0.018192	0.0265202	0.0424955	0.0979344	0.168358	0.223359	0.366733
a23	0.0244602	0.0111078	0.00930422	0.0110458	0.0274324	0.0342356	0.0513052	0.0930863	0.147193	0.272219	0.318611
a83	0.018846	0.0100407	0.00903108	0.01008	0.0231691	0.0333319	0.0536217	0.117789	0.173869	0.248933	0.301289
a34	0.00639153	0.00421451	0.00594648	0.012954	0.0490492	0.0691094	0.0918273	0.12439	0.184059	0.223931	0.228127
a93	0.000990261	0.000761833	0.00113714	0.00314578	0.0161763	0.0230504	0.0290768	0.055325	0.189293	0.384064	0.29698
a4	0.000537608	0.000469955	0.000812582	0.00243597	0.0130613	0.0178475	0.0212367	0.0322192	0.126592	0.389262	0.395525
a70	0.00050667	0.000479267	0.00086399	0.00234971	0.0124188	0.0189557	0.0213667	0.0327747	0.126895	0.367936	0.415453
a4	0.000812985	0.000646106	0.00108308	0.00263414	0.0121929	0.0202782	0.0236477	0.0427429	0.141264	0.331759	0.422939
a13	0.000613082	0.000492503	0.000834779	0.00189927	0.00910962	0.0154394	0.017611	0.0285913	0.112739	0.333635	0.479034
a26	0.000490866	0.000303477	0.000472795	0.000889848	0.00442537	0.00860279	0.0104578	0.0228285	0.0928035	0.262582	0.596143
a54	0.00489649	0.00278498	0.00322079	0.00388658	0.00956266	0.0116319	0.0120175	0.0198841	0.0791308	0.216213	0.636771
a36	8.55388e-05	5.6856e-05	0.000111695	0.000184525	0.000827146	0.00139926	0.00160982	0.00423865	0.0329696	0.220517	0.738
a2	0.000415347	0.000232722	0.000360778	0.000543976	0.00218889	0.00359632	0.00425959	0.00850616	0.0460407	0.187752	0.746103
a57	0.0320518	0.0148968	0.0129911	0.0113567	0.0171328	0.0176268	0.0182613	0.0277914	0.113478	0.259458	0.474955
a10	0.16963	0.0713297	0.0405965	0.0317548	0.0260494	0.0258158	0.0284958	0.0332954	0.0913925	0.175449	0.30619
a87	0.184322	0.0979391	0.0582269	0.0452129	0.0381905	0.0387279	0.0459532	0.0615188	0.100204	0.136308	0.193397
a23	0.129354	0.0790497	0.0503548	0.0408597	0.0425554	0.0525182	0.0686633	0.101206	0.113617	0.136052	0.18577
a99	0.0766758	0.0286641	0.01294	0.00743295	0.00693034	0.0104776	0.0168905	0.0447301	0.0928651	0.227897	0.474496
a97	0.0325138	0.0146217	0.0108574	0.0103653	0.0170563	0.0245474	0.031681	0.0602035	0.0958844	0.242484	0.459786
</S>	0.0554887	0.0330126	0.0292939	0.0326087	0.0482957	0.0573303	0.0641586	0.0939222	0.0712481	0.140264	0.374377
