 	cette	femme	est	la	co-épouse	de	notre	mère	</S>
a66	0.196816	0.120605	0.149405	0.182976	0.19728	0.0827433	0.0353687	0.0189845	0.0158217
a87	0.256625	0.166306	0.179706	0.15576	0.103614	0.0477523	0.0312804	0.0289968	0.0299593
a23	0.414277	0.243372	0.153281	0.077231	0.0379807	0.0169712	0.0144999	0.0178109	0.0245763
a30	0.3503	0.238923	0.158041	0.0795114	0.0311101	0.0240532	0.0292374	0.035488	0.0533353
a93	0.301298	0.243886	0.170323	0.0865554	0.0362406	0.0305564	0.033633	0.0394247	0.0580825
a34	0.312871	0.242774	0.173161	0.116253	0.066454	0.0351909	0.0232583	0.0144911	0.0155459
a93	0.25556	0.269838	0.205186	0.134206	0.06521	0.0280029	0.0171142	0.0116195	0.0132631
a90	0.170975	0.221942	0.198028	0.15851	0.101428	0.0554809	0.0354522	0.0265293	0.0316533
a98	0.121586	0.163894	0.180453	0.183794	0.154207	0.0806589	0.044341	0.0326608	0.038405
a41	0.0772821	0.107634	0.130496	0.172522	0.197708	0.12579	0.0746054	0.0544277	0.0595346
a5	0.117895	0.15288	0.165475	0.156841	0.114565	0.0740218	0.0625825	0.0688962	0.0868437
a56	0.102131	0.124806	0.144475	0.149059	0.124981	0.0825381	0.0740493	0.0856542	0.112308
a96	0.0693909	0.102658	0.142425	0.156428	0.125762	0.0891895	0.0834633	0.103879	0.126804
a75	0.0490503	0.0767492	0.112007	0.139547	0.11638	0.0893117	0.0907605	0.136776	0.189418
a85	0.017882	0.0256477	0.0373878	0.0582231	0.0746138	0.102943	0.1526	0.231618	0.299085
a37	0.0120333	0.0168586	0.0233375	0.0385709	0.0610083	0.0953806	0.147598	0.248742	0.356471
a21	0.0197174	0.0242292	0.0262393	0.0332677	0.050019	0.0978488	0.146449	0.251351	0.350879
a92	0.0109045	0.012209	0.0136277	0.0192822	0.0352697	0.0902381	0.161266	0.286179	0.371023
a37	0.00390137	0.00448171	0.00435549	0.00596519	0.0128274	0.0562964	0.141031	0.306325	0.464816
a90	0.00532636	0.00509563	0.00435838	0.00446876	0.00854493	0.039004	0.124777	0.309669	0.498756
a92	0.00177463	0.00185507	0.00147425	0.00189142	0.00488662	0.0301754	0.112879	0.336369	0.508694
a79	0.00102068	0.00106862	0.000870806	0.00125544	0.00338383	0.0210958	0.091246	0.322709	0.55735
a44	0.000828971	0.000873851	0.000685037	0.000864703	0.00218419	0.0148421	0.0699829	0.300527	0.609211
a96	0.00119655	0.00113595	0.000726834	0.000726895	0.00183673	0.0112156	0.064099	0.298827	0.620235
a0	0.00240867	0.00246136	0.00191304	0.00214635	0.0056587	0.022724	0.0859277	0.291985	0.584776
a9	0.00398213	0.00449218	0.00390431	0.00555755	0.0148973	0.0379901	0.0948505	0.274275	0.560051
a10	0.0440633	0.0340407	0.0268059	0.0293118	0.0415644	0.0579928	0.101403	0.238333	0.426485
a87	0.179658	0.100611	0.0655244	0.0487689	0.0490534	0.0546562	0.08151	0.164362	0.255856
a23	0.269742	0.154851	0.122995	0.0875221	0.0688714	0.0520032	0.0583992	0.0851535	0.100463
a87	0.138001	0.0705834	0.0453574	0.0305656	0.0341539	0.0471629	0.0893366	0.217339	0.3275
</S>	0.0269625	0.0160505	0.0124392	0.0123202	0.0229143	0.0443137	0.0975434	0.265582	0.501874
