 	j'	arrose	les	légumes	</S>
a66	0.440405	0.19942	0.15493	0.1225	0.0827445
a10	0.29456	0.197451	0.192118	0.16218	0.153692
a87	0.656353	0.193918	0.0716888	0.0402958	0.0377445
a97	0.598032	0.238318	0.0886607	0.0413419	0.0336483
a13	0.529566	0.240926	0.108213	0.0633342	0.0579607
a75	0.640419	0.189342	0.0889681	0.0494953	0.0317754
a5	0.510855	0.21512	0.12509	0.0865029	0.0624313
a12	0.336562	0.271351	0.198662	0.12135	0.0720746
a62	0.290845	0.290883	0.212363	0.126313	0.0795966
a88	0.219424	0.255638	0.227285	0.170507	0.127145
a11	0.170278	0.234498	0.232069	0.197734	0.16542
a93	0.11491	0.184306	0.231379	0.246579	0.222825
a75	0.0981777	0.180193	0.257799	0.259826	0.204004
a98	0.0652376	0.140029	0.238447	0.282815	0.273472
a47	0.0398304	0.100137	0.19418	0.306496	0.359357
a6	0.00631943	0.0191461	0.0652629	0.230755	0.678517
a36	0.0095041	0.0220725	0.0696331	0.228031	0.670759
a26	0.00809231	0.011137	0.027779	0.119868	0.833124
a70	0.0472936	0.0449741	0.0648077	0.15346	0.689464
a54	0.0208436	0.0240672	0.0508369	0.163612	0.74064
a15	0.00770827	0.010319	0.0278565	0.113224	0.840893
a36	0.00645306	0.0085165	0.0257962	0.114259	0.844975
a26	0.0450202	0.0447588	0.0773998	0.189675	0.643146
a57	0.177656	0.109568	0.112722	0.187525	0.41253
a97	0.251543	0.145518	0.120344	0.159949	0.322646
a99	0.179061	0.116844	0.11061	0.174571	0.418914
a97	0.177291	0.127191	0.116055	0.17624	0.403223
a87	0.111464	0.0979279	0.115515	0.210799	0.464294
</S>	0.123178	0.118722	0.143246	0.219276	0.395579
