 	ce	homme	s'	est	décapé	la	peau	</S>
a66	0.240023	0.223727	0.221818	0.171616	0.0816856	0.0309583	0.016573	0.013599
a87	0.236792	0.190972	0.193647	0.197101	0.119133	0.0335048	0.0141304	0.0147202
a23	0.299835	0.262013	0.213401	0.105537	0.0476853	0.0236235	0.0229702	0.0249354
a10	0.331528	0.297476	0.210783	0.0560412	0.0193943	0.0172492	0.0218393	0.0456886
a87	0.358598	0.315874	0.216865	0.0624024	0.0167257	0.00799494	0.00809953	0.0134399
a23	0.376748	0.273699	0.188863	0.0877883	0.029923	0.0113351	0.0114624	0.0201806
a83	0.350019	0.280786	0.196613	0.0681042	0.0394286	0.0170975	0.0180495	0.0299021
a54	0.272995	0.289322	0.257018	0.102712	0.0385537	0.0141804	0.011373	0.0138453
a47	0.146123	0.19545	0.27748	0.236828	0.0933865	0.0237141	0.0136177	0.0134006
a6	0.105793	0.173237	0.277703	0.264165	0.10696	0.0326654	0.0194942	0.0199821
a37	0.0689224	0.111151	0.211798	0.321737	0.17966	0.0597951	0.026439	0.0204966
a11	0.108545	0.133462	0.197754	0.27335	0.175609	0.0615506	0.0279961	0.0217339
a12	0.0567377	0.0702346	0.127017	0.269459	0.283723	0.102448	0.048804	0.041577
a21	0.0312381	0.0391365	0.081686	0.23315	0.312644	0.14458	0.0830516	0.0745141
a12	0.0195025	0.0230213	0.0425634	0.14184	0.252084	0.205919	0.15805	0.157018
a47	0.00680179	0.00645571	0.00938059	0.0393008	0.124263	0.256931	0.271814	0.285053
a62	0.0141428	0.0112207	0.0113269	0.028609	0.0752453	0.224786	0.283541	0.351129
a75	0.00442173	0.00311961	0.0032047	0.0117747	0.0438287	0.210961	0.351405	0.371284
a6	0.000700222	0.000472169	0.000474586	0.00252261	0.0164976	0.111562	0.309623	0.558148
a36	0.000299141	0.000187093	0.000180168	0.000918681	0.00578466	0.0593312	0.289734	0.643565
a2	0.001692	0.000882041	0.000498577	0.00111125	0.00493824	0.0397495	0.21787	0.733259
a57	0.010462	0.00843043	0.00713211	0.0124073	0.0356448	0.0991002	0.242763	0.58406
a87	0.0444291	0.0302072	0.0274872	0.0336777	0.0514771	0.106677	0.232953	0.473092
a23	0.250324	0.162641	0.10185	0.0763573	0.0798197	0.0854461	0.101167	0.142395
a87	0.0500811	0.0335904	0.0226195	0.019075	0.0419618	0.129925	0.308081	0.394666
a97	0.00408818	0.00312885	0.00268204	0.0046486	0.0248786	0.117591	0.323454	0.519529
</S>	0.01124	0.00936522	0.00838092	0.0118861	0.0400189	0.137031	0.303948	0.47813
