 	ondongo	a	vraiment	maigri	</S>
a66	0.483499	0.339167	0.123741	0.0348973	0.0186957
a87	0.531863	0.278075	0.117915	0.0487825	0.0233651
a97	0.573819	0.301311	0.077585	0.0227695	0.0245153
a79	0.58255	0.290912	0.0881502	0.0202822	0.0181062
a4	0.601309	0.269045	0.0791506	0.0262309	0.0242645
a70	0.395012	0.372457	0.172328	0.0373913	0.0228118
a44	0.183795	0.304525	0.298158	0.132306	0.0812158
a90	0.146385	0.220773	0.266813	0.196958	0.169071
a79	0.163529	0.249907	0.279264	0.175739	0.131561
a94	0.14554	0.22511	0.271809	0.198182	0.159359
a98	0.0838065	0.129622	0.194296	0.252236	0.34004
a79	0.111235	0.190799	0.238667	0.223557	0.235742
a37	0.11579	0.191589	0.223363	0.21671	0.252547
a43	0.0716428	0.107169	0.167168	0.26913	0.384889
a0	0.0437403	0.0693349	0.134993	0.298159	0.453773
a90	0.0309092	0.0412577	0.0911605	0.29747	0.539203
a53	0.0183891	0.0355901	0.0924657	0.31466	0.538895
a90	0.0196637	0.036568	0.0934147	0.308536	0.541817
a94	0.0225567	0.039808	0.0967785	0.302937	0.537919
a90	0.0047964	0.00800065	0.0219895	0.178146	0.787067
a69	0.00976248	0.0171656	0.0460378	0.208395	0.71864
a94	0.00650835	0.0102904	0.0247394	0.157317	0.801145
a53	0.00157701	0.0022683	0.00653382	0.116523	0.873098
a4	0.00173082	0.00226537	0.00630058	0.108389	0.881314
a57	0.0015619	0.00207739	0.00647229	0.124147	0.865741
a3	0.0030931	0.00277176	0.008528	0.140267	0.84534
a97	0.153591	0.0911968	0.0757788	0.174104	0.505329
a99	0.198799	0.152244	0.116134	0.169013	0.363809
a97	0.144411	0.122862	0.102372	0.160062	0.470293
a30	0.18753	0.154477	0.142158	0.167295	0.34854
</S>	0.156815	0.157618	0.157904	0.174314	0.35335
