 	ce	citron	est	trop	acide	</S>
a23	0.362871	0.217703	0.149762	0.109404	0.0977358	0.0625235
a87	0.307558	0.254758	0.192007	0.110826	0.0929112	0.0419412
a23	0.374885	0.213978	0.103952	0.0987198	0.128891	0.0795745
a83	0.470778	0.265414	0.096857	0.071913	0.0622175	0.0328205
a34	0.51474	0.257594	0.0986836	0.0549422	0.0430077	0.0310333
a75	0.510279	0.299682	0.0769091	0.0386539	0.0453664	0.0291094
a30	0.391804	0.29232	0.115882	0.0658228	0.0745451	0.0596258
a35	0.247081	0.269481	0.190391	0.116653	0.114974	0.0614197
a24	0.237666	0.292224	0.204842	0.104622	0.10861	0.0520365
a18	0.138679	0.232175	0.226632	0.144314	0.170732	0.0874678
a25	0.0830944	0.141194	0.187792	0.187778	0.247829	0.152313
a87	0.0726346	0.186198	0.235762	0.200798	0.192743	0.111864
a23	0.0584066	0.119638	0.17815	0.211918	0.250207	0.18168
a30	0.0386536	0.0930731	0.145029	0.203635	0.293887	0.225722
a53	0.052833	0.103512	0.153962	0.2238	0.235137	0.230757
a76	0.12915	0.133542	0.130267	0.183667	0.221293	0.202081
a20	0.0785887	0.120963	0.158679	0.203876	0.21633	0.221563
a94	0.0518336	0.0664854	0.128894	0.212111	0.202363	0.338314
a84	0.0248093	0.0371731	0.0833938	0.197298	0.236758	0.420568
a87	0.0110872	0.028359	0.0744145	0.189557	0.303115	0.393467
a40	0.0165036	0.0372592	0.0920652	0.217808	0.282218	0.354146
a30	0.0278316	0.0481421	0.0872079	0.210522	0.241695	0.384602
a57	0.015174	0.0309825	0.0831053	0.208661	0.225639	0.436438
a38	0.0292972	0.0570953	0.0973936	0.211178	0.21968	0.385355
a41	0.0193023	0.0375489	0.0792562	0.196289	0.238515	0.429088
a35	0.00583895	0.00939545	0.0417574	0.149795	0.217383	0.57583
a66	0.00827325	0.010752	0.0398951	0.149512	0.201136	0.590432
a38	0.00822188	0.0183259	0.0550104	0.180161	0.203591	0.53469
a24	0.011773	0.0193167	0.0519921	0.162951	0.181144	0.572823
a32	0.0166452	0.0254479	0.0558624	0.160169	0.16938	0.572496
a35	0.0230075	0.0299995	0.0569634	0.150247	0.158184	0.581599
a41	0.0318765	0.0422877	0.0722121	0.171923	0.14212	0.53958
a98	0.0318623	0.0400819	0.077855	0.191571	0.135822	0.522808
a83	0.0363953	0.0463721	0.0812012	0.196377	0.154822	0.484832
a71	0.0550206	0.0641655	0.0900903	0.180956	0.166426	0.443341
a9	0.0912928	0.108115	0.143913	0.21506	0.142425	0.299194
a87	0.0833272	0.0924726	0.120389	0.193168	0.153413	0.357229
a23	0.0558335	0.0677709	0.115002	0.195449	0.196903	0.369041
a87	0.0588722	0.0769926	0.103267	0.142634	0.222232	0.396003
</S>	0.0230156	0.0462507	0.122598	0.227665	0.220572	0.359899
