 	le	pneu	de	mon	vélo	a	éclaté	</S>
a66	0.218079	0.222902	0.151043	0.153496	0.115336	0.0970523	0.0277014	0.0143905
a87	0.277434	0.191388	0.174858	0.130819	0.111509	0.074431	0.0227058	0.0168549
a23	0.527335	0.252791	0.0818775	0.0367948	0.0303098	0.0292301	0.0193956	0.0222661
a50	0.451364	0.321244	0.103832	0.0370747	0.0211644	0.019879	0.0215788	0.0238635
a83	0.360595	0.303804	0.0994954	0.0469204	0.031537	0.0379875	0.0569303	0.0627302
a71	0.413909	0.30719	0.0977154	0.0416006	0.0335267	0.0401994	0.0358149	0.0300439
a53	0.372439	0.297846	0.143055	0.0563053	0.0393596	0.0358329	0.0306143	0.024548
a15	0.21312	0.242747	0.186538	0.100488	0.0667178	0.0763535	0.0668871	0.0471487
a79	0.128464	0.137241	0.162291	0.134568	0.102613	0.119084	0.118704	0.0970359
a7	0.132411	0.151333	0.193117	0.175686	0.113409	0.0949765	0.0737414	0.0653263
a96	0.142191	0.1754	0.194993	0.175294	0.107916	0.0870035	0.0577406	0.0594628
a88	0.163519	0.215995	0.219227	0.176877	0.097907	0.062178	0.0316829	0.0326144
a75	0.0715834	0.132376	0.186737	0.215289	0.164403	0.119256	0.0540006	0.056354
a85	0.030026	0.0629309	0.119581	0.231606	0.184072	0.15729	0.10725	0.107243
a5	0.016304	0.0364077	0.0900758	0.221752	0.209668	0.193176	0.12508	0.107537
a61	0.0299758	0.0572251	0.105021	0.241569	0.184827	0.137649	0.0961411	0.147592
a21	0.0251752	0.0396604	0.069327	0.186486	0.179511	0.158026	0.134863	0.206951
a12	0.0211717	0.0305603	0.0472631	0.135561	0.150102	0.175862	0.197706	0.241774
a61	0.0130623	0.0194423	0.030923	0.0912881	0.104031	0.136566	0.24165	0.363037
a34	0.0121446	0.0185178	0.028417	0.0766319	0.0920083	0.125271	0.25917	0.387839
a56	0.00851994	0.0134409	0.0214573	0.0556828	0.0675261	0.0977804	0.272334	0.463259
a96	0.00375798	0.00522618	0.00989255	0.0288998	0.040266	0.0615796	0.247768	0.60261
a11	0.00268424	0.00292145	0.00652234	0.0160334	0.0236752	0.0317709	0.167103	0.74929
a24	0.00143534	0.00145361	0.00387089	0.00971953	0.0198277	0.0315342	0.186168	0.745991
a9	0.00164237	0.00159529	0.00458645	0.010418	0.0256831	0.0440252	0.191501	0.720548
a87	0.0114125	0.00725319	0.0125996	0.0215634	0.0508134	0.0762792	0.227688	0.592391
</S>	0.247114	0.10735	0.108134	0.108293	0.119276	0.109074	0.0911774	0.109582
