 	il	tend	des	pièges	en	bois	pour	prendre	les	hérissons	</S>
a85	0.211166	0.263426	0.153528	0.0987588	0.0607752	0.0512911	0.0430429	0.0342363	0.0273734	0.0292581	0.0271447
a87	0.205704	0.125514	0.11749	0.0967586	0.0692972	0.0625334	0.0523113	0.0591793	0.0651865	0.0720389	0.0739859
a23	0.294415	0.090264	0.0496355	0.0520642	0.0556211	0.0637033	0.0631863	0.0715607	0.0831394	0.0911202	0.0852906
a87	0.214555	0.0993463	0.0552572	0.0384787	0.0339892	0.0426668	0.0453868	0.0716302	0.099216	0.129886	0.169588
a97	0.145872	0.073872	0.0378151	0.0315995	0.0404101	0.0579484	0.0732994	0.10392	0.12522	0.15211	0.157933
a30	0.167893	0.117611	0.0590748	0.039738	0.0377584	0.0445932	0.0530399	0.095666	0.112566	0.133238	0.138823
a53	0.093049	0.0479812	0.0261578	0.0203082	0.021663	0.0358531	0.046342	0.102021	0.149724	0.179709	0.277192
a15	0.318322	0.0964309	0.0503895	0.0392701	0.0319214	0.0331832	0.0408275	0.06643	0.0792166	0.111062	0.132947
a47	0.417007	0.101364	0.0613439	0.0627375	0.0480173	0.0445532	0.0420206	0.0557353	0.0478226	0.0592267	0.0601715
a85	0.419186	0.109427	0.0803494	0.0762286	0.0507818	0.0425514	0.0396768	0.043958	0.0383219	0.0477041	0.0518148
a41	0.3075	0.146624	0.128784	0.118168	0.0770082	0.0512646	0.040995	0.0371075	0.0255065	0.0307223	0.0363202
a27	0.330789	0.145152	0.115057	0.109573	0.0679158	0.0493084	0.0435758	0.0395256	0.0293356	0.0328356	0.0369325
a61	0.256214	0.163509	0.145415	0.129449	0.0717145	0.0500026	0.0436511	0.0365557	0.0312945	0.0336232	0.0385714
a66	0.200698	0.211774	0.204194	0.163744	0.0730153	0.039413	0.0300766	0.0220551	0.016646	0.0181187	0.0202658
a9	0.125646	0.135721	0.134565	0.140112	0.0864623	0.0628586	0.0614091	0.0552318	0.0554947	0.0621259	0.0803738
a38	0.049738	0.0747632	0.0721956	0.0944931	0.089944	0.0966659	0.105098	0.106315	0.092522	0.0968002	0.121464
a70	0.0413715	0.0832271	0.0770263	0.104324	0.0983285	0.0926021	0.0978882	0.0950032	0.0887965	0.0915806	0.129852
a75	0.0592181	0.0838127	0.0923114	0.112869	0.127187	0.117923	0.120235	0.0957093	0.0626922	0.0573451	0.0706978
a98	0.0550658	0.0832634	0.0954951	0.0893802	0.0784504	0.080397	0.0876899	0.0964014	0.0995518	0.110761	0.123544
a79	0.0337288	0.0559369	0.0687391	0.0695529	0.0719382	0.0841067	0.105262	0.119812	0.112897	0.127811	0.150215
a96	0.0413678	0.0894079	0.0969481	0.093701	0.0914564	0.0985463	0.11135	0.104758	0.0870852	0.0904555	0.0949238
a61	0.0441184	0.0819686	0.0895972	0.0894986	0.0883886	0.102981	0.120051	0.106849	0.0865397	0.0945307	0.0954761
a31	0.0246263	0.0436245	0.0495756	0.0620675	0.0830725	0.114113	0.133526	0.144943	0.12414	0.114956	0.105355
a88	0.0173662	0.0324586	0.0335008	0.0392676	0.0518681	0.0798743	0.119928	0.156318	0.156571	0.154802	0.158046
a13	0.0150572	0.0288697	0.0316784	0.0360983	0.0441814	0.0658473	0.101322	0.143248	0.170265	0.191744	0.171689
a93	0.00572977	0.0120744	0.00990012	0.0111668	0.016387	0.0329619	0.0663996	0.123866	0.184096	0.234472	0.302947
a70	0.00312032	0.00743874	0.00944119	0.0134032	0.0212499	0.0400731	0.0732866	0.128201	0.181448	0.238804	0.283534
a98	0.00194938	0.00546928	0.00558337	0.00744035	0.0123371	0.0235176	0.0473888	0.0907857	0.158599	0.263224	0.383706
a85	0.00283052	0.00655778	0.00775777	0.0102048	0.0141116	0.0242013	0.0474039	0.0872458	0.161419	0.272635	0.365632
a47	0.00421544	0.00946346	0.00972034	0.0121217	0.0187975	0.0358475	0.0541574	0.0835109	0.150401	0.271262	0.350503
a37	0.00439496	0.0118416	0.011075	0.0120194	0.0157949	0.0266969	0.0490864	0.0830175	0.148744	0.282712	0.354617
a66	0.00293719	0.00718684	0.00611801	0.00662613	0.00956553	0.0167246	0.0342512	0.0619694	0.14217	0.307802	0.404649
a61	0.00121595	0.00315851	0.00219183	0.00244835	0.00455997	0.012417	0.0276906	0.0645309	0.157156	0.270408	0.454223
a47	0.000967899	0.00364818	0.00289366	0.0034343	0.00679616	0.0149091	0.0283149	0.05336	0.122852	0.243711	0.519113
