 	il	a	arraché	les	souches	</S>
a85	0.572954	0.262069	0.0914424	0.0232747	0.0262277	0.0240326
a87	0.496965	0.208519	0.120056	0.0468432	0.0446331	0.0829849
a23	0.3677	0.182653	0.140008	0.130959	0.0760445	0.102636
a87	0.311082	0.131368	0.105124	0.0658287	0.0888361	0.297761
a23	0.177932	0.131597	0.185717	0.134858	0.103415	0.26648
a87	0.189903	0.114176	0.119376	0.127077	0.203998	0.245471
a23	0.135085	0.14595	0.226472	0.155835	0.126744	0.209914
a58	0.0938378	0.0824358	0.120089	0.152802	0.255636	0.295199
a20	0.284442	0.228308	0.281384	0.09604	0.0758359	0.0339898
a37	0.189102	0.23187	0.3467	0.149715	0.0649711	0.017643
a26	0.171145	0.199674	0.389723	0.168715	0.0555565	0.015187
a94	0.160835	0.222547	0.407928	0.146762	0.0432711	0.018657
a24	0.128603	0.183083	0.385836	0.201878	0.0700836	0.0305165
a71	0.0811883	0.103574	0.264111	0.30223	0.17541	0.0734876
a24	0.0926871	0.0958605	0.209167	0.263146	0.228647	0.110492
a41	0.0640441	0.0636934	0.133335	0.274261	0.305433	0.159233
a2	0.110762	0.109689	0.147214	0.189307	0.265815	0.177214
a11	0.01872	0.0232805	0.0537569	0.130259	0.351245	0.422738
a24	0.0152279	0.0153218	0.0274702	0.0855831	0.370776	0.485621
a61	0.00590531	0.00403965	0.00679574	0.0586824	0.323747	0.60083
a41	0.0041191	0.0035852	0.0065011	0.0505069	0.313598	0.62169
a73	0.00214279	0.00217912	0.00518094	0.0672489	0.379517	0.543732
a26	0.00323264	0.00185919	0.00443021	0.0535966	0.332463	0.604418
a76	0.00238079	0.00181701	0.00303369	0.0182038	0.173995	0.80057
a73	0.0018339	0.00111761	0.00351784	0.0316101	0.166487	0.795433
a84	0.00100752	0.000936791	0.00411855	0.0634636	0.305196	0.625278
a57	0.000569017	0.000551098	0.00268339	0.020633	0.11829	0.857274
a87	0.00275542	0.0014969	0.00178699	0.0116382	0.0905729	0.89175
</S>	0.00416554	0.00368587	0.00414112	0.0187659	0.106224	0.863017
