 	tout	ce	qu'	on	lui	disait	avivait	sa	colère	</S>
a87	0.313833	0.143668	0.085567	0.0661684	0.065382	0.0881327	0.073814	0.0537544	0.0484018	0.0612788
a23	0.167753	0.0876737	0.0719864	0.073373	0.0808102	0.0652498	0.0785654	0.0799392	0.112319	0.18233
a40	0.251664	0.182932	0.105456	0.0734569	0.0652506	0.0488888	0.0569039	0.0573556	0.0634993	0.0945935
a32	0.306994	0.150991	0.0882956	0.0676672	0.0753938	0.0952143	0.0728886	0.0589128	0.0433922	0.0402506
a25	0.377108	0.275407	0.127846	0.0801303	0.0510534	0.0430564	0.022863	0.00853646	0.00649721	0.00750247
a11	0.264816	0.22987	0.156543	0.123967	0.0862728	0.0834023	0.0282739	0.010856	0.00762669	0.00837223
a76	0.217542	0.239346	0.182109	0.143982	0.0866459	0.0748072	0.0247269	0.0121932	0.00931513	0.0093316
a35	0.103886	0.133692	0.161414	0.182191	0.154596	0.14117	0.0654226	0.0225166	0.0174461	0.0176659
a41	0.124201	0.154409	0.180684	0.191221	0.139264	0.113794	0.0518599	0.0160367	0.0136618	0.0148686
a14	0.0913827	0.110131	0.157839	0.199865	0.170342	0.135329	0.0742299	0.0225956	0.0174155	0.0208692
a27	0.0503597	0.0666428	0.118702	0.172206	0.185141	0.160198	0.114013	0.0497354	0.0390618	0.0439393
a75	0.0376874	0.0501253	0.0851013	0.128206	0.181529	0.173208	0.12706	0.0558114	0.0564455	0.104826
a14	0.0449674	0.0498486	0.0735187	0.112617	0.164464	0.180789	0.141949	0.0703402	0.0654725	0.0960327
a35	0.0434894	0.0493853	0.0669702	0.0961716	0.14475	0.172154	0.179021	0.0894227	0.0683616	0.090274
a14	0.0427335	0.0484702	0.0655816	0.0870698	0.128643	0.164095	0.185325	0.0886015	0.0686165	0.120864
a43	0.0364575	0.042125	0.0574918	0.0810647	0.13084	0.178069	0.185555	0.096505	0.0761555	0.115737
a75	0.0345093	0.0381182	0.051837	0.0750992	0.117856	0.164447	0.192744	0.112218	0.0800647	0.133106
a41	0.0251616	0.0280091	0.0420954	0.0692082	0.113512	0.14459	0.181467	0.132919	0.11438	0.148658
a24	0.0201482	0.0255848	0.0377841	0.0562853	0.0878742	0.108483	0.166426	0.154287	0.142918	0.200209
