 	je	m'	en	vais	prendre	un	bain	de	soleil	</S>
a23	0.191914	0.101909	0.0677883	0.0708209	0.113762	0.1443	0.126806	0.0900072	0.0581274	0.034566
a87	0.211423	0.10155	0.0576437	0.0832419	0.0740796	0.147086	0.250215	0.0443343	0.0203352	0.0100908
a99	0.106356	0.0659423	0.0522348	0.0642004	0.0614144	0.112136	0.297027	0.0947472	0.0794618	0.0664804
a83	0.211233	0.121573	0.066377	0.0797911	0.0607347	0.0991428	0.229052	0.0495614	0.0399122	0.042623
a62	0.254869	0.134454	0.0678778	0.0675931	0.098456	0.158849	0.119441	0.0415508	0.0282248	0.0286837
a21	0.304075	0.245741	0.116462	0.09933	0.0408128	0.0508594	0.0810659	0.024405	0.0201559	0.0170924
a61	0.397167	0.288385	0.108189	0.0674535	0.023504	0.0294436	0.0503678	0.0146464	0.0114948	0.00934929
a75	0.320222	0.238374	0.132644	0.0857871	0.0438992	0.0465003	0.0656167	0.0283174	0.0220489	0.0165914
a25	0.264665	0.183163	0.123385	0.094382	0.0599177	0.0618963	0.100042	0.0430557	0.0376375	0.0318561
a44	0.218922	0.170686	0.140562	0.109818	0.0603576	0.060306	0.0933853	0.0529192	0.049976	0.0430683
a25	0.118291	0.106762	0.12285	0.101054	0.0924034	0.0835261	0.0940979	0.09289	0.0959843	0.0921412
a56	0.0684185	0.0547945	0.0727886	0.073737	0.0932015	0.100463	0.112509	0.125783	0.148009	0.150295
a90	0.0289655	0.0247616	0.0429621	0.0512303	0.113781	0.106052	0.0953419	0.143676	0.193685	0.199546
a25	0.0162787	0.0155507	0.0305639	0.0427818	0.109437	0.109969	0.104485	0.155791	0.206162	0.208981
a56	0.00308702	0.00289043	0.00667927	0.0122151	0.0533755	0.0796845	0.0965239	0.171815	0.263397	0.310332
a75	0.00204908	0.00185947	0.00401667	0.00723753	0.0355586	0.0540203	0.0690773	0.149863	0.278513	0.397805
a43	0.00171156	0.0014604	0.00312682	0.00711073	0.0302819	0.054948	0.0835008	0.151085	0.245696	0.421079
a0	0.000224432	0.000161805	0.000389563	0.00105515	0.00676171	0.0159053	0.0310332	0.0892833	0.273542	0.581643
a83	0.000331814	0.000215637	0.000449399	0.00130211	0.00802451	0.0179739	0.018155	0.071797	0.24565	0.636101
a9	0.000380325	0.000238387	0.000555825	0.00174678	0.0118326	0.0240614	0.0219283	0.0715443	0.232886	0.634826
a87	0.0131527	0.00773258	0.0110079	0.014383	0.0487875	0.0965514	0.0866845	0.121484	0.200553	0.399663
a3	0.0554056	0.0301608	0.0313095	0.0341411	0.065909	0.130851	0.211821	0.161655	0.134445	0.144303
a87	0.0276072	0.0178857	0.019101	0.0254534	0.0615649	0.116856	0.229369	0.158261	0.158571	0.185331
a23	0.0264683	0.0220909	0.0245049	0.0290853	0.0559887	0.10521	0.148455	0.151759	0.185901	0.250536
a10	0.0124187	0.0134272	0.0199792	0.023712	0.0466246	0.0708889	0.0837772	0.12735	0.213447	0.388375
a87	0.0218704	0.0206887	0.0291083	0.0338195	0.058029	0.0806145	0.108439	0.10115	0.170018	0.376262
</S>	0.0247551	0.0208678	0.0262384	0.0309131	0.0519264	0.0849735	0.117932	0.115875	0.18256	0.343957
