 	les	feuilles	bougent	</S>
a23	0.449417	0.239104	0.159808	0.151671
a75	0.744619	0.161199	0.0540442	0.0401376
a5	0.662927	0.21684	0.0722907	0.0479426
a43	0.440421	0.301516	0.159902	0.0981616
a11	0.182883	0.219414	0.290857	0.306846
a0	0.0680571	0.135236	0.297214	0.499493
a21	0.0563162	0.115121	0.271831	0.556732
a47	0.0578487	0.0961059	0.245292	0.600754
a88	0.0568639	0.103268	0.24441	0.595458
a0	0.0305676	0.073015	0.234068	0.66235
a61	0.0503396	0.091536	0.211481	0.646643
a75	0.0258685	0.0641905	0.199603	0.710338
a47	0.0477822	0.0942206	0.251142	0.606855
a36	0.0256146	0.0556775	0.207695	0.711012
a26	0.0900878	0.113542	0.217039	0.579331
a57	0.161136	0.1362	0.232667	0.469998
a87	0.405972	0.212461	0.187451	0.194116
a23	0.398117	0.230776	0.188792	0.182315
a87	0.278132	0.267123	0.249503	0.205242
</S>	0.0760946	0.14067	0.313034	0.470202
