 	ma	mère	est	partie	planter	la	première	semence	dans	son	champ	aujourd'	hui	</S>
a66	0.202652	0.162422	0.12581	0.102314	0.075576	0.0714465	0.0785291	0.0527698	0.0334152	0.0264151	0.0223643	0.0168246	0.0149389	0.0145223
a10	0.351935	0.177698	0.118661	0.0874358	0.0924223	0.0589125	0.0469775	0.019065	0.0107456	0.00706121	0.00691354	0.00472889	0.00667024	0.0107734
a87	0.34505	0.228616	0.149345	0.0906062	0.0646436	0.0433971	0.0234449	0.0101061	0.00665706	0.00606917	0.00709196	0.00597098	0.00810399	0.0108969
a23	0.250827	0.221585	0.167403	0.110353	0.10106	0.0520484	0.0327882	0.0150581	0.00793459	0.00678236	0.00726332	0.00576329	0.00839889	0.0127356
a99	0.176502	0.157959	0.123315	0.0797463	0.151037	0.085502	0.0713284	0.0457874	0.0225534	0.0180788	0.0183829	0.0144156	0.0151235	0.0202688
a13	0.157161	0.156868	0.130252	0.0954831	0.160192	0.0685584	0.0606628	0.0376645	0.0184339	0.0187073	0.0224489	0.0218017	0.0234924	0.0282744
a53	0.174835	0.205167	0.160984	0.112559	0.163843	0.0532216	0.0562723	0.0254139	0.00845777	0.00679593	0.00791179	0.00705598	0.00785186	0.00963151
a69	0.088463	0.135472	0.155845	0.148195	0.187994	0.0950036	0.0780023	0.0331394	0.0161482	0.0122363	0.01312	0.0112247	0.0119108	0.0132459
a94	0.0589948	0.0943222	0.130028	0.14606	0.184664	0.114942	0.100384	0.0490208	0.0269229	0.018933	0.0185498	0.0171098	0.0185566	0.0215131
a54	0.0494257	0.0712466	0.108951	0.146772	0.2217	0.157838	0.0862664	0.044945	0.0242666	0.016883	0.0161413	0.0167679	0.0181127	0.0206843
a47	0.0289944	0.0403572	0.072124	0.112337	0.183627	0.142788	0.139974	0.079518	0.0438582	0.0273173	0.0256518	0.0290589	0.0326102	0.0417844
a36	0.0252153	0.0323172	0.0575544	0.093698	0.166742	0.130608	0.112546	0.0855409	0.0572695	0.038427	0.0389397	0.0441128	0.0506573	0.0663723
a40	0.0391041	0.0422973	0.056358	0.0764726	0.101758	0.111823	0.0945004	0.0728245	0.0521252	0.0470466	0.0571472	0.0732794	0.0818839	0.0933796
a47	0.0287602	0.0318624	0.0470688	0.0737139	0.107596	0.110484	0.106421	0.0738983	0.0739259	0.0629468	0.0603603	0.0673859	0.0729478	0.0826294
a37	0.0194907	0.016977	0.0213708	0.0322241	0.0550631	0.0972549	0.128336	0.0900774	0.0782879	0.0694216	0.0772234	0.092684	0.100537	0.121052
a70	0.0167636	0.0138153	0.0178323	0.0259309	0.0387549	0.0800921	0.111929	0.0927668	0.0832353	0.0812797	0.0901045	0.105002	0.112171	0.130322
a0	0.0202421	0.0160158	0.0180963	0.0212659	0.026347	0.0613021	0.0868187	0.101683	0.106717	0.106417	0.0944879	0.1093	0.109256	0.122051
a11	0.0404938	0.0356378	0.0304397	0.028658	0.022385	0.0537527	0.084498	0.137133	0.112945	0.0865625	0.06653	0.0808411	0.0929038	0.127219
a24	0.0338062	0.0282508	0.0230889	0.0205753	0.0184996	0.0416859	0.0674531	0.121341	0.124085	0.116176	0.0908897	0.0929433	0.0962465	0.124959
a11	0.0220946	0.0193687	0.014801	0.0123377	0.00975579	0.0166562	0.0284058	0.0383925	0.058706	0.106599	0.102242	0.15452	0.175988	0.240133
a90	0.0260125	0.0253329	0.0191975	0.0154074	0.0109519	0.0163751	0.0262569	0.0321086	0.0496949	0.100375	0.102201	0.14737	0.173169	0.255548
a69	0.00217207	0.00160222	0.00148619	0.00169789	0.00278236	0.00614903	0.0117539	0.0176222	0.0488189	0.11501	0.142918	0.201898	0.199131	0.246958
a4	0.00171802	0.00125803	0.00101998	0.00110226	0.00183827	0.00445456	0.00844231	0.0139749	0.0341864	0.0841505	0.123589	0.194031	0.227297	0.302938
a58	0.00204217	0.00150948	0.00106632	0.00107869	0.000913944	0.0025183	0.00464315	0.00643201	0.0235681	0.0724579	0.114301	0.214089	0.24895	0.30643
a13	0.00243355	0.00179995	0.00110883	0.000916476	0.000730439	0.00171742	0.0028738	0.00292297	0.0103249	0.0360198	0.074414	0.211949	0.26634	0.386449
a53	0.00706449	0.00515268	0.00332589	0.00283369	0.00257867	0.00583262	0.00829519	0.00761004	0.0162893	0.038054	0.0808427	0.214609	0.267755	0.339757
a54	0.000998854	0.000663328	0.00048165	0.000512338	0.000404712	0.00121033	0.00167854	0.00233553	0.00842207	0.0267918	0.0634062	0.194739	0.283167	0.415188
a92	0.000163291	0.00010988	8.68e-05	9.65681e-05	0.000120788	0.000461037	0.000723208	0.00127166	0.0043129	0.01411	0.0392219	0.147112	0.28064	0.51157
a79	0.000155214	0.000113975	9.3819e-05	0.000104642	0.000132905	0.000469264	0.000641861	0.00118106	0.00400837	0.014304	0.0464822	0.175809	0.303886	0.452618
a7	0.000158189	0.000102069	7.47908e-05	8.49184e-05	8.22358e-05	0.000309464	0.000435979	0.000652096	0.00302662	0.0105937	0.0313221	0.138631	0.285668	0.528859
a69	0.000590757	0.000375479	0.000259102	0.000282222	0.000185947	0.000469601	0.000686954	0.000765865	0.00300707	0.0107365	0.0367555	0.162021	0.302841	0.481023
a58	0.00041889	0.00030419	0.00027505	0.000336926	0.000278142	0.000596543	0.000847816	0.00100656	0.00369562	0.0108013	0.0380247	0.165439	0.308347	0.469628
a7	0.00891994	0.00705409	0.00543277	0.00569949	0.00360891	0.00795261	0.00862127	0.00564396	0.015441	0.0372245	0.0929197	0.244843	0.280937	0.275701
a58	0.00798166	0.00627929	0.0055226	0.00626457	0.00476109	0.00993571	0.010731	0.00880517	0.0195857	0.0362645	0.0877179	0.213124	0.273691	0.309336
a84	0.0112813	0.00876669	0.00777633	0.00892426	0.00625316	0.0164169	0.0166856	0.011125	0.0224998	0.0397598	0.0884076	0.208363	0.265603	0.288138
a57	0.0890241	0.0601655	0.0416902	0.0368337	0.0238675	0.0556542	0.0586978	0.0298635	0.0522498	0.0669014	0.0939756	0.131218	0.132199	0.127661
a87	0.228004	0.143143	0.0861647	0.0545674	0.0331448	0.038571	0.0377575	0.017778	0.0258169	0.0334846	0.053479	0.0691213	0.0832498	0.0957175
a23	0.214206	0.157905	0.103755	0.0692381	0.0385319	0.0382382	0.0350401	0.0139583	0.0178079	0.0244839	0.0427449	0.0612716	0.0835096	0.0993105
a87	0.0612018	0.0492166	0.032883	0.0243126	0.0126241	0.0124106	0.0120704	0.00820918	0.0211325	0.0514707	0.105486	0.145886	0.207301	0.255796
</S>	0.0121758	0.0093428	0.00812061	0.00799186	0.00744908	0.0103511	0.0117754	0.0104388	0.024346	0.0490265	0.0930292	0.143577	0.234773	0.377602
