 	son	enfant	a	le	ventre	ballonné	</S>
a23	0.164593	0.117387	0.0953161	0.119203	0.15518	0.209187	0.139135
a94	0.298113	0.148074	0.113026	0.132712	0.0951139	0.10813	0.104831
a76	0.493444	0.272169	0.129669	0.0535682	0.0257477	0.0128309	0.012571
a14	0.437634	0.270974	0.162696	0.0635664	0.0355535	0.0158019	0.0137739
a35	0.387317	0.27989	0.178318	0.0779217	0.0428193	0.0193402	0.0143946
a98	0.420268	0.270949	0.160112	0.0710783	0.0411976	0.0202599	0.0161352
a73	0.305439	0.248387	0.191674	0.111705	0.0730863	0.0392209	0.0304872
a76	0.214478	0.212842	0.201919	0.155435	0.111774	0.0540733	0.0494777
a41	0.152013	0.147231	0.157751	0.164952	0.152852	0.126055	0.0991463
a44	0.146665	0.170798	0.178743	0.166835	0.140843	0.114303	0.0818129
a26	0.0870581	0.121246	0.154472	0.218525	0.198566	0.129674	0.0904591
a24	0.0413824	0.0618694	0.101932	0.223676	0.260241	0.182292	0.128606
a98	0.0465053	0.0631742	0.0947452	0.181696	0.231868	0.22651	0.155501
a43	0.0415962	0.0608941	0.0939498	0.187286	0.241005	0.206627	0.168642
a11	0.0237019	0.030903	0.0499806	0.13463	0.222049	0.271208	0.267528
a94	0.026025	0.0319688	0.0462214	0.113861	0.192132	0.284685	0.305106
a35	0.0197644	0.0230604	0.0319122	0.0757891	0.156391	0.307819	0.385264
a24	0.0171167	0.0190514	0.0268047	0.0670296	0.146475	0.303709	0.419813
a98	0.014661	0.0150848	0.0185542	0.046578	0.0938631	0.274673	0.536586
a24	0.0171904	0.0171251	0.0212004	0.0470918	0.0978892	0.261982	0.537521
a41	0.0156453	0.015287	0.0176366	0.0392572	0.0773366	0.227229	0.607608
a32	0.0137466	0.0149429	0.0196544	0.0393665	0.0886029	0.245328	0.578359
a25	0.0146222	0.0161859	0.0191441	0.0443483	0.0761158	0.211219	0.618365
a87	0.0157079	0.0175109	0.0231563	0.0561581	0.108223	0.210568	0.568675
a23	0.0164294	0.0167455	0.016185	0.0360835	0.0676569	0.232954	0.613946
a87	0.0684425	0.0466938	0.0265823	0.0453335	0.0799925	0.279846	0.453109
</S>	0.0836373	0.0594557	0.0368572	0.0543053	0.100977	0.281547	0.38322
