 	les	singes	ikoli	ne	se	trouvent	plus	dans	les	forêts	de	boundji	</S>
a84	0.0789803	0.0791817	0.148385	0.177546	0.185173	0.133593	0.108415	0.052809	0.0223561	0.00714153	0.00297025	0.00177067	0.00167792
a87	0.199657	0.0765263	0.0866669	0.134468	0.132419	0.112769	0.0949468	0.0481253	0.0261472	0.0161153	0.0173914	0.0211624	0.0336058
a23	0.218439	0.13136	0.125725	0.125199	0.0814749	0.0514869	0.0620429	0.0438444	0.0287527	0.0196795	0.025478	0.0343569	0.0521606
a87	0.262656	0.141579	0.223907	0.112706	0.0457561	0.0208381	0.0383719	0.0318727	0.0233969	0.0171159	0.0184263	0.0242339	0.0391405
a23	0.306843	0.147863	0.188685	0.10467	0.0422093	0.0230837	0.0381402	0.0321624	0.0235803	0.0168911	0.0202095	0.0236716	0.0319909
a9	0.263648	0.113753	0.240124	0.0743098	0.0291604	0.0167236	0.0283436	0.0256893	0.0269485	0.0271063	0.0345346	0.0500924	0.0695665
a53	0.171726	0.106785	0.259063	0.10849	0.0624395	0.0367389	0.046018	0.0330753	0.0313777	0.0301232	0.0332648	0.0382704	0.0426276
a93	0.26765	0.0948109	0.234679	0.107237	0.0724522	0.0525401	0.0442861	0.0283052	0.0222189	0.0180296	0.0205048	0.0195718	0.0177139
a34	0.241576	0.145495	0.249324	0.113754	0.0675691	0.0370386	0.0340054	0.0242176	0.0168282	0.0142205	0.0162807	0.0198188	0.0198724
a61	0.208678	0.138857	0.299877	0.114969	0.0700089	0.0381314	0.0336164	0.0240799	0.0161137	0.0129992	0.0130884	0.0145472	0.0150342
a62	0.169463	0.143202	0.315214	0.122367	0.0752417	0.0415141	0.0357598	0.0254619	0.0168074	0.0135845	0.013085	0.0139525	0.0143476
a88	0.152567	0.15596	0.243432	0.139888	0.097586	0.0562151	0.0493084	0.0336255	0.0197467	0.0144219	0.0127481	0.0122866	0.0122145
a71	0.105889	0.150428	0.213085	0.141517	0.113531	0.0679636	0.0610492	0.0450381	0.0251447	0.0190053	0.0173751	0.0192079	0.0207667
a54	0.132326	0.148389	0.168023	0.122709	0.0925793	0.0522174	0.056802	0.0488448	0.0325119	0.0289343	0.0296888	0.0385528	0.0484216
a47	0.0678192	0.130383	0.157511	0.143849	0.115569	0.0743254	0.0666469	0.0550172	0.0369102	0.0305862	0.0280855	0.0376451	0.0556529
a6	0.0541759	0.107863	0.111598	0.136285	0.134249	0.103711	0.0907065	0.0752844	0.0451615	0.0292594	0.0243545	0.0334427	0.0539099
a7	0.0396746	0.118428	0.115811	0.140679	0.123582	0.103715	0.0910739	0.0833101	0.0521957	0.0333661	0.0243856	0.0291145	0.0446651
a34	0.0367283	0.0886992	0.0591847	0.121849	0.138315	0.110259	0.124716	0.115007	0.0630267	0.0342892	0.0249916	0.0316307	0.0513035
a75	0.0316146	0.108953	0.0722437	0.130379	0.137141	0.120116	0.124496	0.113799	0.0601813	0.0307384	0.020566	0.0220949	0.0276775
a25	0.0141945	0.0533036	0.0357498	0.10984	0.119789	0.106112	0.102949	0.105349	0.0752584	0.0626551	0.0569712	0.0642157	0.0936133
a79	0.0089472	0.0392859	0.0176584	0.0667109	0.0902508	0.102636	0.109524	0.140792	0.110403	0.0771769	0.0565754	0.0685182	0.111521
a7	0.00853608	0.0340917	0.0183942	0.0607634	0.0945347	0.105596	0.113001	0.134606	0.118968	0.0948034	0.067668	0.0644306	0.0846075
a75	0.012866	0.0341245	0.016375	0.0478624	0.0890452	0.0927826	0.116127	0.145836	0.11882	0.0779996	0.0520679	0.0713257	0.124768
a85	0.00584185	0.0221074	0.010971	0.0286934	0.0511701	0.061511	0.0670836	0.100374	0.105284	0.111611	0.113345	0.136273	0.185736
a47	0.00316735	0.0117564	0.00568487	0.019057	0.0354781	0.0522903	0.049697	0.0849249	0.102785	0.110675	0.121908	0.168561	0.234015
a98	0.00322475	0.0121106	0.00424669	0.0107105	0.0196677	0.0270669	0.0344237	0.0666012	0.0909385	0.120153	0.120866	0.188933	0.301058
a47	0.0023189	0.00860361	0.0028638	0.00651893	0.0127296	0.0212778	0.0264469	0.0518183	0.0834894	0.121418	0.13133	0.197396	0.333789
a36	0.00198954	0.00826375	0.00254409	0.00622161	0.0113472	0.0180349	0.0225045	0.0448139	0.07573	0.135928	0.152462	0.209018	0.311143
a47	0.00250639	0.0061859	0.00191334	0.00327864	0.00561406	0.00819395	0.0109118	0.0208189	0.035721	0.0670519	0.117554	0.25386	0.46639
