 	ce	blanc	qui	vient	de	l'	occident	est	gaucher	</S>
a87	0.0562645	0.0355659	0.0376348	0.047267	0.101401	0.213856	0.339183	0.152321	0.0113371	0.00516872
a23	0.228198	0.0572852	0.042257	0.0346719	0.0670785	0.132848	0.160452	0.223444	0.0295606	0.024204
a87	0.115964	0.0620466	0.0564193	0.0537787	0.07205	0.109757	0.186503	0.228001	0.0652477	0.0502331
a10	0.172633	0.107577	0.0899026	0.0819642	0.0977098	0.0988117	0.158883	0.117586	0.0436928	0.0312407
a87	0.139215	0.104318	0.0808968	0.0770471	0.0835118	0.0881798	0.164022	0.152907	0.0691721	0.0407307
a99	0.122047	0.0768471	0.0578005	0.0502246	0.0661381	0.106516	0.171968	0.222585	0.0831203	0.0427535
a87	0.130291	0.0842954	0.0731485	0.0685933	0.087287	0.0961525	0.0992005	0.159836	0.131236	0.0699601
a23	0.119553	0.0637535	0.0571235	0.0498238	0.0787988	0.130818	0.165877	0.201642	0.0968682	0.0357424
a12	0.131109	0.0711858	0.064457	0.0641269	0.0830917	0.0955888	0.0977897	0.177253	0.145315	0.0700826
a66	0.419342	0.166036	0.105674	0.0839391	0.0683559	0.0349311	0.030269	0.0297803	0.0262662	0.035406
a54	0.231748	0.181909	0.142656	0.133012	0.0892551	0.0517315	0.0466632	0.0367775	0.0384455	0.0478009
a47	0.155122	0.154822	0.15956	0.15019	0.106775	0.0550704	0.0542165	0.0393658	0.0498305	0.0750484
a37	0.129016	0.146251	0.175081	0.177847	0.122716	0.0605154	0.0594751	0.0370654	0.0399261	0.0521064
a70	0.119473	0.129808	0.17439	0.186237	0.142681	0.082238	0.0819685	0.0381446	0.0212382	0.0238219
a62	0.121524	0.135721	0.164726	0.172732	0.131039	0.0808117	0.0950099	0.0410328	0.0226072	0.0347964
a47	0.102148	0.139984	0.162117	0.175185	0.125363	0.0869419	0.0897508	0.047826	0.026966	0.043718
a70	0.106691	0.143911	0.158764	0.17969	0.133377	0.0960874	0.0726585	0.0455168	0.0260065	0.0372983
a13	0.0755526	0.114892	0.148281	0.182727	0.144628	0.115199	0.0838	0.0613607	0.0317651	0.0417952
a18	0.0663726	0.101947	0.121705	0.15817	0.127346	0.106823	0.0749471	0.0679167	0.0601637	0.114609
a93	0.0557477	0.0783523	0.0920264	0.125326	0.107593	0.111617	0.0706553	0.0814281	0.0897606	0.187493
a34	0.0747963	0.0967181	0.110026	0.144613	0.136004	0.146289	0.106009	0.0806189	0.0397533	0.065173
a47	0.0697413	0.0866178	0.0953319	0.118269	0.103253	0.118724	0.0743843	0.0885772	0.0912984	0.153803
a21	0.0650112	0.0761543	0.0870298	0.10546	0.080643	0.0868644	0.0567684	0.0771084	0.120012	0.244948
a62	0.0427095	0.0506337	0.0564032	0.0649268	0.0503441	0.0573645	0.036695	0.0783449	0.194788	0.367791
a21	0.0470266	0.0560944	0.0585655	0.0649996	0.0494344	0.0503825	0.0322476	0.0665964	0.193837	0.380816
a34	0.0481835	0.0527194	0.0473876	0.04851	0.0395014	0.0408001	0.0286838	0.0611172	0.224914	0.408183
a70	0.0132745	0.017457	0.0176174	0.0204514	0.0139022	0.0125522	0.00794636	0.0242359	0.258277	0.614286
a90	0.0071281	0.00934889	0.00896346	0.0105471	0.00742473	0.00724642	0.00479121	0.0178265	0.275617	0.651107
a4	0.00864929	0.0097107	0.00912262	0.0106731	0.00833645	0.00941394	0.00621087	0.024452	0.237935	0.675496
a57	0.00414835	0.00505341	0.00541295	0.00705838	0.00596586	0.00697475	0.00569152	0.0244282	0.282531	0.652735
a9	0.000958942	0.000777314	0.000826801	0.00100527	0.00116761	0.00220924	0.0015504	0.0130888	0.336456	0.64196
a10	0.017372	0.00791364	0.00637763	0.00565574	0.00674874	0.013479	0.0142052	0.0648896	0.283765	0.579593
a87	0.043431	0.028521	0.022664	0.0241676	0.0319464	0.074369	0.0817385	0.181596	0.241212	0.270354
a23	0.0487308	0.0290686	0.0299175	0.0328034	0.0456931	0.0882008	0.0821728	0.173086	0.230109	0.240218
a87	0.0396491	0.0174533	0.0123459	0.0131963	0.0181179	0.0422164	0.0438713	0.0895496	0.143556	0.580044
</S>	0.00831175	0.00681486	0.00606545	0.00787258	0.0116807	0.0282899	0.0261139	0.053466	0.178018	0.673367
