 	il	a	embrassé	sa	femme	avant	d'	aller	en	voyage	</S>
a66	0.27421	0.198088	0.124458	0.0801009	0.0494774	0.0478109	0.0581373	0.0711175	0.0381349	0.0301255	0.0283386
a87	0.265353	0.231203	0.15308	0.0786479	0.0458569	0.0347168	0.0310131	0.0347542	0.0384763	0.0454055	0.0414932
a23	0.459266	0.307525	0.121623	0.044569	0.0213657	0.0123881	0.00824535	0.00640662	0.00550386	0.00610853	0.0069983
a30	0.252225	0.229772	0.155976	0.0689031	0.0506586	0.0443729	0.0416372	0.0376601	0.0374738	0.0403826	0.0409381
a53	0.15851	0.166129	0.142569	0.0869622	0.0876997	0.0724413	0.064814	0.0568892	0.0573791	0.0548284	0.0517778
a20	0.176706	0.204051	0.172879	0.118745	0.0932323	0.0692532	0.0515631	0.0368371	0.0321533	0.0239761	0.0206035
a94	0.142244	0.215493	0.244862	0.152801	0.0890487	0.0511956	0.0324595	0.018815	0.0207131	0.017004	0.0153643
a96	0.116554	0.189823	0.293658	0.193058	0.0835343	0.0376119	0.0240592	0.0127221	0.0168198	0.0160146	0.0161449
a34	0.114775	0.147488	0.20282	0.226145	0.117226	0.0583218	0.0364337	0.0213268	0.0246131	0.0251685	0.0256826
a35	0.101348	0.111843	0.11687	0.210846	0.142008	0.0847219	0.0564062	0.0361487	0.0426323	0.0475268	0.0496497
a98	0.053221	0.0534337	0.0616032	0.129231	0.132615	0.128316	0.104869	0.0743949	0.0770648	0.0890717	0.0961803
a85	0.0559948	0.0587335	0.0629884	0.122534	0.126013	0.122709	0.100816	0.0707842	0.0770914	0.0954132	0.106923
a6	0.0283434	0.0290108	0.0313673	0.0759402	0.113225	0.143742	0.127469	0.09887	0.0935136	0.1186	0.139918
a0	0.0318099	0.0254127	0.0205754	0.0466141	0.0851031	0.142493	0.160146	0.130767	0.112329	0.116432	0.128318
a43	0.0271861	0.0180279	0.0130937	0.0246334	0.0461195	0.103188	0.155142	0.160563	0.133972	0.147875	0.170199
a88	0.0340893	0.025215	0.0171273	0.0316644	0.0564021	0.104877	0.14559	0.152396	0.11823	0.142725	0.171684
a13	0.0205078	0.0135535	0.00917	0.0231851	0.0399868	0.0908395	0.162039	0.194644	0.142553	0.148751	0.15477
a93	0.0457177	0.0389157	0.0259694	0.0464973	0.0569426	0.0895126	0.121448	0.152035	0.125455	0.144859	0.152648
a43	0.0401151	0.0325892	0.0240718	0.0486753	0.0660645	0.0982097	0.118153	0.13771	0.128918	0.147114	0.15838
a75	0.0270942	0.0206997	0.0170428	0.0373482	0.0449574	0.0688872	0.0977023	0.131203	0.168521	0.191722	0.194822
a56	0.00599092	0.00392923	0.00361373	0.0123807	0.0275989	0.0633184	0.10316	0.120901	0.186072	0.222549	0.250487
a62	0.00464598	0.00300703	0.00263011	0.00852169	0.0157516	0.0358507	0.0674053	0.0958138	0.216547	0.276511	0.273316
a88	0.00105753	0.000946859	0.0015712	0.00564241	0.00661849	0.014665	0.0391135	0.0634461	0.204167	0.307099	0.355673
a75	0.00361482	0.00311418	0.00542341	0.015171	0.0164654	0.0312779	0.0656332	0.0907672	0.187199	0.250295	0.331039
a21	0.000339088	0.000308508	0.000344026	0.00151654	0.0030157	0.00897531	0.0223572	0.0380594	0.152401	0.329774	0.442909
a47	0.000411362	0.000340462	0.000425102	0.00156361	0.00215567	0.00573809	0.0173206	0.031271	0.150681	0.315628	0.474465
a61	0.000878702	0.00074745	0.00131233	0.00523894	0.00628764	0.0137685	0.0335873	0.0456779	0.149432	0.287873	0.455196
a47	0.000422264	0.000374377	0.000469831	0.00150385	0.00208838	0.00586309	0.0171036	0.0285292	0.124906	0.296441	0.522298
a96	0.0011832	0.00102975	0.00216916	0.00738094	0.00800441	0.016021	0.0371531	0.0493795	0.147803	0.275975	0.453901
a18	0.00231055	0.00199572	0.00374856	0.0127273	0.0146318	0.0266462	0.0530757	0.0589916	0.156907	0.261949	0.407017
a25	0.052646	0.0370562	0.0365408	0.0513285	0.051346	0.0799027	0.114746	0.0937748	0.134113	0.143242	0.205304
a87	0.215121	0.127435	0.064884	0.0747844	0.071396	0.0814701	0.0800228	0.0622424	0.0673102	0.0677187	0.0876149
a23	0.454127	0.244775	0.0726937	0.0385043	0.0277675	0.0275587	0.0279328	0.0267015	0.0275252	0.0254447	0.0269703
a10	0.288457	0.134461	0.0463873	0.034821	0.0254707	0.0256034	0.0295673	0.0316783	0.0665207	0.126261	0.190772
a87	0.0604557	0.0261642	0.0127341	0.0145191	0.0155975	0.0316814	0.061933	0.0766402	0.124978	0.223538	0.351759
</S>	0.0819601	0.0397737	0.0190839	0.015186	0.0134819	0.0249959	0.0484828	0.0621956	0.112669	0.223515	0.358656
