 	il	est	venu	alors	que	tu	étais	malade	</S>
a23	0.334274	0.192676	0.124463	0.0769011	0.0418091	0.0353578	0.0398626	0.0597198	0.0949371
a53	0.195301	0.169425	0.139577	0.115062	0.0639191	0.0547971	0.0655587	0.0866058	0.109754
a20	0.327079	0.186778	0.183031	0.138284	0.0662142	0.0377113	0.0244664	0.0179496	0.0184858
a30	0.274045	0.263547	0.241908	0.173347	0.032441	0.00833756	0.00329787	0.00167807	0.00139772
a41	0.266302	0.258506	0.246901	0.163049	0.0415454	0.0126474	0.00527007	0.0030464	0.00273314
a24	0.214704	0.226053	0.259737	0.179784	0.0663456	0.0267526	0.013064	0.0074121	0.00614791
a41	0.148001	0.150489	0.218615	0.176964	0.14039	0.0794212	0.0428022	0.0235568	0.0197615
a20	0.115279	0.113316	0.189515	0.149743	0.173995	0.110463	0.0639897	0.0418184	0.0418791
a35	0.0978367	0.0977829	0.164155	0.143635	0.170074	0.125354	0.0845931	0.0593881	0.0571812
a66	0.0817806	0.0754754	0.118244	0.112559	0.180121	0.162058	0.117858	0.0780155	0.0738878
a26	0.0532836	0.0540471	0.0871864	0.0832679	0.14404	0.175155	0.159957	0.116163	0.1269
a24	0.026157	0.025272	0.0441719	0.0530626	0.104382	0.180905	0.231678	0.174179	0.160193
a41	0.0267239	0.029421	0.0459878	0.0622842	0.118321	0.168133	0.201036	0.176218	0.171875
a35	0.0168442	0.013605	0.0203348	0.03491	0.107371	0.192489	0.235818	0.191157	0.187471
a20	0.00959413	0.00766787	0.0127182	0.0218098	0.0683619	0.157692	0.243427	0.238379	0.240351
a73	0.00734362	0.00562312	0.00956009	0.0150837	0.0390997	0.103777	0.223886	0.281753	0.313875
a44	0.00537992	0.00372837	0.00541384	0.0112388	0.0282511	0.0711898	0.191842	0.29757	0.385386
a38	0.00354349	0.00256691	0.00475302	0.00901439	0.0323463	0.069971	0.165465	0.283327	0.429013
a75	0.00164603	0.00121401	0.00205691	0.005776	0.0224302	0.0519454	0.145225	0.275266	0.49444
a14	0.00197779	0.001418	0.00263617	0.0055881	0.0246432	0.0500797	0.128564	0.253806	0.531287
a35	0.00248436	0.00171906	0.002577	0.00619536	0.0282353	0.0554349	0.136907	0.254073	0.512374
a14	0.00265408	0.00165737	0.00229719	0.00505851	0.0242432	0.044596	0.105323	0.230369	0.583801
a35	0.00301765	0.00194086	0.00254438	0.00603284	0.0275752	0.0518094	0.120462	0.241598	0.54502
a26	0.00396493	0.00265002	0.00331078	0.00747412	0.0314678	0.0555857	0.125318	0.241618	0.52861
a98	0.00207547	0.00133454	0.00150157	0.00391903	0.0144093	0.0321797	0.101917	0.249668	0.592995
a25	0.00192765	0.00117862	0.00138841	0.00347087	0.0122616	0.0304965	0.107408	0.266869	0.574999
a40	0.00133027	0.00097347	0.00112359	0.0037854	0.0121761	0.0270103	0.0994132	0.270004	0.584184
a76	0.00174184	0.00115206	0.00134798	0.00319988	0.0137429	0.0322225	0.0987754	0.250647	0.59717
a35	0.00229048	0.00197967	0.00262712	0.00565506	0.022904	0.0422135	0.0960585	0.232832	0.59344
a98	0.00446448	0.00350214	0.00398773	0.00753068	0.0253547	0.0412804	0.0924013	0.225681	0.595797
a9	0.00327321	0.00246588	0.00286659	0.00622154	0.0201452	0.0370636	0.0918933	0.236794	0.599276
a87	0.00366512	0.0024626	0.00262247	0.00754012	0.0223493	0.0410381	0.114043	0.283525	0.522755
</S>	0.00944926	0.00627687	0.00614911	0.0101823	0.0339436	0.0575759	0.11496	0.285265	0.476198
