 	cette	manière	de	se	battre	est	celle	des	braves	</S>
a66	0.262966	0.172319	0.103323	0.0885295	0.0875659	0.0877147	0.0738546	0.0612716	0.0340081	0.0284471
a87	0.298562	0.151354	0.0892016	0.10189	0.10131	0.0902345	0.0698139	0.0397913	0.024618	0.0332251
a23	0.383696	0.208883	0.118847	0.107054	0.0587242	0.034917	0.0229498	0.0260971	0.0197388	0.0190926
a87	0.350927	0.265167	0.123928	0.100359	0.0580464	0.0419805	0.0172827	0.0106693	0.0126621	0.0189775
a23	0.305778	0.274144	0.153485	0.107131	0.0563726	0.0413525	0.021741	0.0118243	0.0107858	0.0173855
a5	0.316514	0.24499	0.129412	0.0988561	0.0544455	0.0409712	0.0209992	0.0196218	0.0311788	0.0430114
a37	0.21821	0.184034	0.144894	0.1269	0.105147	0.0719349	0.033394	0.024801	0.0482464	0.0424388
a5	0.146238	0.199775	0.177	0.159273	0.132842	0.089298	0.0446001	0.0179751	0.0171506	0.0158487
a21	0.103481	0.146956	0.139609	0.155137	0.149286	0.142137	0.0836218	0.0292117	0.0279395	0.0226202
a85	0.10092	0.112998	0.109083	0.144073	0.1611	0.180233	0.109861	0.0290885	0.0299638	0.0226795
a6	0.0399251	0.0472502	0.0604493	0.0918651	0.132953	0.198005	0.184511	0.0689412	0.10161	0.0744902
a98	0.0415462	0.0341662	0.0521605	0.0948431	0.153051	0.224948	0.157709	0.0585699	0.0983586	0.0846469
a85	0.022909	0.0193284	0.0336224	0.0659682	0.122701	0.210347	0.208939	0.0850965	0.116292	0.114796
a21	0.0196757	0.0135193	0.0198749	0.0346947	0.0641683	0.113565	0.165816	0.126566	0.199253	0.242868
a85	0.0367449	0.0262171	0.0251635	0.0296473	0.0479694	0.0804899	0.124901	0.142023	0.231722	0.255121
a36	0.0217814	0.0186987	0.0207482	0.0198155	0.0279118	0.0455624	0.0798983	0.119533	0.28229	0.363761
a37	0.0122452	0.00606343	0.00645745	0.00635818	0.00764082	0.00994866	0.0134752	0.0560678	0.320123	0.56162
a6	0.0112186	0.00518154	0.00598194	0.00557043	0.00595532	0.00753414	0.0100607	0.0423455	0.311211	0.59494
a37	0.00400214	0.00206267	0.0023243	0.00201989	0.00218083	0.00285468	0.00500512	0.0256412	0.338209	0.615701
a36	0.00900029	0.0051154	0.00485762	0.00391452	0.00428666	0.00499349	0.00891076	0.0419423	0.291422	0.625557
a2	0.0203433	0.0110581	0.00910063	0.00796682	0.00929548	0.0100648	0.0171375	0.0565448	0.307118	0.55137
a57	0.135015	0.0491974	0.0414119	0.0336304	0.0334125	0.0287054	0.0318701	0.0621535	0.221955	0.362648
a87	0.392711	0.153667	0.0822749	0.0651713	0.0512055	0.0349474	0.0266926	0.0294835	0.0643029	0.0995443
a23	0.379026	0.153147	0.0796529	0.0762402	0.0657655	0.0523234	0.0401251	0.0371656	0.054497	0.0620567
a87	0.145892	0.0546473	0.0354069	0.0316221	0.0218956	0.0164395	0.0181841	0.059925	0.241171	0.374816
</S>	0.0107242	0.0051463	0.00365152	0.00338426	0.00311322	0.00383042	0.00730138	0.0409266	0.289682	0.63224
