 	je	répare	mes	chaussures	</S>
a66	0.402063	0.218418	0.173186	0.133993	0.0723402
a87	0.514785	0.247702	0.103323	0.0588858	0.0753036
a23	0.62227	0.276533	0.054507	0.0193631	0.0273267
a83	0.525954	0.274376	0.0996365	0.0446734	0.0553599
a5	0.427929	0.242905	0.120754	0.0935166	0.114896
a12	0.308423	0.385724	0.171425	0.0743833	0.0600435
a34	0.389643	0.401331	0.130059	0.0429473	0.0360203
a96	0.328936	0.389043	0.166493	0.0613709	0.054158
a34	0.30298	0.354589	0.171964	0.0884731	0.0819938
a75	0.288515	0.374922	0.181454	0.0808483	0.074261
a92	0.156292	0.2215	0.237026	0.202695	0.182487
a37	0.127376	0.199834	0.261376	0.210405	0.20101
a47	0.0697759	0.111556	0.234859	0.285732	0.298077
a21	0.0418069	0.0573181	0.177251	0.327832	0.395792
a75	0.0115373	0.0161381	0.0923679	0.370776	0.509181
a98	0.00348168	0.00663712	0.0482022	0.337834	0.603845
a47	0.00134417	0.00357942	0.0363631	0.304978	0.653735
a15	0.00111662	0.00263301	0.0302	0.322956	0.643095
a7	0.000732619	0.00185344	0.0175424	0.246278	0.733594
a44	0.00233848	0.00433662	0.0170028	0.159263	0.817059
a13	0.00560521	0.00879697	0.0255008	0.180209	0.779888
a57	0.016382	0.0241615	0.0605212	0.255952	0.642983
a3	0.0729463	0.0446447	0.0738594	0.234045	0.574504
a87	0.415281	0.127414	0.074611	0.140848	0.241846
a23	0.439277	0.237921	0.0966194	0.100866	0.125318
a87	0.18594	0.0821878	0.0707618	0.191564	0.469546
</S>	0.0491578	0.0299687	0.0617747	0.235978	0.623121
