 	ce	panier	de	poisson	fumé	est	déjà	est	plein	d'	insectes	noirs	</S>
a23	0.215786	0.155818	0.135607	0.126289	0.0969611	0.0778971	0.0576746	0.0498959	0.0341096	0.0169172	0.0113746	0.0104135	0.0112576
a87	0.391635	0.156995	0.0869297	0.0682025	0.0346305	0.0286194	0.0257036	0.0237326	0.0233262	0.0252587	0.0301118	0.0383206	0.0665351
a23	0.126994	0.0972961	0.0781543	0.0781795	0.0656726	0.0683177	0.0705386	0.062335	0.0446788	0.0425754	0.0494789	0.0851327	0.130646
a79	0.197051	0.137534	0.0990866	0.0729033	0.0494791	0.03463	0.0383512	0.035377	0.033046	0.0368946	0.0492187	0.0727043	0.143724
a44	0.328678	0.24185	0.143461	0.0674348	0.0322537	0.0267451	0.0153481	0.01487	0.0132822	0.0138678	0.0193839	0.0340607	0.0487648
a26	0.34844	0.250773	0.143113	0.0748376	0.0395897	0.0288894	0.0151004	0.0133793	0.0101925	0.00989769	0.0137657	0.0236588	0.0283633
a38	0.247529	0.178924	0.123425	0.088498	0.0795534	0.0576959	0.0329653	0.0258594	0.0204619	0.019472	0.028451	0.044414	0.0527519
a21	0.191721	0.147852	0.111481	0.0910438	0.0915338	0.0675592	0.0453232	0.0369404	0.0292727	0.0263104	0.0366926	0.0560159	0.0682542
a5	0.271949	0.22729	0.166932	0.110157	0.0780632	0.0472288	0.0276439	0.0167586	0.00991381	0.00657855	0.00853375	0.0126888	0.0162631
a85	0.129477	0.13226	0.121706	0.116237	0.116707	0.0979744	0.0767327	0.0540517	0.0297504	0.0177732	0.0254112	0.0389507	0.0429684
a37	0.0754943	0.0943193	0.114614	0.120443	0.121306	0.108929	0.0970399	0.0895753	0.0504191	0.0246475	0.0291876	0.0386845	0.0353401
a98	0.0588482	0.0727177	0.101707	0.13522	0.18651	0.142512	0.0946824	0.0575295	0.0307754	0.0183757	0.0261058	0.0372169	0.0377984
a47	0.0482576	0.0618268	0.0774294	0.0910375	0.117357	0.11949	0.109524	0.102216	0.0644193	0.033596	0.0455849	0.0638916	0.0653699
a85	0.0341805	0.0372296	0.0496011	0.0685069	0.106904	0.109774	0.113726	0.109171	0.0672659	0.0396584	0.0605354	0.0936258	0.109821
a0	0.0522481	0.0615586	0.0789896	0.103984	0.13177	0.119333	0.0997677	0.0973362	0.0638116	0.0342202	0.0412816	0.0559409	0.0597589
a11	0.0415875	0.039462	0.0532741	0.0809353	0.134621	0.140473	0.124037	0.10453	0.0661789	0.0336054	0.0424269	0.0607589	0.0781105
a47	0.0257576	0.0235953	0.0359865	0.0671157	0.128582	0.164359	0.16744	0.145006	0.083951	0.0336537	0.034493	0.0426367	0.0474229
a70	0.0328542	0.0263923	0.0318274	0.0397868	0.0682345	0.105225	0.149396	0.174454	0.131644	0.0640812	0.0529407	0.060389	0.0627753
a90	0.0171195	0.0155355	0.023027	0.0333372	0.0565323	0.0865176	0.151625	0.198838	0.16397	0.0666994	0.0592613	0.0637885	0.0637489
a56	0.0090833	0.00778706	0.0123473	0.0195343	0.0383179	0.076133	0.145451	0.199616	0.18205	0.0912189	0.069912	0.0716481	0.0769011
a70	0.00858684	0.00811884	0.0140807	0.0225217	0.0409007	0.0692436	0.128041	0.174647	0.182451	0.108579	0.0801028	0.0764177	0.0863093
a34	0.00375698	0.0034301	0.00620321	0.0129874	0.0296591	0.0538315	0.110685	0.153794	0.178668	0.120243	0.109908	0.0994394	0.117395
a75	0.00629963	0.00568635	0.0102112	0.0184445	0.0353663	0.0579255	0.113835	0.147455	0.175659	0.130441	0.109875	0.0904869	0.0983154
a85	0.00590525	0.00454906	0.00638111	0.00971294	0.0162041	0.0329058	0.0638546	0.0901623	0.125098	0.103212	0.139803	0.17794	0.22427
a37	0.0216047	0.0176387	0.0200956	0.0215214	0.0273761	0.0369487	0.0555897	0.0735056	0.100607	0.112034	0.162988	0.167644	0.182446
a62	0.00278215	0.00232164	0.00389976	0.00782319	0.0156462	0.0272821	0.0490662	0.0666267	0.091458	0.10912	0.191733	0.202638	0.229603
a83	0.00416627	0.00349997	0.00604365	0.0114897	0.0209117	0.0329407	0.0614952	0.0851908	0.120221	0.127418	0.179117	0.167667	0.179839
a9	0.00173509	0.00130877	0.00190079	0.00385703	0.00785847	0.0166655	0.0404574	0.0575799	0.0819865	0.0995971	0.197689	0.228873	0.260492
a10	0.0020036	0.00135385	0.00148726	0.00224304	0.00263989	0.00381016	0.00803193	0.00996501	0.0198232	0.0437223	0.126095	0.279429	0.499396
a87	0.00765034	0.00400559	0.00409327	0.00578729	0.00590878	0.00700582	0.0125158	0.0165818	0.0302921	0.0625668	0.145947	0.252053	0.445592
a23	0.0383147	0.0173029	0.014667	0.0195616	0.0186657	0.0297374	0.0399622	0.0418915	0.0556492	0.0974468	0.148812	0.196181	0.281808
a87	0.00765005	0.0031891	0.00222516	0.00322565	0.00246122	0.00627407	0.0124613	0.020531	0.0360001	0.0818233	0.151501	0.241411	0.431247
</S>	0.00465375	0.00201654	0.00161005	0.00243095	0.00262421	0.00634377	0.00965968	0.014384	0.0211671	0.0516725	0.125701	0.259829	0.497907
