 	il	est	parti	en	brousse	</S>
a85	0.224786	0.111886	0.0911138	0.108207	0.160509	0.303497
a87	0.244874	0.161077	0.142339	0.142654	0.148126	0.16093
a23	0.417222	0.214965	0.130447	0.0964981	0.0689869	0.0718812
a79	0.368475	0.201454	0.12892	0.112148	0.0842372	0.104766
a20	0.317876	0.194691	0.151284	0.11945	0.103338	0.11336
a30	0.397484	0.270165	0.160247	0.0871751	0.051199	0.0337308
a2	0.325866	0.243552	0.193713	0.121437	0.076502	0.0389308
a40	0.204089	0.177046	0.184774	0.171069	0.153633	0.10939
a30	0.229066	0.17512	0.168556	0.152104	0.153108	0.122047
a35	0.223081	0.185479	0.178477	0.163056	0.151001	0.0989066
a12	0.167021	0.15288	0.171932	0.18496	0.189986	0.13322
a35	0.0893278	0.0929443	0.129181	0.191444	0.258242	0.238861
a38	0.060768	0.0623526	0.0967872	0.178414	0.301585	0.300094
a75	0.0389609	0.0387681	0.0594043	0.134495	0.291512	0.436859
a98	0.0274491	0.0333563	0.0591846	0.135802	0.300067	0.444141
a73	0.00930971	0.0138917	0.0313952	0.098561	0.29071	0.556133
a7	0.00998161	0.0152247	0.034023	0.0946382	0.274147	0.571985
a40	0.00565892	0.0081468	0.0175975	0.0604013	0.213368	0.694827
a76	0.00906954	0.0118008	0.0222265	0.0682507	0.221201	0.667452
a94	0.0183795	0.0203292	0.0341955	0.0902651	0.240839	0.595992
a84	0.0133067	0.0158367	0.0265642	0.0708934	0.20058	0.672819
a87	0.0149683	0.0155755	0.0210121	0.0634143	0.185154	0.699875
</S>	0.0323575	0.0339372	0.0450825	0.0997652	0.223422	0.565435
