 	la	manière	dont	il	m'	a	découragé	je	n'	arrive	même	plus	à	travailler	</S>
a66	0.116672	0.120314	0.134258	0.111448	0.120422	0.105028	0.0830825	0.0455048	0.0390873	0.0373899	0.0306297	0.0220683	0.015282	0.0106645	0.0081487
a87	0.172705	0.121926	0.112552	0.0983364	0.0875432	0.076546	0.0672088	0.0422071	0.0545424	0.050556	0.0359516	0.0249522	0.0191688	0.0172974	0.0185073
a23	0.252685	0.214342	0.138977	0.102002	0.061276	0.0458822	0.057625	0.0241645	0.020176	0.016361	0.0118371	0.0100466	0.0111663	0.0131316	0.020327
a87	0.292428	0.258065	0.186784	0.0774601	0.0451198	0.0332531	0.033114	0.0174412	0.0140116	0.0102142	0.00694312	0.00516536	0.00462048	0.00546497	0.00991459
a23	0.231122	0.18303	0.155175	0.0887434	0.0632295	0.0513144	0.0539321	0.0390375	0.0309048	0.026052	0.0191838	0.0159896	0.0136544	0.0128632	0.0157688
a87	0.284645	0.199483	0.149647	0.0581896	0.0387303	0.0314947	0.0280827	0.0242302	0.0218926	0.0242133	0.022834	0.0234064	0.0225517	0.0275212	0.0430785
a23	0.295019	0.197515	0.143561	0.0674857	0.0433722	0.0318562	0.029343	0.0250634	0.0212667	0.0238322	0.0216092	0.0239972	0.0229224	0.0235343	0.0296227
a87	0.31515	0.199006	0.12801	0.0504009	0.0333442	0.0256723	0.0227276	0.0210319	0.0181267	0.0226517	0.0224075	0.0270288	0.0283234	0.0346702	0.0514478
a79	0.305866	0.204087	0.139118	0.0593164	0.0388892	0.0279735	0.0264313	0.023668	0.0197827	0.0229058	0.0215551	0.0258531	0.0260519	0.0268555	0.0316464
a18	0.344304	0.191453	0.118091	0.0520221	0.0349864	0.0253878	0.0220803	0.0193891	0.0151519	0.0186204	0.0171066	0.0217266	0.0268445	0.0382003	0.0546354
a53	0.348766	0.249527	0.158995	0.055076	0.0366189	0.0241863	0.0197807	0.0132026	0.00911325	0.00989977	0.0085761	0.0106652	0.0138122	0.0182252	0.0235556
a90	0.220929	0.201508	0.164079	0.075966	0.0638392	0.0535967	0.0588419	0.0363299	0.0223877	0.0164868	0.0137328	0.0146171	0.0159901	0.0195438	0.0221519
a44	0.090089	0.127621	0.136652	0.0877604	0.0853406	0.0682372	0.0783469	0.0641277	0.0426011	0.0304563	0.0272875	0.032104	0.0363583	0.0445384	0.0484793
a96	0.0618663	0.110357	0.145799	0.0928256	0.0946673	0.0740931	0.0880526	0.0723336	0.0471899	0.0302112	0.0261358	0.0293354	0.0324545	0.0418258	0.0528532
a0	0.0692682	0.11401	0.147641	0.0990905	0.101129	0.0775685	0.0989414	0.0747154	0.0479325	0.0286833	0.0235568	0.0235356	0.0243938	0.0303212	0.0392135
a24	0.062016	0.0959362	0.12964	0.100722	0.0991185	0.0781634	0.116168	0.0779037	0.0505688	0.0322113	0.0272971	0.027146	0.028606	0.0329443	0.0415582
a83	0.0348778	0.0558181	0.0904552	0.0993514	0.110398	0.10201	0.14542	0.103229	0.0643974	0.0378842	0.0289937	0.0258492	0.0264257	0.0318351	0.0430553
a50	0.0258875	0.0408412	0.0789817	0.101846	0.119485	0.111694	0.144532	0.109534	0.0706471	0.0424545	0.0305136	0.0246537	0.0247637	0.0305789	0.0435866
a83	0.0176639	0.0272187	0.0621705	0.0977033	0.124864	0.130508	0.144321	0.125597	0.0819716	0.0498968	0.0331908	0.0230341	0.0207788	0.0251896	0.0358925
a18	0.0124649	0.0194567	0.0503765	0.0930285	0.124966	0.13228	0.146023	0.128607	0.087078	0.0575966	0.0399462	0.0261316	0.0216194	0.0250359	0.0353908
a66	0.0101772	0.0137898	0.0369486	0.0923811	0.14308	0.142321	0.136291	0.135645	0.0916479	0.0599578	0.0376843	0.0234405	0.0204497	0.0240975	0.0320879
a18	0.0141105	0.0167484	0.0379231	0.0900017	0.141831	0.147964	0.136821	0.13619	0.0980586	0.0636613	0.0396752	0.0222505	0.0167929	0.0176165	0.0203557
a50	0.0166087	0.0163983	0.0319741	0.0790559	0.124917	0.1497	0.153861	0.135277	0.104232	0.0698742	0.044151	0.0231553	0.0160311	0.0160811	0.0186829
a62	0.00796947	0.00954717	0.0222817	0.0628234	0.112131	0.136647	0.132161	0.147079	0.109681	0.0834218	0.0558042	0.0311034	0.0230525	0.027382	0.0389154
a12	0.00600819	0.00828561	0.0195547	0.0526364	0.0888535	0.11966	0.128493	0.139773	0.111613	0.0956158	0.074735	0.0481626	0.0320156	0.031826	0.0427665
a18	0.00919178	0.0102278	0.019844	0.051043	0.0810685	0.114136	0.14395	0.124135	0.106608	0.0920992	0.0768535	0.0554739	0.0376826	0.0344334	0.043254
a53	0.00355342	0.00469806	0.0122094	0.0365786	0.0700515	0.103428	0.113043	0.133816	0.116284	0.106788	0.0957899	0.0716599	0.0467072	0.0391119	0.0462799
a90	0.00332843	0.00439962	0.0102688	0.0338853	0.0657868	0.0950191	0.12574	0.121681	0.0997536	0.0859327	0.0747543	0.0668408	0.0614589	0.0671327	0.0840184
a93	0.00246596	0.00326829	0.00765465	0.0264504	0.0542837	0.0854132	0.118736	0.107166	0.0956161	0.0849726	0.0816231	0.0801055	0.0751413	0.080516	0.0965867
a4	0.00230518	0.00307585	0.00750009	0.0257505	0.0505846	0.0824564	0.116132	0.114182	0.0996012	0.0909916	0.0878277	0.0834035	0.0723567	0.0710807	0.0927519
a11	0.0018141	0.00232033	0.00545702	0.0203242	0.0451854	0.0729352	0.0961729	0.0990477	0.0918584	0.0848117	0.0827246	0.0840502	0.0834232	0.0970838	0.132791
a70	0.00118336	0.00169052	0.00404066	0.0158213	0.0381452	0.0726647	0.0911735	0.107709	0.095589	0.0873993	0.0855578	0.084806	0.0798445	0.092648	0.141727
a93	0.00204266	0.00266604	0.00502357	0.0145744	0.0335338	0.066478	0.0870205	0.0907292	0.0852895	0.0799888	0.0803182	0.083167	0.085649	0.109398	0.174121
a69	0.00184387	0.0025986	0.00555287	0.0176906	0.0392178	0.0661757	0.0801557	0.0863196	0.0790862	0.0771445	0.0801876	0.0911635	0.0995812	0.11635	0.156932
a4	0.000567487	0.00084611	0.0020634	0.00723908	0.0170398	0.0360945	0.0455664	0.055315	0.0562017	0.0560249	0.0651797	0.0904825	0.117852	0.17807	0.271457
a54	0.000835064	0.00106768	0.00233664	0.00695161	0.015629	0.0333646	0.0427962	0.0514724	0.0567629	0.0576506	0.0670081	0.0880515	0.113432	0.176653	0.285988
a36	0.000456113	0.000636833	0.00152344	0.00529591	0.0117619	0.0296221	0.0358867	0.0448163	0.0521537	0.0530757	0.066424	0.095069	0.121824	0.185454	0.296001
a26	0.000467621	0.000566398	0.00106388	0.0028694	0.0057546	0.0143605	0.0168148	0.023652	0.0302865	0.0321796	0.0432529	0.0700993	0.109687	0.210292	0.438653
a57	0.00142228	0.00171248	0.00223597	0.00415646	0.00753567	0.0146929	0.0168865	0.0249773	0.0394881	0.0379996	0.0557118	0.0837338	0.121249	0.191324	0.396874
a87	0.0153554	0.0128327	0.0119737	0.0169854	0.0287613	0.0491327	0.0526103	0.0453243	0.0659888	0.0597385	0.071073	0.0955154	0.125448	0.140635	0.208625
a23	0.0515432	0.037827	0.0355566	0.0500722	0.0702688	0.104673	0.104413	0.0492623	0.061222	0.0586809	0.0583988	0.0728302	0.085377	0.074668	0.0852069
a99	0.0194795	0.0131719	0.00820529	0.0142493	0.0205863	0.0312596	0.0340867	0.0219319	0.0311923	0.0432029	0.0504967	0.0880459	0.133856	0.180596	0.309639
a83	0.00449639	0.00323527	0.00245432	0.00597594	0.00994434	0.0160568	0.0223764	0.0191539	0.0287632	0.0378581	0.0530221	0.0989817	0.146084	0.202637	0.348961
a24	0.000375972	0.000419438	0.000660498	0.00236142	0.00520481	0.00983104	0.018074	0.0234362	0.0311893	0.0400042	0.0559082	0.104507	0.153377	0.211358	0.343293
a70	0.00027455	0.000291175	0.000421724	0.0013612	0.00319338	0.00603502	0.00891291	0.0146841	0.0213066	0.027754	0.0413207	0.0920663	0.165956	0.247733	0.36869
a34	0.000257131	0.000277139	0.000426502	0.0011505	0.00275049	0.00617899	0.0106345	0.0155843	0.0235379	0.0315089	0.0451838	0.0982627	0.175003	0.244851	0.344393
a93	0.000146972	0.000187024	0.000338899	0.0010675	0.0028312	0.00617715	0.0101581	0.0149057	0.0211392	0.0278685	0.0395402	0.0899168	0.177181	0.260599	0.347942
a4	0.000116806	0.000155564	0.000282298	0.000810507	0.00218489	0.00479399	0.00742809	0.0110084	0.015233	0.019913	0.0286002	0.0663846	0.15352	0.281713	0.407855
a70	0.000130666	0.00016888	0.000299373	0.000785146	0.00200517	0.0043654	0.00629553	0.00974576	0.0139521	0.0185015	0.0266783	0.0622079	0.142429	0.278119	0.434316
a34	8.72216e-05	0.000105733	0.000184132	0.000503068	0.00123015	0.00306819	0.00519095	0.00793373	0.0123907	0.015914	0.0242102	0.0589758	0.142362	0.282524	0.44532
a56	0.000113702	0.000137013	0.00022718	0.000577911	0.00131406	0.00307694	0.00480489	0.00798384	0.0128521	0.0158173	0.0231705	0.0534233	0.127125	0.268586	0.48079
a43	8.41181e-05	0.000100109	0.000169625	0.000441452	0.00106424	0.00287577	0.00520173	0.00797076	0.0134548	0.0178162	0.0289256	0.0676368	0.149082	0.271529	0.433648
a75	0.000146976	0.000189687	0.00028261	0.000643769	0.00128115	0.00278707	0.00433457	0.00746354	0.0122389	0.0143702	0.0208105	0.0416321	0.097593	0.238018	0.558208
a6	0.000112017	0.000139498	0.000252182	0.000758954	0.00155094	0.00470889	0.0104175	0.0124982	0.0184474	0.0195753	0.0300115	0.0610149	0.123609	0.238756	0.478148
a37	7.03417e-05	9.98894e-05	0.000206138	0.000691216	0.00157824	0.0047833	0.0097168	0.011518	0.0152544	0.0144057	0.0212639	0.0463508	0.104765	0.245259	0.524037
a36	5.42476e-05	7.16553e-05	0.00012514	0.000425711	0.000898231	0.00250101	0.003965	0.00543765	0.00717199	0.00771376	0.0113664	0.0266883	0.0750296	0.234422	0.624129
a26	0.000152296	0.0001809	0.000224246	0.000506123	0.000835758	0.00169881	0.00225403	0.0037142	0.0059158	0.0068311	0.0114425	0.0272221	0.0740048	0.218265	0.646752
a57	0.00619768	0.0048391	0.00371573	0.00594635	0.00681216	0.011006	0.0126215	0.0138857	0.019449	0.0233126	0.0386279	0.0833934	0.143523	0.234894	0.391776
a87	0.046833	0.0257998	0.0143875	0.0192933	0.0187515	0.0288754	0.0343303	0.0241623	0.0339563	0.0483095	0.0626495	0.0921462	0.117826	0.166699	0.26598
