 	c'	est	une	très	belle	femme	</S>
a23	0.395476	0.234908	0.118788	0.0623276	0.056268	0.0617784	0.0704544
a87	0.383476	0.2292	0.112766	0.0820469	0.0657732	0.0567426	0.0699955
a79	0.296935	0.206973	0.142158	0.111354	0.0862971	0.0674897	0.0887925
a41	0.455217	0.262986	0.130615	0.0521275	0.035043	0.0245263	0.039485
a18	0.502131	0.258584	0.137726	0.0506104	0.0261217	0.0126529	0.0121744
a26	0.404049	0.259773	0.178368	0.0820649	0.0393248	0.0185201	0.0178997
a24	0.318363	0.232101	0.192243	0.119588	0.0650228	0.0365702	0.0361114
a71	0.276371	0.209238	0.17523	0.138946	0.0947338	0.0570584	0.0484223
a41	0.191932	0.181754	0.186271	0.17942	0.125002	0.072363	0.0632581
a0	0.171959	0.188286	0.199989	0.175816	0.12099	0.076201	0.066759
a43	0.0964518	0.111211	0.14696	0.181807	0.177225	0.144613	0.141733
a90	0.0681138	0.0773354	0.110188	0.160335	0.191025	0.183141	0.209862
a98	0.0787601	0.0884394	0.122325	0.162006	0.195396	0.179127	0.173947
a41	0.0617115	0.0612281	0.0838507	0.134235	0.194995	0.222045	0.241935
a18	0.0415738	0.0401816	0.0647852	0.126248	0.206302	0.253289	0.267621
a41	0.0130075	0.0109881	0.0158221	0.0459058	0.144695	0.297569	0.472012
a24	0.0198832	0.0156926	0.0228565	0.0542903	0.1604	0.30456	0.422317
a41	0.00563116	0.00494588	0.00751601	0.0201089	0.0773818	0.286063	0.598353
a25	0.0125509	0.00944912	0.0125316	0.0299919	0.104303	0.2858	0.545373
a12	0.0102763	0.00771338	0.00989257	0.0243913	0.0937022	0.268055	0.58597
a24	0.00513945	0.00425537	0.00621345	0.0161649	0.0690399	0.258348	0.640839
a35	0.00470275	0.00357161	0.00519238	0.0140912	0.0600979	0.251594	0.660751
a13	0.00936261	0.00733278	0.0103282	0.0240823	0.0750346	0.23861	0.635249
a9	0.010414	0.0076606	0.010626	0.0241918	0.0765473	0.235747	0.634813
a87	0.0102916	0.00820873	0.0102748	0.0218424	0.0716927	0.238906	0.638783
</S>	0.0329612	0.023132	0.0197609	0.0278854	0.0706633	0.230928	0.59467
