 	il	apporta	un	beau	cabri	à	ses	beaux-parents	</S>
a23	0.360413	0.213647	0.119576	0.0711204	0.0438638	0.0338711	0.0404705	0.0517521	0.0652864
a79	0.223951	0.0972989	0.0999488	0.10994	0.111172	0.0820546	0.0746292	0.0754601	0.125545
a20	0.176048	0.105524	0.0871244	0.0922214	0.122408	0.109314	0.0950664	0.0831495	0.129145
a44	0.305458	0.170853	0.148855	0.0820941	0.078095	0.0668339	0.0641223	0.0421852	0.0415045
a5	0.354979	0.192715	0.169816	0.093705	0.0855451	0.043516	0.0263723	0.0163877	0.0169635
a75	0.170339	0.150662	0.198734	0.118483	0.115746	0.0738709	0.0593176	0.0526585	0.0601891
a47	0.115738	0.13427	0.169236	0.131931	0.130422	0.0958336	0.080218	0.0668525	0.0754988
a79	0.1414	0.160568	0.173323	0.163673	0.123527	0.0600529	0.0473318	0.0573559	0.0727674
a7	0.193968	0.167662	0.155867	0.133699	0.102735	0.0570624	0.0483962	0.0662113	0.0743985
a44	0.223092	0.243525	0.172051	0.116547	0.0840476	0.0418604	0.0326095	0.0396728	0.0465946
a90	0.181997	0.201409	0.133432	0.0962634	0.0937158	0.0672031	0.0546502	0.0781542	0.0931754
a92	0.0781461	0.108011	0.0714366	0.0724622	0.103819	0.118135	0.113235	0.160763	0.173992
a37	0.0614886	0.086421	0.0563442	0.0517918	0.0637152	0.0841593	0.125756	0.221183	0.249141
a93	0.0887536	0.0996346	0.0509266	0.044258	0.0655576	0.0888832	0.104034	0.200326	0.257626
a56	0.035005	0.0542016	0.0353253	0.0418127	0.0679504	0.112406	0.159008	0.229527	0.264764
a43	0.0190385	0.0308297	0.0242265	0.0323321	0.0570095	0.0988529	0.176408	0.290131	0.271171
a90	0.00533951	0.00746868	0.00419513	0.00688346	0.0173575	0.0380112	0.0920543	0.288478	0.540212
a4	0.00445825	0.00894986	0.00661094	0.011737	0.0286423	0.0590903	0.135515	0.310328	0.434668
a13	0.00318433	0.00546944	0.00369846	0.00718842	0.0196759	0.045131	0.115681	0.314803	0.485168
a75	0.00180462	0.00240393	0.00117373	0.00217531	0.00677087	0.0198277	0.0642736	0.266342	0.635229
a21	0.00295569	0.00314282	0.0022007	0.00270848	0.00655177	0.0163352	0.0665691	0.326819	0.572718
a23	0.00136557	0.0017859	0.000833817	0.00101318	0.00297159	0.0104521	0.0579356	0.291478	0.632164
a27	0.000873887	0.00132544	0.0010495	0.00150389	0.00409316	0.0147893	0.0675105	0.291422	0.617433
a82	0.00774293	0.0104711	0.0077962	0.00967567	0.0225544	0.051551	0.107569	0.261588	0.521052
a87	0.0759265	0.0664271	0.0431746	0.0418032	0.0556068	0.0812399	0.105801	0.188219	0.341802
a23	0.187685	0.132526	0.0856901	0.0759826	0.0773864	0.0764253	0.0862778	0.116615	0.161412
a87	0.0721496	0.0441646	0.028151	0.0219822	0.0311424	0.0591779	0.157735	0.306315	0.279183
</S>	0.00712807	0.00672806	0.00538315	0.00735309	0.0150174	0.042886	0.134134	0.340994	0.440376
