 	l'	eau	du	fleuve	est	basse	</S>
a23	0.398563	0.181911	0.114509	0.0792403	0.0705244	0.0657695	0.0894826
a87	0.521078	0.205758	0.114892	0.0652657	0.0424017	0.0233433	0.0272606
a23	0.443485	0.230034	0.139893	0.0795649	0.0469058	0.0287828	0.0313355
a83	0.596043	0.185638	0.083266	0.042243	0.0275927	0.0259775	0.0392397
a75	0.512457	0.222234	0.11269	0.0566016	0.0350196	0.0299855	0.0310122
a85	0.351864	0.237555	0.181621	0.0981688	0.0560205	0.0411444	0.0336268
a21	0.252192	0.205401	0.192188	0.132271	0.0915598	0.0710058	0.055383
a61	0.204688	0.197298	0.232102	0.151598	0.100524	0.0650916	0.048698
a34	0.104899	0.141644	0.222713	0.191359	0.15567	0.103619	0.0800961
a93	0.0515649	0.0815057	0.161397	0.19453	0.203446	0.166559	0.140997
a90	0.0412315	0.0649097	0.122408	0.18459	0.242058	0.189367	0.155436
a93	0.0389393	0.0630092	0.119318	0.181485	0.225399	0.197695	0.174154
a7	0.0274017	0.0434114	0.0810787	0.151286	0.240293	0.246585	0.209944
a26	0.0144991	0.0196811	0.0326993	0.0704344	0.14852	0.308769	0.405397
a57	0.0127913	0.0137694	0.0195299	0.0443583	0.0998425	0.233975	0.575734
a87	0.047917	0.041587	0.0425344	0.0572987	0.0916416	0.217468	0.501553
a97	0.185751	0.157063	0.123335	0.0961251	0.101243	0.135611	0.200871
a87	0.185178	0.146233	0.105916	0.0952409	0.11836	0.172452	0.17662
</S>	0.125223	0.122914	0.0988124	0.0928808	0.122093	0.20142	0.236658
