 	la	femme	a	mis	au	monde	un	albinos	</S>
a23	0.15277	0.0819612	0.0789396	0.0703639	0.103631	0.122273	0.129847	0.126939	0.133274
a87	0.259683	0.144417	0.115649	0.0740129	0.0647689	0.0669575	0.0792596	0.0988237	0.0964283
a23	0.210015	0.154075	0.142061	0.0961969	0.0732968	0.0703832	0.0740438	0.0906464	0.0892816
a10	0.203596	0.11235	0.10645	0.0686941	0.0796218	0.0900526	0.104335	0.119845	0.115055
a38	0.182508	0.121192	0.117127	0.0622618	0.0627411	0.0709775	0.0986305	0.126275	0.158288
a94	0.358625	0.197995	0.169697	0.0703341	0.0500838	0.0464457	0.0381159	0.0338824	0.0348209
a20	0.338124	0.230243	0.187072	0.0929158	0.0510375	0.0398284	0.0248069	0.0195695	0.0164033
a94	0.231375	0.229075	0.21135	0.13617	0.0722607	0.0493797	0.0299372	0.0231988	0.0172544
a11	0.27436	0.248696	0.211438	0.119047	0.0554955	0.0364576	0.0219217	0.0175281	0.0150572
a38	0.228949	0.228956	0.21555	0.140903	0.0703086	0.0456904	0.0272543	0.0220095	0.0203794
a30	0.190927	0.209596	0.20704	0.150375	0.0879695	0.0602304	0.0363478	0.0290185	0.0284951
a35	0.113213	0.136415	0.158537	0.150265	0.136356	0.109662	0.0743953	0.0616216	0.0595358
a98	0.138794	0.177267	0.197262	0.164838	0.116505	0.0835286	0.0507466	0.037244	0.0338141
a71	0.180052	0.189529	0.182401	0.143192	0.104777	0.077767	0.0493992	0.0376764	0.0352059
a38	0.0842812	0.10462	0.119498	0.128504	0.154334	0.147451	0.103389	0.0824319	0.0754901
a53	0.0642045	0.0921853	0.117363	0.135449	0.167714	0.159614	0.107865	0.0824596	0.0731452
a76	0.0691911	0.0812932	0.0966958	0.119816	0.155582	0.153924	0.118586	0.100087	0.104825
a35	0.0665685	0.0629989	0.0718257	0.0963754	0.139363	0.153706	0.134523	0.129631	0.145009
a41	0.0309007	0.032646	0.0406353	0.0636426	0.129457	0.180546	0.177241	0.1698	0.175131
a35	0.0230651	0.0246041	0.0304534	0.0479586	0.110161	0.177586	0.192852	0.196712	0.196608
a11	0.0200261	0.0195957	0.0228691	0.0312266	0.0762287	0.145166	0.201199	0.231376	0.252313
a10	0.0130398	0.0123252	0.0148	0.0206938	0.0566169	0.121636	0.211306	0.272728	0.276854
a53	0.0120601	0.00993345	0.0112396	0.0154474	0.0461489	0.100673	0.192941	0.286917	0.324639
a94	0.0214266	0.0165723	0.018738	0.0218304	0.0509735	0.0996344	0.191724	0.268223	0.310878
a35	0.0186053	0.011244	0.0108559	0.0116847	0.0291282	0.0600877	0.150915	0.28587	0.421609
a98	0.0216565	0.0140626	0.0138176	0.0153997	0.0382224	0.0709931	0.153895	0.274224	0.397729
a73	0.0137316	0.0102674	0.0111093	0.0130885	0.0358512	0.070978	0.160925	0.290112	0.393937
a57	0.00720216	0.00412407	0.00437481	0.00468413	0.0152313	0.0396944	0.130925	0.310202	0.483562
a87	0.0134241	0.00623723	0.00532741	0.005963	0.0178571	0.0407996	0.121348	0.29426	0.494783
a23	0.00799375	0.00499822	0.00494948	0.00847706	0.0352768	0.0816455	0.190805	0.308364	0.35749
a82	0.0214717	0.0164407	0.0155746	0.0240317	0.0647672	0.109498	0.195939	0.262223	0.290054
a38	0.0114419	0.00839159	0.0085504	0.0146436	0.0501747	0.0995968	0.192136	0.288814	0.326251
a82	0.0131088	0.00939561	0.010245	0.0161763	0.046997	0.0954463	0.190717	0.278902	0.339012
a97	0.00295442	0.00277391	0.00390636	0.00977113	0.0396949	0.0904516	0.18618	0.29638	0.367888
a87	0.00709617	0.00524833	0.00522016	0.00964914	0.0317698	0.0737547	0.16302	0.288493	0.415748
</S>	0.0171211	0.010986	0.0106766	0.0163723	0.043954	0.0934338	0.173297	0.262961	0.371199
