 	tu	es	venu	à	pied	</S>
a87	0.433819	0.243572	0.144506	0.0796192	0.0548763	0.043608
a23	0.326817	0.218007	0.229966	0.123089	0.0591374	0.0429838
a87	0.314393	0.220547	0.209624	0.106371	0.0708375	0.078228
a23	0.305705	0.209776	0.189235	0.118788	0.0825395	0.0939556
a83	0.263831	0.200483	0.210851	0.14155	0.0993489	0.0839369
a70	0.504747	0.292938	0.10949	0.0433036	0.0287633	0.0207579
a98	0.443496	0.301377	0.142743	0.0593806	0.0324179	0.0205855
a73	0.320808	0.314667	0.210496	0.0939261	0.0359377	0.0241647
a84	0.286466	0.298556	0.198094	0.105504	0.0614095	0.0499711
a57	0.189446	0.193618	0.166573	0.140358	0.140927	0.169078
a76	0.119551	0.130044	0.13557	0.155656	0.204256	0.254924
a41	0.202771	0.227097	0.196121	0.147385	0.115536	0.11109
a24	0.244969	0.221114	0.159157	0.147273	0.122023	0.105464
a41	0.136486	0.139627	0.126911	0.174584	0.202515	0.219877
a35	0.0653346	0.0653579	0.0686838	0.145558	0.265976	0.38909
a14	0.0424877	0.0369667	0.0459642	0.139254	0.295799	0.439528
a44	0.0299969	0.0230496	0.0338853	0.14502	0.319538	0.44851
a57	0.0314909	0.0243618	0.0352537	0.133624	0.291392	0.483878
a79	0.00736061	0.00548245	0.0116387	0.0813703	0.281263	0.612885
a93	0.0123411	0.00736406	0.0126726	0.0635101	0.226783	0.677329
a4	0.0143874	0.00957459	0.0150003	0.0696555	0.240726	0.650656
a13	0.00900257	0.00588966	0.0100929	0.0417365	0.191011	0.742267
a9	0.0193993	0.0172425	0.0359609	0.0823685	0.196706	0.648323
a87	0.0310479	0.0325187	0.059176	0.10407	0.182854	0.590334
</S>	0.0330901	0.0323161	0.0569664	0.14241	0.235348	0.499869
