 	la	trompe	de	l'	éléphant	est	longue	</S>
a85	0.250686	0.220501	0.190875	0.13853	0.102939	0.0613944	0.0228432	0.0122322
a87	0.243087	0.227285	0.222024	0.147798	0.0987845	0.039821	0.0142848	0.0069164
a23	0.145204	0.194824	0.187254	0.148904	0.112475	0.0710778	0.066015	0.0742459
a99	0.208613	0.251888	0.220451	0.140603	0.0823935	0.0424189	0.0287664	0.0248658
a93	0.229703	0.207507	0.170417	0.128294	0.0862545	0.0578157	0.0570145	0.0629947
a90	0.390448	0.219716	0.140354	0.0790609	0.0499436	0.0386329	0.0412864	0.0405591
a92	0.334293	0.150727	0.11381	0.0938527	0.0793186	0.0747622	0.0812443	0.071992
a11	0.204521	0.14591	0.119023	0.114055	0.106967	0.113575	0.110103	0.0858468
a75	0.299493	0.200734	0.143788	0.114537	0.0856474	0.0652205	0.0486137	0.0419666
a47	0.20829	0.176447	0.139737	0.125889	0.0959793	0.0879219	0.0793312	0.0864046
a37	0.222582	0.217832	0.16181	0.126018	0.0866216	0.0664844	0.0584625	0.06019
a11	0.229001	0.223931	0.188882	0.152372	0.100304	0.0575933	0.0262301	0.0216863
a75	0.120266	0.188897	0.169282	0.157672	0.124659	0.0993245	0.0670135	0.0728861
a98	0.118439	0.143467	0.119702	0.109326	0.0989449	0.109449	0.13117	0.169502
a44	0.0696634	0.095848	0.082686	0.0844935	0.0939734	0.116313	0.189494	0.267529
a75	0.0458866	0.0795791	0.0860618	0.104008	0.122272	0.162694	0.181745	0.217753
a25	0.0327072	0.0459911	0.0468215	0.0618552	0.0745112	0.121984	0.231358	0.384772
a92	0.0190007	0.0316631	0.0338198	0.0477858	0.0598286	0.107638	0.262946	0.437318
a85	0.0253658	0.0286995	0.0246187	0.0330452	0.0396929	0.0794997	0.266936	0.502142
a47	0.0114795	0.0110105	0.00952766	0.0123673	0.0185741	0.0481601	0.274148	0.614733
a36	0.00532629	0.00507809	0.00575124	0.0093602	0.0182979	0.0524931	0.279755	0.623938
a2	0.0125181	0.0141969	0.0180774	0.0291064	0.0454601	0.084057	0.240294	0.55629
a57	0.0119699	0.017172	0.0300864	0.0470326	0.0763334	0.106842	0.255568	0.454995
a87	0.0599468	0.0478269	0.0720167	0.0970828	0.120361	0.128442	0.196954	0.27737
a23	0.0771122	0.0991617	0.155039	0.18316	0.172991	0.134627	0.0971238	0.080785
a87	0.0445079	0.03057	0.0585177	0.0903901	0.147535	0.178158	0.257464	0.192857
a23	0.00547913	0.00647016	0.013647	0.0284679	0.0603643	0.122382	0.341921	0.421269
a99	0.0062868	0.00874749	0.0171795	0.0332535	0.0633071	0.112355	0.328451	0.430419
a87	0.0122207	0.0186311	0.0283913	0.0440889	0.0661028	0.0936964	0.289237	0.447632
</S>	0.00243467	0.00488697	0.00931031	0.0180619	0.0364023	0.0779347	0.324446	0.526523
