 	je	me	bats	à	construire	la	maison	</S>
a66	0.224088	0.329305	0.267981	0.0999068	0.0530891	0.011496	0.00777032	0.00636347
a87	0.454347	0.343462	0.102036	0.0356002	0.0220764	0.0102465	0.0146338	0.0175982
a23	0.445775	0.314512	0.100352	0.0346283	0.0308521	0.0232058	0.0267013	0.0239736
a83	0.340005	0.342253	0.134584	0.0468768	0.0376114	0.0238705	0.0328549	0.0419441
a75	0.269752	0.310548	0.235869	0.0472089	0.0407036	0.0257357	0.0318813	0.0383024
a5	0.181092	0.267673	0.383948	0.0809469	0.0601374	0.0116415	0.00810081	0.00645972
a12	0.208336	0.278263	0.296677	0.0735167	0.0783136	0.0291023	0.0209801	0.0148108
a62	0.238042	0.254538	0.25571	0.0830951	0.0823029	0.0359775	0.0283345	0.0220003
a96	0.214942	0.206161	0.29581	0.115628	0.0794541	0.0316582	0.0289904	0.027356
a34	0.164602	0.161504	0.305555	0.160718	0.0989981	0.0370383	0.035384	0.0362002
a92	0.130488	0.139725	0.297441	0.215437	0.114606	0.0352396	0.0320005	0.0350637
a37	0.0838085	0.0989573	0.270415	0.248087	0.130866	0.0517956	0.0503551	0.0657151
a85	0.0724863	0.0781805	0.225769	0.267101	0.141315	0.0719774	0.0665092	0.076662
a92	0.032132	0.0381674	0.10419	0.132152	0.113747	0.155141	0.17728	0.247191
a37	0.0212887	0.0240906	0.0953084	0.153432	0.133226	0.182098	0.17664	0.213917
a66	0.0275144	0.0254799	0.0621309	0.127738	0.113743	0.185952	0.216407	0.241035
a93	0.00871587	0.0128004	0.0205915	0.0781274	0.110469	0.148788	0.254633	0.365875
a70	0.00713887	0.00703184	0.0175196	0.044056	0.0722278	0.158545	0.265462	0.428019
a75	0.0012227	0.00133187	0.00258388	0.00833109	0.0300554	0.112091	0.26267	0.581713
a92	0.000202108	0.000163188	0.000337647	0.00178371	0.00778299	0.0995156	0.293075	0.59714
a61	0.000189998	0.000153359	0.000292058	0.0019182	0.00928619	0.105235	0.286118	0.596807
a62	0.000175765	0.00016045	0.00028358	0.00170323	0.00899024	0.074629	0.257726	0.656332
a88	0.000370809	0.000327091	0.000587618	0.00315384	0.0175003	0.1131	0.287018	0.577943
a71	0.000240741	0.00021348	0.000406804	0.00355364	0.019137	0.125084	0.288918	0.562446
a9	0.00356864	0.0029532	0.00413744	0.0202619	0.0507927	0.16592	0.281098	0.471269
a87	0.0422441	0.0314225	0.0258805	0.0688631	0.0867585	0.155773	0.203692	0.385365
a23	0.243609	0.183943	0.0807435	0.105471	0.0827827	0.089565	0.097215	0.11667
a87	0.0975268	0.0437593	0.0151192	0.0163558	0.0215536	0.0956854	0.232483	0.477517
</S>	0.0147501	0.00999329	0.00534722	0.00692364	0.0117826	0.0778521	0.251501	0.62185
