 	je	ne	mange	pas	les	safous	</S>
a66	0.384674	0.194858	0.157559	0.129677	0.0761589	0.0349905	0.022083
a87	0.273019	0.201219	0.173984	0.159273	0.102712	0.0557933	0.034
a23	0.550305	0.215405	0.0732931	0.0413185	0.0414291	0.0481701	0.0300798
a83	0.523905	0.269391	0.0872613	0.0340653	0.0240992	0.0288752	0.0324024
a50	0.432222	0.217833	0.122191	0.0735379	0.0596254	0.0564395	0.0381517
a62	0.359776	0.31545	0.194238	0.0711236	0.0304364	0.0184501	0.0105259
a96	0.304365	0.305431	0.231255	0.0925867	0.0354259	0.0195626	0.011373
a75	0.254455	0.27976	0.248618	0.109098	0.0513471	0.034697	0.0220248
a92	0.154474	0.20887	0.310726	0.183302	0.084211	0.0384662	0.0199511
a37	0.118206	0.1802	0.29765	0.219425	0.104057	0.0510525	0.0294101
a85	0.149103	0.20411	0.250016	0.185407	0.0902042	0.0642015	0.0569581
a0	0.0436697	0.0842613	0.16873	0.242327	0.186698	0.14059	0.133724
a85	0.0293729	0.0502262	0.0766595	0.131255	0.133238	0.207017	0.372231
a6	0.0160007	0.0314717	0.0662038	0.161278	0.198805	0.222424	0.303818
a36	0.0196691	0.0328012	0.0567867	0.139825	0.186113	0.2381	0.326705
a54	0.0094948	0.0113996	0.0164543	0.0521671	0.103228	0.242809	0.564447
a47	0.0059291	0.00758395	0.0121524	0.0421183	0.0961018	0.204359	0.631755
a36	0.000647172	0.000755857	0.00155851	0.00846765	0.037612	0.155536	0.795423
a2	0.00432192	0.0028231	0.00328798	0.0087025	0.028155	0.145749	0.806961
a57	0.0478551	0.0472291	0.0612648	0.077813	0.117609	0.207037	0.441193
a87	0.220241	0.107729	0.0833412	0.086607	0.0979786	0.134297	0.269806
a23	0.359877	0.154841	0.103602	0.108629	0.104976	0.0798095	0.0882653
a99	0.146968	0.0656758	0.0379181	0.0528625	0.103355	0.189388	0.403834
a97	0.0577829	0.0322854	0.0295707	0.0609804	0.126362	0.264499	0.42852
</S>	0.0079448	0.00803681	0.0119262	0.0355022	0.0969155	0.279383	0.560292
