 	il	allonge	le	bras	pour	attraper	son	vêtement	</S>
a23	0.333515	0.259788	0.103318	0.0539891	0.0521084	0.0460355	0.0448194	0.051126	0.0553004
a53	0.257923	0.185391	0.0839086	0.0540359	0.0515533	0.0551624	0.0812327	0.0973718	0.133421
a20	0.224556	0.300848	0.225351	0.104946	0.0555288	0.0385695	0.0244207	0.0149837	0.0107966
a14	0.353153	0.338507	0.196261	0.0698847	0.0210874	0.011602	0.00513687	0.0027615	0.00160625
a35	0.274799	0.317918	0.210351	0.0936081	0.0460093	0.0285063	0.0157543	0.00786517	0.00518902
a30	0.302314	0.309017	0.164509	0.0952683	0.0526735	0.0353101	0.0217951	0.0113845	0.00772783
a35	0.196809	0.244516	0.172526	0.142885	0.0962934	0.0686942	0.0433928	0.0210317	0.0138518
a11	0.153348	0.197642	0.208042	0.166788	0.110353	0.073936	0.0488252	0.0231695	0.0178958
a75	0.125189	0.160322	0.187489	0.196404	0.142348	0.0930037	0.0556534	0.0234543	0.0161359
a41	0.122764	0.181708	0.223541	0.18287	0.112105	0.0737695	0.0521091	0.0282115	0.0229229
a35	0.118898	0.160265	0.20132	0.176466	0.119253	0.0852773	0.064775	0.0412705	0.0324748
a66	0.10578	0.108767	0.144617	0.155402	0.130703	0.113791	0.107088	0.071952	0.0619005
a75	0.0593073	0.0737249	0.139253	0.194804	0.146084	0.118828	0.111701	0.07613	0.0801683
a41	0.070809	0.0864142	0.103609	0.135481	0.131396	0.12365	0.126052	0.102893	0.119696
a66	0.0418651	0.0384967	0.0737671	0.115381	0.123116	0.123536	0.143555	0.147961	0.192323
a38	0.0168265	0.0269284	0.0892918	0.150736	0.145658	0.131159	0.138477	0.139848	0.161075
a76	0.0104912	0.0204291	0.0858693	0.153654	0.144794	0.129546	0.139068	0.144244	0.171904
a35	0.0108128	0.014872	0.0280684	0.0599837	0.0990347	0.126578	0.1763	0.196388	0.287963
a24	0.0169395	0.0141966	0.0286108	0.0480185	0.0720774	0.108409	0.180532	0.229576	0.301641
a25	0.00858587	0.00741689	0.0176891	0.030779	0.0502055	0.081781	0.164096	0.260635	0.378812
a38	0.00424865	0.00544339	0.0191009	0.0326222	0.0456178	0.0673352	0.130614	0.264483	0.430535
a26	0.00585803	0.00662475	0.0183134	0.0297738	0.0467296	0.0786658	0.148017	0.263067	0.402951
a24	0.0057789	0.00625977	0.0156497	0.0270356	0.0386872	0.058382	0.113655	0.268563	0.46599
a41	0.00260804	0.00241983	0.00708407	0.0154589	0.0230502	0.0386997	0.0836793	0.256035	0.570965
a14	0.00291321	0.00229615	0.00489539	0.00964091	0.0155796	0.0291464	0.0738123	0.244556	0.61716
a35	0.0025146	0.00176771	0.00387898	0.00762976	0.0117614	0.0219481	0.0617833	0.242182	0.646534
a76	0.00175062	0.00143023	0.00291071	0.00648304	0.0102585	0.0196623	0.0597065	0.248429	0.649369
a90	0.00148624	0.00165646	0.00606739	0.0151442	0.0246094	0.0393432	0.0889193	0.26851	0.554264
a82	0.00254671	0.00267126	0.0107056	0.0227593	0.0360815	0.0533711	0.102114	0.225751	0.544
a40	0.000248417	0.000290718	0.00147058	0.00530115	0.0127951	0.0252922	0.0648636	0.236731	0.653007
a75	0.000837715	0.000777382	0.00270291	0.00746301	0.0164411	0.0311697	0.0827108	0.232643	0.625254
a14	0.000428368	0.000370253	0.00191404	0.00687444	0.0154762	0.027938	0.0793624	0.237088	0.630549
a35	0.000820311	0.000721378	0.00266795	0.00851917	0.0180658	0.0351046	0.0946951	0.255791	0.583615
a66	0.00118816	0.00105157	0.00198792	0.00484316	0.0110085	0.0250897	0.0805396	0.243385	0.630906
a75	0.00290655	0.00301721	0.0059126	0.0109216	0.0199503	0.0363729	0.0948011	0.25821	0.567908
a14	0.00109273	0.00114867	0.00297032	0.00678589	0.0159717	0.0337817	0.1019	0.299658	0.536691
a73	0.00142778	0.00138104	0.00272917	0.00522591	0.0121005	0.0271817	0.0911671	0.263505	0.595281
a90	0.00143412	0.00167271	0.00356588	0.00684074	0.0124807	0.025655	0.089438	0.29954	0.559372
a20	0.000822731	0.000911124	0.00258498	0.00566204	0.0120113	0.0245898	0.0771318	0.250697	0.62559
a84	0.0011513	0.00112949	0.00356583	0.0074384	0.0164836	0.0282595	0.0805593	0.236146	0.625266
a57	0.00110784	0.00095281	0.002455	0.00650443	0.0159119	0.0359325	0.0983714	0.28663	0.552134
a87	0.0182782	0.0135599	0.0330024	0.0568753	0.0611809	0.0817569	0.149763	0.25906	0.326523
</S>	0.0225751	0.0185336	0.0387177	0.0665144	0.0702111	0.0929325	0.149718	0.237202	0.303596
