 	si	je	meurs	enterrez-moi	dans	la	forêt	oyoa	avec	une	guitare	sur	la	poitrine	</S>
a87	0.139453	0.114477	0.0967794	0.0962565	0.0887636	0.0942336	0.111987	0.0920425	0.0587489	0.0472608	0.0352336	0.00875456	0.00653135	0.00476201	0.00471687
a97	0.145248	0.0636088	0.054103	0.0645713	0.0792061	0.0913271	0.101064	0.0765468	0.0416235	0.0354346	0.0261947	0.0372776	0.0486966	0.0657424	0.069356
a3	0.0985156	0.11365	0.130795	0.109972	0.0771647	0.0706778	0.0728326	0.0588658	0.0380396	0.0334386	0.0264249	0.025861	0.0321966	0.0389939	0.0725725
a97	0.177591	0.147601	0.118701	0.11358	0.0582493	0.0621246	0.0816888	0.0605781	0.040481	0.0348172	0.0253975	0.0178676	0.0192565	0.0185384	0.0235275
a30	0.218954	0.122971	0.0856392	0.0876919	0.0519141	0.0610438	0.0822247	0.0653895	0.049458	0.0393389	0.0276268	0.0239177	0.0281668	0.0267192	0.0289449
a90	0.273722	0.0965258	0.0356245	0.0602394	0.0570131	0.0712981	0.0966141	0.0840616	0.0647774	0.0437482	0.0251796	0.0204089	0.0256391	0.0215136	0.0236345
a15	0.356925	0.0745842	0.0747016	0.0896543	0.0478184	0.0419063	0.0391289	0.0305259	0.0260937	0.0272972	0.0283382	0.0276147	0.037152	0.0380971	0.0601626
a47	0.202672	0.0809114	0.137075	0.125604	0.0793448	0.0615481	0.0483304	0.0354722	0.031748	0.0326083	0.0386044	0.0287821	0.0295019	0.0279765	0.0398205
a92	0.192267	0.0926178	0.140747	0.147019	0.0873249	0.0643659	0.0558703	0.0389806	0.0301539	0.0292382	0.031319	0.0201434	0.0217283	0.020761	0.0274644
a37	0.0954779	0.0524477	0.127154	0.17545	0.156916	0.108422	0.0733688	0.0434619	0.0290082	0.0257065	0.0298037	0.0193188	0.0188262	0.0189717	0.0256665
a47	0.115258	0.0828681	0.180879	0.196789	0.136552	0.0820844	0.0576821	0.0337798	0.0214216	0.0217803	0.023293	0.0125547	0.0118399	0.0105008	0.0127178
a62	0.0877113	0.0754166	0.193794	0.179772	0.127529	0.0807209	0.0602259	0.0385251	0.0291451	0.028446	0.0306293	0.0171141	0.0174468	0.0155367	0.0179878
a70	0.0633703	0.0783957	0.246619	0.17653	0.0955277	0.0646083	0.0460974	0.0317575	0.0301391	0.0327775	0.0411647	0.0231946	0.0228371	0.0214733	0.0255079
a93	0.0485365	0.077639	0.219643	0.192342	0.107412	0.0765906	0.0565267	0.0366613	0.0317566	0.0319307	0.0381176	0.0199609	0.0199935	0.0195085	0.0233816
a75	0.030448	0.0561933	0.186666	0.196997	0.129401	0.094315	0.0679091	0.044901	0.0366095	0.0334688	0.0377419	0.0190092	0.0198218	0.0200642	0.0264539
a21	0.0198832	0.0351576	0.137362	0.135979	0.131908	0.107959	0.0826554	0.0596981	0.0556479	0.0516533	0.0582371	0.0270868	0.0260691	0.0306146	0.040089
