 	il	est	adroit	de	ses	mains	</S>
a10	0.136896	0.0992116	0.100435	0.110598	0.135148	0.185105	0.232606
a87	0.123332	0.0969067	0.112062	0.148055	0.17521	0.212883	0.131552
a23	0.171198	0.134546	0.131682	0.153827	0.149635	0.166624	0.0924875
a79	0.164125	0.139753	0.146376	0.166064	0.138824	0.150505	0.0943538
a15	0.24567	0.210202	0.235219	0.121012	0.0672141	0.0710445	0.0496391
a41	0.258767	0.237274	0.245882	0.106383	0.052023	0.0580659	0.0416051
a35	0.25564	0.225928	0.246347	0.137685	0.0631947	0.0443714	0.0268338
a26	0.246002	0.215109	0.221139	0.1493	0.0737055	0.0554102	0.0393344
a24	0.196221	0.183481	0.215243	0.168044	0.0971214	0.0768157	0.0630738
a25	0.209579	0.199969	0.208522	0.17417	0.0952034	0.0653356	0.0472208
a38	0.146983	0.146851	0.179034	0.194238	0.130563	0.112099	0.0902322
a76	0.137161	0.137817	0.167897	0.195619	0.146734	0.122456	0.0923166
a94	0.0978113	0.0930023	0.12167	0.170715	0.171676	0.186389	0.158736
a98	0.0611119	0.0647776	0.0876956	0.12147	0.156404	0.238246	0.270295
a90	0.0371862	0.0406204	0.06144	0.0893941	0.139529	0.259675	0.372156
a76	0.0432403	0.0463584	0.0641162	0.0847217	0.131349	0.239743	0.390471
a84	0.0301259	0.0337613	0.053436	0.075199	0.113404	0.243899	0.450175
a87	0.0158081	0.0206639	0.0411213	0.0628144	0.100423	0.24154	0.517629
a23	0.0141299	0.0156085	0.0287808	0.0545768	0.106688	0.283707	0.496509
a87	0.0431456	0.0450459	0.0739852	0.112336	0.143468	0.230371	0.351649
</S>	0.020566	0.0217175	0.0423876	0.0829589	0.149746	0.305882	0.376742
