 	celui	qui	se	réveille	avant	réveille	les	autres	</S>
a87	0.34885	0.252856	0.160839	0.124394	0.0584649	0.0221787	0.0129712	0.00976177	0.00968446
a23	0.45761	0.277976	0.0922557	0.0520119	0.0289053	0.0202213	0.0209991	0.022805	0.027215
a53	0.144522	0.123769	0.115283	0.0904264	0.0818209	0.0681572	0.0920909	0.128223	0.155708
a15	0.310074	0.267514	0.139309	0.0925924	0.063698	0.0494665	0.0335917	0.0234233	0.0203314
a92	0.229673	0.325015	0.169756	0.0658043	0.0503364	0.0384246	0.0428853	0.0359624	0.0421431
a85	0.189128	0.280243	0.170553	0.0848596	0.0751991	0.0547179	0.0533579	0.0426914	0.0492499
a47	0.143139	0.227622	0.139221	0.112722	0.114481	0.0856075	0.0677538	0.053872	0.0555826
a37	0.185866	0.260915	0.199638	0.119913	0.0838325	0.0448644	0.0362012	0.0336065	0.0351638
a93	0.218165	0.271772	0.229047	0.102482	0.0657538	0.0322607	0.0272088	0.0251177	0.0281941
a4	0.191129	0.221279	0.241753	0.128104	0.0780272	0.0344067	0.0331398	0.0332529	0.0389083
a93	0.112387	0.113264	0.183667	0.18363	0.133833	0.0726196	0.0617209	0.0637249	0.0751542
a56	0.0744373	0.0730763	0.139704	0.191806	0.152319	0.0888264	0.0832572	0.0900635	0.106511
a75	0.0311823	0.0314562	0.0609777	0.130046	0.133041	0.133434	0.135482	0.15623	0.188151
a98	0.0179668	0.0180317	0.0231703	0.0577648	0.0834954	0.143414	0.172706	0.216815	0.266636
a85	0.0206753	0.0232332	0.0393824	0.109639	0.112615	0.137703	0.148381	0.18593	0.222441
a92	0.0229401	0.0244245	0.0381937	0.101714	0.106571	0.131286	0.137347	0.194913	0.242611
a85	0.00728987	0.00736404	0.0146526	0.0563809	0.0783039	0.127238	0.148699	0.241333	0.318739
a5	0.0126296	0.0135507	0.0184292	0.0376742	0.0500495	0.0978757	0.13914	0.258516	0.372135
a37	0.0149617	0.0143751	0.0177312	0.0377297	0.0576876	0.115586	0.159473	0.258839	0.323617
a61	0.00227862	0.00221265	0.00338957	0.0108211	0.0230374	0.0921758	0.175048	0.32199	0.369047
a43	0.00217233	0.00186129	0.00254399	0.00696453	0.0138795	0.063758	0.151933	0.348389	0.408499
a75	0.000918671	0.000772392	0.00104713	0.00353699	0.00712934	0.0427618	0.129174	0.343971	0.470688
a85	0.00201337	0.00220832	0.00291396	0.00655564	0.0128775	0.0547215	0.142404	0.327784	0.448522
a6	0.00511418	0.00505476	0.00678972	0.0139158	0.0232323	0.0678409	0.152596	0.31901	0.406447
a36	0.00179373	0.00187292	0.00220573	0.00647351	0.0149658	0.0662115	0.163544	0.338596	0.404337
a61	0.00101226	0.000688011	0.000942685	0.00369174	0.00846679	0.0507388	0.129072	0.31136	0.494028
a12	0.00101655	0.000695471	0.00120859	0.0052923	0.0102113	0.0502367	0.132306	0.311477	0.487556
a43	0.00087727	0.000628033	0.000822276	0.00285745	0.00541832	0.0296856	0.110808	0.316729	0.532174
a27	0.00124882	0.000940756	0.00154963	0.0057144	0.0115018	0.0585775	0.151436	0.303255	0.465776
a30	0.0202223	0.0133342	0.012966	0.0356673	0.0557931	0.140864	0.177939	0.249491	0.293723
a87	0.204049	0.124033	0.0522448	0.0638431	0.0629794	0.0959793	0.110303	0.138273	0.148296
a23	0.148956	0.102835	0.0483802	0.0784806	0.0900655	0.148652	0.141178	0.126891	0.114561
a87	0.0389828	0.0251363	0.0118732	0.0228691	0.0474083	0.135099	0.225444	0.257775	0.235412
</S>	0.0108162	0.00795099	0.00530788	0.0190635	0.0332978	0.100909	0.198794	0.307391	0.316469
