 	tu	gaspilles	de	l'	argent	</S>
a66	0.458054	0.0851041	0.088512	0.115429	0.135277	0.117624
a87	0.244732	0.101935	0.197601	0.18058	0.16142	0.113732
a10	0.346151	0.232184	0.187918	0.119466	0.0720309	0.0422511
a97	0.365868	0.25226	0.216743	0.1007	0.0418711	0.0225582
a99	0.416454	0.268052	0.178201	0.0780527	0.0357671	0.0234732
a54	0.479067	0.29894	0.13153	0.0506001	0.0246704	0.0151926
a79	0.566928	0.29619	0.0915952	0.0239174	0.0122656	0.00910309
a25	0.499164	0.238382	0.154937	0.058502	0.0285651	0.02045
a69	0.164637	0.136197	0.231235	0.215953	0.15247	0.0995082
a90	0.0401895	0.0576878	0.149098	0.260028	0.270505	0.222492
a56	0.030179	0.0622443	0.166281	0.259582	0.264501	0.217213
a25	0.00734067	0.0144417	0.070586	0.215987	0.334943	0.356702
a56	0.00268715	0.00672399	0.0435241	0.182278	0.336341	0.428446
a93	0.00209684	0.00370554	0.0241782	0.130774	0.323134	0.516111
a90	0.000466395	0.00100243	0.0103074	0.0783777	0.280712	0.629134
a25	0.00072611	0.00148243	0.0120416	0.0690337	0.254588	0.662128
a94	0.000495031	0.000802466	0.00839884	0.0590905	0.229936	0.701277
a58	0.00250188	0.00459912	0.019042	0.0803052	0.248224	0.645328
a82	0.0116951	0.0153473	0.0420514	0.107018	0.244897	0.578991
a97	0.0816312	0.07772	0.165693	0.234083	0.228818	0.212055
a87	0.0385941	0.0338728	0.127818	0.222074	0.27825	0.299391
a97	0.0244814	0.0194678	0.0709146	0.182426	0.315105	0.387605
</S>	0.00453846	0.00783291	0.0262991	0.113425	0.295551	0.552354
