 	les	vagues	agitent	la	pirogue	</S>
a23	0.433776	0.249644	0.162973	0.0592408	0.0477476	0.046619
a99	0.38719	0.298712	0.161773	0.0513468	0.0470459	0.0539314
a83	0.415054	0.264748	0.158916	0.0494282	0.0494137	0.0624401
a66	0.394426	0.267563	0.200055	0.0613803	0.0429453	0.0336302
a38	0.510565	0.264376	0.151023	0.02699	0.0220333	0.0250126
a35	0.432345	0.260258	0.19072	0.0383162	0.0349963	0.0433639
a26	0.332259	0.265636	0.259838	0.0576768	0.0415464	0.0430449
a41	0.323177	0.275164	0.246548	0.058224	0.0430297	0.0538582
a24	0.274777	0.294493	0.296955	0.0665906	0.0363256	0.0308587
a26	0.298559	0.298765	0.271238	0.0679753	0.0352486	0.0282148
a24	0.234422	0.284434	0.31199	0.0941908	0.0425559	0.0324072
a41	0.221863	0.288311	0.286678	0.0994421	0.0610832	0.0426221
a32	0.128398	0.223722	0.283471	0.15694	0.112592	0.0948766
a25	0.060047	0.105296	0.15317	0.24619	0.231715	0.203583
a11	0.0578603	0.108987	0.137492	0.23969	0.239015	0.216955
a26	0.0367658	0.060701	0.0732533	0.203578	0.312988	0.312714
a43	0.0351749	0.0545927	0.0639822	0.197545	0.316068	0.332638
a75	0.0286482	0.0352899	0.0380803	0.172607	0.32759	0.397784
a35	0.018605	0.0236233	0.027668	0.128092	0.335416	0.466596
a26	0.0278787	0.030753	0.0287062	0.125544	0.320803	0.466316
a38	0.0402812	0.0394037	0.0384448	0.126775	0.296511	0.458584
a14	0.0222378	0.0217323	0.0205002	0.117582	0.311834	0.506114
a35	0.0125665	0.0123147	0.0121407	0.104136	0.314022	0.54482
a24	0.0109492	0.0137653	0.0147322	0.105496	0.300494	0.554564
a25	0.00837038	0.0134278	0.0145121	0.0888295	0.267993	0.606867
a87	0.0178878	0.0173332	0.0177699	0.108412	0.289082	0.549515
</S>	0.0165639	0.0162207	0.0136552	0.0939507	0.294392	0.565217
