 	le	fil	indigène	fabriqué	avec	l'	écorce	de	la	liane	lekosa	est	résistant	</S>
a66	0.151576	0.13494	0.0885593	0.0784381	0.0566186	0.0664828	0.0802148	0.071295	0.0858282	0.0729259	0.0516812	0.0454385	0.0100626	0.00593864
a87	0.244465	0.135388	0.0654446	0.0493135	0.049962	0.0630291	0.0709965	0.0666446	0.0692305	0.0571045	0.0411574	0.0364301	0.0232563	0.0275778
a97	0.156175	0.0804397	0.0475744	0.0344515	0.026791	0.0378473	0.0427319	0.0439312	0.0796524	0.101426	0.0770461	0.116031	0.0817492	0.0741532
a99	0.132907	0.0873808	0.0676713	0.0540258	0.0352474	0.0454447	0.0492538	0.0472796	0.086916	0.109396	0.0902492	0.0966345	0.057704	0.0398891
a97	0.108078	0.0651591	0.0564672	0.048432	0.0295912	0.0404421	0.0394278	0.0443827	0.0985793	0.122428	0.133129	0.119827	0.058092	0.0359638
a30	0.107293	0.0570675	0.0519095	0.0461455	0.0307976	0.0389967	0.030758	0.0308826	0.0650011	0.0829662	0.139927	0.171349	0.0935813	0.053325
a93	0.104077	0.055807	0.0498743	0.0403556	0.0240279	0.0316592	0.0230154	0.0235899	0.0571242	0.0682626	0.165467	0.217145	0.100468	0.0391265
a4	0.165961	0.141492	0.110259	0.0987623	0.0580863	0.0659519	0.0460276	0.0358557	0.056863	0.0538179	0.0475068	0.0768591	0.0302845	0.0122723
a13	0.157064	0.165626	0.160162	0.138898	0.0819631	0.0742055	0.0446825	0.0316706	0.0381626	0.0323214	0.0231946	0.0298628	0.0122134	0.00997269
a70	0.0867598	0.108811	0.175636	0.150453	0.104729	0.0886619	0.063483	0.0410624	0.0419919	0.0363538	0.0363506	0.036826	0.0149811	0.0139018
a43	0.0798061	0.106478	0.172385	0.161081	0.121305	0.0974997	0.0738832	0.0492098	0.0437617	0.033282	0.0194502	0.0202501	0.00913783	0.0124694
a11	0.0522052	0.0702981	0.156244	0.146798	0.130112	0.110673	0.0943653	0.061575	0.0525179	0.0390144	0.0238683	0.0253907	0.0145584	0.022379
a61	0.0392106	0.0437254	0.0972007	0.108929	0.122596	0.120711	0.118363	0.0825689	0.0685405	0.0541	0.03371	0.0374095	0.0256011	0.0473337
a75	0.03228	0.0325954	0.0722164	0.0906934	0.117267	0.124255	0.126234	0.0918129	0.0779373	0.0645493	0.0407644	0.0454704	0.0319628	0.0519622
a21	0.00856364	0.0104059	0.0346316	0.0580159	0.102126	0.12188	0.14624	0.12105	0.10832	0.0872649	0.0632071	0.0599728	0.0374634	0.0408583
a85	0.0162753	0.0198946	0.0487958	0.0736153	0.0992284	0.107654	0.145487	0.121852	0.098246	0.0790712	0.066038	0.051454	0.0349611	0.0374275
a6	0.00428536	0.00493995	0.0219732	0.0458449	0.0760991	0.088556	0.138008	0.147097	0.118309	0.0930287	0.0779057	0.0672475	0.0600581	0.0566479
a37	0.0041593	0.0039785	0.0129214	0.0284249	0.0577006	0.0804504	0.122312	0.141165	0.130629	0.111887	0.104134	0.0802745	0.0597093	0.0622543
a98	0.00483642	0.00424967	0.00992643	0.0176326	0.0347524	0.0559458	0.102239	0.139851	0.127026	0.116901	0.118959	0.0932713	0.0736452	0.100764
a47	0.00167088	0.00165857	0.00522571	0.00944483	0.0180879	0.0288794	0.0653403	0.112777	0.105131	0.103447	0.156958	0.0958704	0.131919	0.163591
a98	0.00165676	0.00142184	0.00424608	0.00786188	0.0134974	0.0198706	0.0436017	0.0959531	0.102717	0.112862	0.212518	0.117545	0.127384	0.138866
a85	0.00128907	0.0011628	0.00393351	0.00707344	0.0145308	0.0214555	0.0492958	0.0984697	0.0941985	0.0971009	0.183502	0.0932775	0.13688	0.197831
a92	0.00133	0.00119397	0.00380159	0.00707732	0.0151265	0.0219687	0.0490713	0.105275	0.0967096	0.0980213	0.176543	0.089634	0.120964	0.213284
a47	0.00106523	0.000960114	0.00279001	0.00471314	0.00867618	0.0124837	0.0295544	0.0703892	0.0730406	0.0803941	0.174678	0.093566	0.169043	0.278646
a96	0.000380444	0.000266209	0.00109394	0.00236615	0.00573253	0.00855629	0.0211682	0.0606008	0.0568215	0.0699755	0.160206	0.100794	0.186502	0.325538
a66	0.00076495	0.000574891	0.00133738	0.0026338	0.00624078	0.00878784	0.0158998	0.0418122	0.041866	0.0549413	0.143739	0.0924504	0.217121	0.37183
a44	0.00119356	0.000781025	0.000979083	0.0015855	0.00399914	0.00660652	0.0114281	0.022921	0.0238522	0.0376159	0.132185	0.0907642	0.316283	0.349805
a93	0.000444815	0.000305401	0.000497868	0.000818356	0.00178933	0.00284547	0.00508424	0.0119346	0.0123124	0.0193585	0.0807402	0.0586744	0.275349	0.529845
a43	0.000232842	0.000178761	0.000297873	0.000523354	0.00120766	0.00199017	0.00383303	0.00894884	0.00935352	0.014769	0.0609341	0.0393163	0.246565	0.61185
a75	0.000208433	0.000133359	0.000181566	0.000308322	0.000817554	0.00140265	0.00250004	0.00521117	0.00494943	0.00866196	0.0379885	0.0308494	0.260032	0.646755
