 	pourquoi	te	plains	-tu	encore	</S>
a66	0.557871	0.195817	0.0981971	0.064075	0.0392377	0.0448022
a87	0.351599	0.226718	0.143537	0.170557	0.0632904	0.0442975
a23	0.482663	0.348172	0.123254	0.0308616	0.00899578	0.00605365
a34	0.533758	0.296795	0.100604	0.0267895	0.0198997	0.0221546
a75	0.634576	0.296498	0.0361311	0.0139827	0.0100904	0.00872231
a92	0.413908	0.4157	0.111895	0.0305887	0.0181021	0.00980634
a56	0.168896	0.378315	0.30564	0.101244	0.0338881	0.0120166
a75	0.102434	0.152406	0.314544	0.323284	0.0722511	0.0350815
a98	0.11107	0.112126	0.222816	0.360243	0.128457	0.0652881
a92	0.0500609	0.0474786	0.0991378	0.35978	0.259861	0.183682
a5	0.00693124	0.00531542	0.0236405	0.145818	0.355201	0.463094
a21	0.00174611	0.0015221	0.00588135	0.0463719	0.226144	0.718334
a12	0.00118934	0.00181902	0.00633951	0.0341017	0.128251	0.828299
a61	0.000228845	0.000423007	0.00297543	0.0396111	0.165138	0.791624
a88	0.000400858	0.000516919	0.00456461	0.0634787	0.240099	0.69094
a71	0.000464884	0.000949256	0.012196	0.0566863	0.254294	0.67541
a25	0.046995	0.0327313	0.0428199	0.0965538	0.27197	0.50893
a87	0.578956	0.15671	0.0830966	0.0434813	0.0565244	0.0812312
a23	0.406695	0.261277	0.162714	0.052962	0.0474676	0.0688855
a87	0.0686007	0.0429639	0.0791645	0.0915043	0.193451	0.524316
</S>	0.00803553	0.00645503	0.0229354	0.103272	0.256048	0.603253
