 	elle	brosse	l'	habit	</S>
a23	0.284257	0.212259	0.161203	0.165851	0.176429
a53	0.470792	0.223884	0.123526	0.0800888	0.101709
a54	0.234345	0.210216	0.18469	0.188887	0.181862
a47	0.444318	0.296021	0.141778	0.0731727	0.0447107
a6	0.482685	0.32927	0.0938741	0.0494372	0.0447335
a27	0.453014	0.349568	0.101953	0.051975	0.04349
a21	0.492745	0.319171	0.0940947	0.0490268	0.0449626
a43	0.466627	0.305312	0.119455	0.0660934	0.0425121
a11	0.331968	0.296183	0.167108	0.116482	0.0882592
a21	0.369472	0.285992	0.175955	0.095842	0.0727392
a96	0.224716	0.22217	0.226709	0.192142	0.134263
a62	0.191832	0.203101	0.257444	0.200441	0.147182
a83	0.0938699	0.130048	0.271699	0.327553	0.176829
a62	0.0967063	0.106482	0.215486	0.338416	0.242908
a34	0.0593661	0.0834108	0.188673	0.365948	0.302602
a75	0.041316	0.0652669	0.154297	0.375074	0.364046
a25	0.0374996	0.0556611	0.106224	0.290657	0.509959
a90	0.0153808	0.0251759	0.0699766	0.276095	0.613372
a58	0.0201515	0.0282143	0.0696251	0.274454	0.607555
a98	0.00969309	0.011821	0.0360972	0.211156	0.731232
a47	0.0155858	0.022165	0.0507542	0.190592	0.720903
a37	0.010911	0.0163586	0.0461655	0.213106	0.713459
a66	0.00722845	0.0111171	0.0401661	0.216502	0.724986
a54	0.0162345	0.0194072	0.0538315	0.226549	0.683978
a36	0.00854388	0.0165089	0.051699	0.240884	0.682364
a2	0.0178511	0.0248845	0.0643023	0.221454	0.671508
a57	0.0694096	0.0763292	0.102656	0.201774	0.549832
a10	0.204518	0.159613	0.132588	0.176859	0.326422
a87	0.184113	0.141959	0.130696	0.230838	0.312394
a10	0.199288	0.161253	0.181596	0.236037	0.221826
a87	0.108265	0.101847	0.170064	0.279982	0.339843
</S>	0.0566174	0.0556239	0.102182	0.235423	0.550154
