 	le	bateau	d'	on	yami	remonte	le	fleuve	aujourd'	hui	</S>
a66	0.261278	0.246611	0.160213	0.131559	0.100311	0.042887	0.0279833	0.0124515	0.00626848	0.00463195	0.00580552
a87	0.444848	0.32887	0.109794	0.0488092	0.0302068	0.0120156	0.00812213	0.00470635	0.0030728	0.0033401	0.006215
a23	0.39145	0.273528	0.115932	0.0709017	0.0728651	0.0195833	0.0119499	0.00992497	0.007907	0.00928209	0.0166761
a87	0.351718	0.212287	0.0802626	0.0646303	0.067541	0.0262525	0.0275887	0.0361992	0.0279131	0.0392407	0.0663668
a40	0.432757	0.18795	0.0677457	0.0536223	0.0505053	0.0232488	0.0250831	0.0378511	0.026677	0.0359341	0.0586248
a7	0.338422	0.160295	0.116792	0.102153	0.0983998	0.0584864	0.0409477	0.0282244	0.0190079	0.0179011	0.0193708
a11	0.13893	0.24067	0.176814	0.152108	0.106371	0.100187	0.0392708	0.0191448	0.0107973	0.00847937	0.00722763
a53	0.0869682	0.163847	0.188013	0.185302	0.111335	0.129588	0.051956	0.0269468	0.0186747	0.0196139	0.0177551
a69	0.0699906	0.139433	0.19235	0.207719	0.111718	0.137107	0.0547495	0.0280791	0.020017	0.020333	0.018503
a4	0.0575352	0.117161	0.199826	0.226579	0.104529	0.125019	0.0594302	0.0312202	0.0258047	0.0268101	0.0260852
a53	0.0358969	0.0544643	0.154201	0.232653	0.127528	0.13773	0.0829509	0.046581	0.0415639	0.0431159	0.0433162
a93	0.0403329	0.050859	0.145668	0.210833	0.121958	0.135769	0.0960517	0.0555248	0.0489467	0.047031	0.0470257
a70	0.0348984	0.0385508	0.121816	0.201333	0.146097	0.151713	0.101582	0.0641983	0.0524953	0.0448412	0.0424754
a37	0.00772292	0.00672129	0.0246121	0.072016	0.143784	0.133523	0.141237	0.125811	0.11117	0.113905	0.119497
a70	0.00527439	0.0052137	0.0184061	0.0564396	0.137222	0.138203	0.159851	0.136453	0.11286	0.109166	0.120911
a50	0.00350036	0.00336869	0.0097121	0.0289205	0.0874527	0.0922188	0.152006	0.145169	0.133335	0.151519	0.192798
a70	0.00333855	0.00295488	0.00739066	0.0210177	0.0531798	0.0554221	0.126003	0.141199	0.146799	0.189231	0.253464
a44	0.00201825	0.00188136	0.0042983	0.0132944	0.0456086	0.0444325	0.120608	0.144638	0.154532	0.203865	0.264824
a37	0.00209303	0.00195773	0.0049112	0.0150735	0.0436763	0.0421559	0.11205	0.127251	0.151899	0.217054	0.281879
a70	0.00186513	0.00165273	0.00351862	0.00940652	0.0291184	0.0343448	0.0832882	0.0933442	0.149569	0.260262	0.333631
a26	0.00112425	0.000860548	0.00131203	0.00226159	0.0092052	0.0141251	0.0485986	0.0932135	0.185163	0.313119	0.331017
a70	0.00213524	0.00138679	0.00169875	0.00203947	0.00766375	0.0137894	0.0470247	0.111307	0.211989	0.299076	0.30189
a44	0.0021252	0.00142229	0.00210921	0.00288845	0.00788839	0.0144173	0.0486338	0.0884075	0.189819	0.308785	0.333504
a37	0.00142804	0.000986515	0.00159548	0.00258973	0.00811383	0.0129822	0.0423081	0.075291	0.170992	0.312221	0.371492
a26	0.000988725	0.000713963	0.00117373	0.00178471	0.00563297	0.0112232	0.0385415	0.0789551	0.189313	0.31774	0.353933
a9	0.00055823	0.00033953	0.000454086	0.000588547	0.00279078	0.00646839	0.027089	0.083871	0.206791	0.322997	0.348052
a26	0.00844473	0.00532208	0.00436308	0.00368609	0.00821414	0.0141472	0.0326232	0.0920559	0.197739	0.299348	0.334056
a7	0.0334586	0.0174358	0.0107218	0.00867685	0.0147661	0.0209723	0.0404346	0.0936947	0.196605	0.281688	0.281546
a44	0.0213158	0.0122303	0.00897982	0.00751483	0.014153	0.0239558	0.0446888	0.0895392	0.201394	0.298881	0.277347
a26	0.00422056	0.00224169	0.00255381	0.00255926	0.00617743	0.0127915	0.0382782	0.106526	0.209495	0.288466	0.326691
a2	0.00247636	0.00168819	0.00210971	0.00258683	0.00958962	0.0167949	0.044303	0.114984	0.224798	0.293713	0.286957
a57	0.00735905	0.00459694	0.00409184	0.00422811	0.00974462	0.0148874	0.0296319	0.0825614	0.192133	0.32573	0.325036
a87	0.0238616	0.0144317	0.011347	0.0119006	0.0248589	0.0337019	0.0563328	0.10118	0.19445	0.272168	0.255768
a23	0.294411	0.228131	0.113108	0.0670949	0.0409218	0.0380582	0.0336289	0.0310985	0.0441148	0.053481	0.055952
a87	0.227206	0.182673	0.127553	0.0888893	0.048099	0.0588784	0.0505355	0.0414627	0.0522062	0.0595005	0.0629955
a23	0.100831	0.108415	0.112218	0.0957034	0.065366	0.0647804	0.0783493	0.0675878	0.0881524	0.0998053	0.118791
a87	0.13235	0.121706	0.118405	0.0991587	0.0508955	0.0524413	0.0760144	0.0622627	0.079119	0.0921295	0.115518
</S>	0.114889	0.162792	0.0978731	0.0608433	0.0443884	0.0438526	0.0719171	0.0719431	0.0903771	0.104043	0.137082
