 	la	manière	dont	il	exige	la	présence	de	sa	mère	est	celle	des	enfantq	</S>
a66	0.104101	0.0654219	0.0578239	0.0566116	0.079299	0.103925	0.112606	0.0989655	0.104665	0.0977842	0.0738172	0.0233305	0.00845116	0.00640717	0.00679143
a87	0.281547	0.145066	0.0887551	0.0716176	0.0825422	0.0702756	0.0484613	0.0315933	0.0280996	0.0257813	0.0201545	0.0249801	0.0280865	0.0332563	0.0197837
a23	0.262673	0.149659	0.117625	0.0870256	0.0807053	0.0582768	0.0378189	0.0253886	0.0212284	0.0199147	0.0208502	0.0316547	0.0228814	0.0342955	0.0300037
a50	0.162251	0.155057	0.17112	0.117256	0.119862	0.0666592	0.038114	0.0239112	0.0217671	0.0191777	0.0178226	0.0236156	0.0185452	0.0260014	0.01884
a88	0.144092	0.158873	0.160654	0.0934599	0.104076	0.0584853	0.0417376	0.0252846	0.0210356	0.0204458	0.0275596	0.0400758	0.0406328	0.0378422	0.025745
a62	0.195972	0.246123	0.22497	0.0886908	0.0949814	0.0412086	0.0250424	0.0132634	0.00885039	0.00714807	0.0119415	0.0178167	0.0121063	0.00767471	0.00421105
a61	0.14347	0.229854	0.252316	0.106473	0.0985489	0.0453494	0.0305959	0.0192324	0.0121858	0.0098159	0.0121804	0.0170157	0.011288	0.00717378	0.00449966
a62	0.115908	0.217444	0.243682	0.137086	0.120612	0.0503511	0.0345294	0.0197989	0.0116459	0.00912719	0.00951571	0.0131341	0.00870387	0.00524482	0.00321718
a31	0.143354	0.23082	0.209957	0.132015	0.105071	0.0520256	0.0395102	0.0264121	0.0149005	0.0109484	0.00895061	0.00997757	0.00732814	0.00503675	0.00369253
a21	0.132634	0.2127	0.182404	0.133272	0.103846	0.0616876	0.0504752	0.0373749	0.0219248	0.0159279	0.0109972	0.0110244	0.0107077	0.00854016	0.00648411
a47	0.135046	0.189826	0.155607	0.128899	0.102814	0.0719158	0.0614641	0.0491828	0.0325519	0.0239932	0.0135566	0.00936434	0.00924209	0.00920532	0.00733091
a62	0.13118	0.150495	0.134782	0.12349	0.112834	0.0901212	0.0733407	0.0564577	0.0387807	0.0284636	0.0155843	0.0113561	0.0109012	0.0115123	0.0107002
a47	0.0962865	0.114713	0.108232	0.114642	0.106099	0.107853	0.0937212	0.0871427	0.0606318	0.0442413	0.0234826	0.0119241	0.00974593	0.0110432	0.0102418
a75	0.0455197	0.0509015	0.067024	0.100855	0.11286	0.143527	0.124307	0.118334	0.0861009	0.064032	0.0319199	0.0147654	0.0128921	0.0131169	0.0138445
a25	0.0198619	0.0323052	0.0516218	0.103951	0.112884	0.147735	0.131321	0.126015	0.0874936	0.0613061	0.0365546	0.0157447	0.01687	0.0245055	0.0318312
a56	0.0117238	0.0177357	0.0333034	0.101556	0.121187	0.160981	0.142431	0.136098	0.099451	0.0673673	0.0318797	0.0119202	0.0123375	0.0200708	0.0319574
a93	0.0177699	0.0232128	0.035647	0.0869021	0.113653	0.157729	0.147441	0.137088	0.0966304	0.0681588	0.0327716	0.0135234	0.0165152	0.0222521	0.0307061
a4	0.0148633	0.0176422	0.0287592	0.0717594	0.0998445	0.158737	0.148149	0.14645	0.105572	0.0758164	0.0371813	0.0160867	0.0196511	0.0266484	0.0328395
a93	0.0106005	0.014458	0.0208828	0.0490834	0.069723	0.133933	0.144397	0.154632	0.118752	0.0883345	0.0533019	0.0263462	0.0309742	0.0374574	0.0471243
a4	0.00990281	0.0118732	0.0167787	0.0375441	0.0545554	0.113459	0.134464	0.153346	0.126481	0.0972358	0.066178	0.0390712	0.0378232	0.0477129	0.053574
a34	0.00565804	0.00656	0.00944205	0.0281175	0.0464981	0.0962865	0.113043	0.125234	0.115098	0.0864174	0.0521304	0.0469291	0.0703171	0.0924588	0.10581
a62	0.00437789	0.00517587	0.00753534	0.0207948	0.031405	0.0772986	0.0952672	0.119515	0.112102	0.0842373	0.0719228	0.0687005	0.0824031	0.105993	0.113272
a88	0.00317461	0.00363033	0.00519991	0.015431	0.0255132	0.0598059	0.0628302	0.0725218	0.0770356	0.0548823	0.0432679	0.0602845	0.117895	0.180557	0.21797
a62	0.00304097	0.00289747	0.00337871	0.0103057	0.018347	0.0392033	0.0431988	0.0439932	0.0580538	0.0519576	0.0486739	0.050361	0.124456	0.21685	0.285282
a21	0.00181877	0.00193182	0.00252987	0.00668951	0.0110853	0.0263852	0.0300609	0.0345364	0.0433382	0.036538	0.0415654	0.0591529	0.155263	0.246738	0.302367
a85	0.00216265	0.00167489	0.00186816	0.00447452	0.00692257	0.0147995	0.0158697	0.0195196	0.0236703	0.0213993	0.0281243	0.0525602	0.153793	0.293949	0.359212
a5	0.00733515	0.00843494	0.0118208	0.0285113	0.0374029	0.0568668	0.0615769	0.0664018	0.070416	0.0471079	0.0249439	0.0321487	0.0768086	0.160975	0.309249
a18	0.00151417	0.0013459	0.00171295	0.00485615	0.0074979	0.0157674	0.0174578	0.020913	0.0231757	0.0174348	0.0204084	0.0418216	0.123383	0.224515	0.478197
a61	0.00164638	0.00108567	0.00088487	0.00272821	0.00448369	0.0098736	0.0114701	0.0112253	0.014757	0.0137625	0.0111831	0.012622	0.0828383	0.218899	0.60254
a62	0.00123484	0.000824261	0.000784259	0.00193892	0.00300708	0.0063895	0.00713274	0.00797185	0.010929	0.00957669	0.00941347	0.017649	0.113515	0.244449	0.565184
a0	0.00159541	0.00125365	0.00119591	0.00263599	0.0038646	0.00775442	0.00894548	0.00955636	0.0121221	0.0117106	0.0123691	0.0250859	0.1416	0.260394	0.499917
a10	0.00157694	0.00107146	0.000952361	0.00258967	0.00381606	0.00796737	0.0105545	0.0109658	0.0151356	0.0160205	0.0179252	0.031518	0.141637	0.235086	0.503183
a87	0.0364509	0.0249565	0.0218579	0.0334174	0.0366578	0.0547292	0.0519675	0.0515636	0.0490691	0.03817	0.0359642	0.0381879	0.0678869	0.124779	0.334342
a23	0.0600852	0.0279812	0.0186991	0.03543	0.037881	0.0542932	0.0673859	0.0735144	0.0935176	0.107742	0.120347	0.0831558	0.0499962	0.0705735	0.0993973
a87	0.0384427	0.0124333	0.00567269	0.0111969	0.0126021	0.0202247	0.0241793	0.0298956	0.02624	0.0264895	0.0335762	0.0568033	0.103728	0.237062	0.361454
</S>	0.00727756	0.00344449	0.00213444	0.00754231	0.0100144	0.0183906	0.0174258	0.0192215	0.0142075	0.0115778	0.0121139	0.0252596	0.0887855	0.279814	0.48279
