 	cette	maison	est	en	état	de	délabrement	car	elle	est	déjà	vieille	</S>
a23	0.0997592	0.0908378	0.114003	0.111981	0.114428	0.144641	0.0832988	0.0712705	0.0565483	0.0752345	0.0306066	0.00519063	0.00220037
a83	0.18479	0.152487	0.13084	0.137343	0.13718	0.114127	0.0531057	0.0293889	0.0134883	0.0161494	0.0116769	0.010109	0.00931394
a62	0.122019	0.115656	0.0915227	0.10526	0.113325	0.10976	0.0751613	0.0574382	0.0287101	0.0313401	0.0364912	0.0459682	0.0673489
a21	0.172693	0.16509	0.163211	0.144041	0.100547	0.109967	0.0610495	0.0255178	0.0128902	0.0137212	0.0115981	0.0102743	0.00939892
a47	0.198198	0.212098	0.170946	0.133933	0.085112	0.0887754	0.0560471	0.0229216	0.00832018	0.00770344	0.00614693	0.00551914	0.00428016
a21	0.125764	0.171896	0.141029	0.15444	0.125821	0.109134	0.0928826	0.0345819	0.0122283	0.0080389	0.00655319	0.00813712	0.00949438
a47	0.145946	0.197643	0.149276	0.137487	0.108701	0.0909071	0.0788196	0.0290883	0.0101111	0.0084181	0.0115596	0.0168458	0.0151982
a12	0.100425	0.137779	0.107855	0.138457	0.143401	0.121655	0.127629	0.0480954	0.0200762	0.014405	0.0126303	0.0135308	0.0140615
a62	0.0892528	0.118135	0.10486	0.123108	0.122185	0.112258	0.119748	0.0650215	0.0352578	0.0257916	0.0273913	0.02754	0.0294505
a31	0.0363339	0.0530965	0.065494	0.109736	0.13877	0.134586	0.169284	0.107126	0.0651224	0.038867	0.0304348	0.0246376	0.0265125
a62	0.0243796	0.0380962	0.0575248	0.10435	0.140126	0.141622	0.168959	0.114558	0.073744	0.0448496	0.03377	0.0268941	0.0311264
a43	0.017251	0.0241628	0.043655	0.0890542	0.133572	0.13988	0.162333	0.121991	0.103744	0.0700398	0.0438388	0.0251725	0.0253056
a56	0.0184118	0.0244206	0.0425249	0.0817477	0.135622	0.135217	0.170592	0.112667	0.0790716	0.0513979	0.0442531	0.0459132	0.0581608
a43	0.0111798	0.0133332	0.0216807	0.0417934	0.0707771	0.0866537	0.134652	0.156304	0.175968	0.112463	0.062283	0.0431223	0.0697909
a75	0.0175565	0.0206825	0.0343335	0.0587146	0.0964385	0.105478	0.147339	0.136759	0.138421	0.089558	0.0548495	0.0408879	0.0589828
a6	0.0112487	0.0108065	0.0176747	0.0288802	0.0428375	0.0584493	0.088128	0.106569	0.159613	0.0977726	0.0948483	0.09168	0.191492
a36	0.013464	0.0122468	0.0217234	0.0330045	0.0469696	0.0620828	0.0840603	0.0968751	0.154134	0.0973475	0.0976929	0.0907738	0.189625
a2	0.0287395	0.0293983	0.0436821	0.060322	0.10134	0.103732	0.144224	0.107605	0.105398	0.0635057	0.0485731	0.048783	0.114696
a10	0.0511195	0.0526389	0.0703115	0.0942665	0.121185	0.129228	0.132989	0.103108	0.0861103	0.0488351	0.0316379	0.0270905	0.0514796
a87	0.0624561	0.0636244	0.0696074	0.0890267	0.111214	0.109253	0.100191	0.0827233	0.076274	0.0606381	0.0507128	0.0524004	0.0718789
a23	0.123816	0.109307	0.0841774	0.0857531	0.0873968	0.0898745	0.0540798	0.0385279	0.0349401	0.0453314	0.0689387	0.0958822	0.0819756
a10	0.0786175	0.0626413	0.0562948	0.0714241	0.101556	0.0885981	0.0771552	0.0597658	0.0550249	0.0550312	0.0603644	0.0921533	0.141374
a24	0.0268837	0.0244924	0.0279942	0.0441721	0.0796698	0.063575	0.0635561	0.0451239	0.0388095	0.0564629	0.111631	0.159073	0.258556
a83	0.0116918	0.0113611	0.0146274	0.0214331	0.0353789	0.0294945	0.0295932	0.0229024	0.0241187	0.0469638	0.138688	0.233034	0.380714
a62	0.00456635	0.00454415	0.00524969	0.00841137	0.0148217	0.0147568	0.0150508	0.0136998	0.0163838	0.0399763	0.174149	0.316704	0.371686
a12	0.00328687	0.00445997	0.0057322	0.0121893	0.0254641	0.0266692	0.0315155	0.0341622	0.035864	0.0759319	0.232338	0.276994	0.235392
