 	le	boy	prépare	le	repas	</S>
a10	0.276109	0.204359	0.20544	0.158628	0.0978249	0.0576392
a38	0.226218	0.181549	0.222572	0.182738	0.118128	0.068794
a54	0.394948	0.236199	0.156495	0.098829	0.0564676	0.057061
a85	0.588946	0.197612	0.0788719	0.0681741	0.0345466	0.0318492
a37	0.573734	0.273865	0.0801612	0.0440927	0.0176806	0.0104667
a75	0.493666	0.336314	0.102169	0.0403519	0.0171105	0.0103884
a43	0.42778	0.305926	0.120885	0.0701514	0.0439777	0.03128
a75	0.248378	0.282748	0.215656	0.123372	0.0833223	0.0465234
a85	0.236402	0.247415	0.158793	0.134924	0.129278	0.0931877
a47	0.10369	0.153527	0.180139	0.189538	0.211216	0.16189
a7	0.0453545	0.096537	0.173701	0.198722	0.277795	0.207891
a90	0.0157265	0.0294323	0.0848753	0.168007	0.311883	0.390076
a98	0.00923249	0.0207071	0.0618547	0.147173	0.325434	0.435599
a85	0.0111079	0.0216883	0.0527631	0.11597	0.287665	0.510806
a47	0.00792406	0.0153528	0.0380691	0.0947946	0.284807	0.559052
a37	0.00379072	0.00866382	0.0238531	0.0793331	0.299642	0.584717
a98	0.0038338	0.00526084	0.0159955	0.0737106	0.296758	0.604442
a47	0.00222715	0.00419978	0.0145205	0.0653905	0.281316	0.632346
a7	0.0119263	0.0160843	0.0412715	0.109458	0.28475	0.53651
a26	0.0179629	0.0175198	0.0418717	0.126375	0.255733	0.540538
a75	0.109573	0.0912556	0.113701	0.161573	0.192891	0.331007
a5	0.012779	0.0130814	0.0308291	0.0955887	0.239156	0.608566
a36	0.012366	0.0158234	0.033806	0.104028	0.260569	0.573408
a27	0.00590049	0.00703489	0.0213823	0.0954545	0.281549	0.588679
a30	0.173846	0.132834	0.152	0.14977	0.153314	0.238235
a57	0.151487	0.145241	0.154377	0.201986	0.17399	0.172919
a10	0.0704888	0.0656345	0.108693	0.214776	0.259338	0.28107
</S>	0.0639197	0.0591533	0.0974716	0.192111	0.273637	0.313707
