 	cet	étang	est	devenu	sec	</S>
a66	0.578257	0.269227	0.0720933	0.0346929	0.0259681	0.0197619
a87	0.325617	0.147358	0.106209	0.117707	0.174012	0.129097
a23	0.461527	0.239402	0.123672	0.0707216	0.0548593	0.0498185
a87	0.29547	0.201113	0.161827	0.16373	0.116372	0.0614879
a97	0.387331	0.205223	0.154731	0.121205	0.0815661	0.0499434
a23	0.465292	0.242653	0.131235	0.0834936	0.0481986	0.0291277
a50	0.438204	0.224832	0.142741	0.122274	0.0447379	0.0272106
a88	0.441967	0.289885	0.165724	0.0791551	0.0165262	0.00674358
a71	0.34138	0.349631	0.196392	0.0796981	0.0232806	0.00961929
a75	0.172912	0.277729	0.26359	0.170269	0.0799346	0.0355644
a56	0.156898	0.303222	0.22419	0.150992	0.112114	0.0525846
a93	0.0966212	0.240296	0.234104	0.182418	0.160916	0.0856446
a56	0.0822576	0.138075	0.167293	0.220117	0.25059	0.141667
a47	0.0497355	0.072885	0.124745	0.260333	0.309673	0.182629
a62	0.0311507	0.0333588	0.0681096	0.205192	0.335669	0.326519
a0	0.00708028	0.00618197	0.0155092	0.113837	0.306834	0.550558
a56	0.00229972	0.00166444	0.00335653	0.0324996	0.178817	0.781363
a93	0.00124346	0.00110762	0.00384211	0.0418771	0.166908	0.785022
a94	0.00027611	0.000308944	0.0015786	0.0232274	0.0966738	0.877935
a26	0.000337847	0.000297957	0.00099545	0.0136932	0.0701986	0.914477
a3	0.0093704	0.00623979	0.00860373	0.0329997	0.120708	0.822078
a97	0.181355	0.070462	0.0432341	0.0771295	0.202778	0.425042
a99	0.222482	0.110781	0.0639375	0.0976578	0.198676	0.306465
a97	0.056989	0.0395025	0.0234871	0.0431477	0.179186	0.657688
</S>	0.0496712	0.0366346	0.0272885	0.0508324	0.183797	0.651776
