 	la	mère	enfonçait	son	doigt	dans	la	bouche	de	l'	enfant	pour	le	faire	vomir	</S>
a15	0.0502402	0.0615568	0.092253	0.0953888	0.0981314	0.0896228	0.0853945	0.0904849	0.0878733	0.0909906	0.0761889	0.0450573	0.0209945	0.00817708	0.00389476	0.0037511
a66	0.158948	0.191713	0.161345	0.0933669	0.0643921	0.0434415	0.0314398	0.0284959	0.0320778	0.0392781	0.0360596	0.0316951	0.0245575	0.0204616	0.0189705	0.0237569
a87	0.304848	0.251566	0.110311	0.0687476	0.0466623	0.0360923	0.0289142	0.0244533	0.0229943	0.0242086	0.0194349	0.0143859	0.00870709	0.0079652	0.0118885	0.0188212
a23	0.354778	0.324791	0.113477	0.052634	0.0265065	0.0239434	0.0186622	0.0166978	0.014364	0.0154376	0.0122043	0.00891259	0.00516599	0.00358228	0.00361037	0.00523379
a87	0.337024	0.345683	0.126328	0.0410454	0.0192115	0.0166883	0.0122224	0.011506	0.0105973	0.0116419	0.0109772	0.0107036	0.00981876	0.00879569	0.0101964	0.0175603
a23	0.325249	0.31179	0.116938	0.0599811	0.029766	0.0268087	0.0183345	0.016046	0.0149891	0.0160727	0.0151354	0.0137739	0.0113323	0.00835225	0.00677338	0.00865772
a99	0.308911	0.329392	0.122511	0.0376177	0.0183791	0.0161288	0.0130693	0.0129781	0.0132493	0.0145979	0.0155847	0.0166041	0.0170934	0.0162184	0.0202553	0.0274096
a30	0.179442	0.230152	0.155195	0.0652046	0.0401392	0.0364175	0.0291889	0.0199952	0.0203255	0.0220474	0.0216522	0.027271	0.0302289	0.0321062	0.0404296	0.0502049
a53	0.129533	0.179725	0.25575	0.110544	0.0735143	0.0471877	0.0272847	0.0144004	0.0125011	0.0127538	0.011366	0.01524	0.0179495	0.0224935	0.0316597	0.0380973
a15	0.112049	0.116484	0.175313	0.113645	0.113052	0.0609116	0.0378781	0.0221431	0.0193783	0.0181359	0.0155341	0.0201606	0.0241143	0.0384541	0.0556432	0.0571041
a79	0.0336838	0.0467603	0.123572	0.127158	0.140625	0.0826268	0.0565731	0.0350649	0.0277704	0.0238152	0.0187139	0.0224034	0.0252105	0.0408524	0.0865356	0.108634
a36	0.0233106	0.0390619	0.122818	0.119978	0.12958	0.0856398	0.0654417	0.0442968	0.036709	0.0310796	0.0252179	0.0285595	0.0288563	0.0405173	0.0773845	0.101548
a56	0.0256326	0.0347846	0.118987	0.150795	0.144679	0.111815	0.0797048	0.0568697	0.0380266	0.0292069	0.0206237	0.018861	0.0163153	0.0189251	0.0456519	0.0891227
a75	0.0333731	0.0353739	0.104256	0.148784	0.145081	0.116474	0.0860712	0.0650952	0.0473224	0.0390412	0.0290766	0.0246519	0.0202246	0.0188193	0.0305306	0.0558249
a47	0.0109717	0.0134615	0.0374105	0.08544	0.112969	0.0978817	0.0867218	0.0718525	0.0578801	0.0476801	0.0448658	0.0473019	0.0429022	0.0399141	0.0683377	0.13441
