 	j'	ai	de	l'	antipathie	pour	cet	homme	</S>
a10	0.212664	0.131724	0.0853684	0.056167	0.059947	0.0931937	0.09965	0.130848	0.130439
a87	0.140337	0.0877484	0.0651982	0.0662776	0.0723047	0.113219	0.123702	0.167197	0.164016
a23	0.193283	0.113517	0.0784363	0.0725316	0.0923553	0.0982267	0.0941302	0.129367	0.128153
a70	0.237472	0.176237	0.114921	0.0809924	0.0722191	0.099613	0.0806477	0.0757946	0.0621029
a26	0.342729	0.270292	0.178256	0.088758	0.046921	0.0359256	0.0171953	0.0111886	0.00873419
a32	0.240557	0.284606	0.210215	0.128072	0.0734421	0.0331183	0.0143668	0.00892593	0.00669735
a26	0.193149	0.219761	0.182817	0.145356	0.114615	0.0699647	0.0374068	0.0220219	0.0149083
a35	0.163942	0.155816	0.133565	0.134657	0.152729	0.119608	0.0696915	0.041701	0.02829
a76	0.151922	0.148895	0.138488	0.144019	0.147089	0.131765	0.0767755	0.0388389	0.0222083
a94	0.153855	0.133749	0.122285	0.126383	0.133977	0.144858	0.101764	0.0554026	0.027726
a70	0.114415	0.0948827	0.0912409	0.112599	0.13905	0.177731	0.144774	0.0846064	0.0407017
a35	0.0816083	0.0727355	0.0778819	0.105525	0.1357	0.178719	0.164704	0.117743	0.0653839
a24	0.0568733	0.0517618	0.0596483	0.0910934	0.135242	0.186299	0.190006	0.144613	0.0844625
a35	0.0605157	0.0563459	0.0697282	0.099308	0.125608	0.150518	0.150667	0.154516	0.132793
a24	0.0189506	0.0185215	0.0247379	0.0437777	0.0841729	0.16067	0.217656	0.236444	0.195069
a35	0.0170555	0.0187695	0.0235563	0.0365821	0.0671162	0.11514	0.181091	0.258809	0.281881
a24	0.00739077	0.00785914	0.0105164	0.0184369	0.0379212	0.0894615	0.185414	0.301217	0.341783
a98	0.0084271	0.00944635	0.0120008	0.0195008	0.0367672	0.0708764	0.144739	0.279334	0.418908
a38	0.0043693	0.00501827	0.0060969	0.00990229	0.0200762	0.054308	0.138309	0.312224	0.449695
a14	0.00349985	0.00371018	0.00471187	0.00831727	0.0157806	0.0459015	0.127092	0.298369	0.492618
a44	0.00405634	0.0039682	0.00476714	0.00941322	0.023631	0.062599	0.143096	0.310992	0.437477
a26	0.00316087	0.00298306	0.00412495	0.00801659	0.0182074	0.0518401	0.129057	0.296772	0.485838
a38	0.00443596	0.00473079	0.00595253	0.0102333	0.0189896	0.0424286	0.103695	0.273914	0.53562
a24	0.00463995	0.00459611	0.0061589	0.0107953	0.0203601	0.0450919	0.106238	0.258932	0.543188
a9	0.00479163	0.00464576	0.00631435	0.0105818	0.0210296	0.0358282	0.091778	0.249731	0.5753
a87	0.0100168	0.0112882	0.0160457	0.0233092	0.0311684	0.0585564	0.105098	0.23088	0.513637
</S>	0.010788	0.00927182	0.0123329	0.0163287	0.0294364	0.073787	0.132063	0.23867	0.477322
