 	lorsque	le	chef	est	arrivé	les	femmes	lançaient	des	cris	de	joie	</S>
a66	0.113716	0.117822	0.154695	0.181045	0.125504	0.0905195	0.0654605	0.0533112	0.0428867	0.0237365	0.0100297	0.0101644	0.0111104
a87	0.207772	0.167425	0.154543	0.108055	0.0798343	0.0490242	0.02801	0.0335255	0.0381846	0.0315292	0.0260402	0.0356378	0.0404195
a23	0.248942	0.203032	0.187794	0.112042	0.0603729	0.0275575	0.0172999	0.0171594	0.0228442	0.0265708	0.019578	0.0322035	0.0246034
a13	0.210891	0.135213	0.116318	0.0465396	0.0238909	0.0158666	0.0157737	0.0318767	0.0506805	0.0652863	0.073049	0.124678	0.0899369
a18	0.191984	0.107084	0.105301	0.0568959	0.0311056	0.025202	0.0359183	0.0394492	0.0522779	0.0710634	0.0895622	0.0946348	0.099521
a24	0.223022	0.138388	0.16716	0.0867955	0.0557325	0.0466912	0.0417196	0.0305811	0.0385983	0.0397275	0.0441403	0.0436293	0.0438139
a31	0.164387	0.120382	0.145394	0.0965657	0.08248	0.0677357	0.0468994	0.034975	0.0387409	0.040951	0.052578	0.0604326	0.0484787
a88	0.0962163	0.0847959	0.101055	0.081397	0.0850163	0.0792741	0.0715793	0.0591736	0.0547577	0.0564595	0.0652153	0.0907235	0.074337
a90	0.0916972	0.0841211	0.098768	0.0872205	0.0928535	0.0870015	0.0864044	0.0630585	0.0480883	0.0490642	0.05281	0.079652	0.079261
a15	0.0656893	0.0650613	0.0849533	0.0865705	0.0987255	0.0960118	0.098391	0.066936	0.0462	0.0451783	0.0524185	0.0820386	0.111826
a79	0.0599261	0.0688402	0.103225	0.100981	0.0909034	0.0803199	0.0745793	0.0604895	0.0444229	0.0485449	0.0567453	0.0879157	0.123106
a56	0.0631819	0.0675563	0.0869598	0.0869625	0.08291	0.0751076	0.0723642	0.0639684	0.0460966	0.0474088	0.0622605	0.0916867	0.153537
a93	0.089619	0.0939386	0.112813	0.115514	0.10445	0.0898559	0.0919924	0.0737814	0.0443659	0.0370632	0.0362904	0.0459575	0.0643586
a4	0.0683844	0.0686854	0.0797201	0.0922804	0.0900771	0.0917463	0.0980415	0.0924481	0.0586715	0.0531797	0.0533862	0.0648049	0.0885743
a94	0.0428433	0.0404964	0.0488355	0.0717867	0.0715929	0.0919816	0.127305	0.128785	0.0794515	0.065904	0.0626735	0.0699488	0.0983962
