 	saupoudre	ce	repas	d'	un	peu	de	piment	</S>
a66	0.33368	0.231537	0.118901	0.0707825	0.0689113	0.0616745	0.0440668	0.0414176	0.0290297
a87	0.566838	0.247834	0.0741975	0.0324243	0.0235006	0.0168033	0.0125841	0.0128436	0.0129749
a23	0.659467	0.189743	0.0476561	0.0158731	0.00993678	0.00978655	0.014541	0.0295839	0.0234135
a87	0.735606	0.147328	0.043618	0.0190151	0.00974475	0.00809649	0.00948073	0.0112029	0.0159078
a23	0.683763	0.203418	0.0477344	0.0141954	0.00777117	0.00708119	0.00856782	0.0122179	0.0152514
a38	0.647066	0.167986	0.0550373	0.0241483	0.0151049	0.0145462	0.0191386	0.0237737	0.033199
a40	0.516693	0.240056	0.0799399	0.0288208	0.0207145	0.0186388	0.0254189	0.0319255	0.0377925
a37	0.40331	0.312489	0.149593	0.0579792	0.0331747	0.0164399	0.0126795	0.00698578	0.00734891
a5	0.27811	0.328451	0.199226	0.102524	0.0440807	0.0196369	0.0146554	0.00669752	0.00661664
a47	0.184476	0.237951	0.228887	0.162274	0.0896243	0.04486	0.02847	0.0118146	0.0116426
a36	0.138742	0.206201	0.24082	0.179255	0.110649	0.0594748	0.0334478	0.016908	0.0145034
a7	0.0691322	0.164439	0.219172	0.201276	0.143733	0.0890206	0.0503936	0.0301042	0.0327288
a21	0.0482023	0.154186	0.189133	0.201771	0.152876	0.0972181	0.0535339	0.0412084	0.0618718
a85	0.0199869	0.0708892	0.214669	0.248167	0.216886	0.122647	0.0500914	0.0274831	0.0291805
a6	0.00985631	0.0215475	0.0696996	0.124398	0.17173	0.181495	0.150591	0.115958	0.154724
a36	0.00749083	0.0224462	0.0772524	0.146781	0.205904	0.213612	0.150138	0.0913291	0.0850464
a37	0.00798029	0.0167926	0.0416538	0.103529	0.147853	0.202799	0.173706	0.149881	0.155805
a94	0.00670042	0.0107895	0.0203224	0.0496106	0.0909723	0.189823	0.217246	0.196402	0.218134
a90	0.00478907	0.00638891	0.0100457	0.020576	0.038062	0.111495	0.211426	0.267929	0.329288
a56	0.00243665	0.00325964	0.00543823	0.0112527	0.0212442	0.0703463	0.17271	0.290448	0.422864
a43	0.00112292	0.00159521	0.00318213	0.0072105	0.0144683	0.0515949	0.1437	0.289606	0.48752
a75	0.000991576	0.00109305	0.00113781	0.00235634	0.00449336	0.018961	0.0761681	0.242004	0.652795
a92	0.000222296	0.000237429	0.000593557	0.00154694	0.0036273	0.0149917	0.0644519	0.234361	0.679968
a37	0.000171793	0.0001953	0.000472727	0.00143951	0.00379036	0.0162647	0.070035	0.241712	0.665919
a21	0.000100035	0.000137883	0.000321314	0.00102317	0.00268673	0.0111011	0.0434598	0.208293	0.732877
a12	0.000212882	0.000191553	0.000371558	0.000944427	0.00247123	0.0105393	0.0427547	0.237521	0.704993
a31	0.000130085	0.000133546	0.000263259	0.000681248	0.00196387	0.00768679	0.0324794	0.223884	0.732778
a88	0.00011097	0.00014374	0.000312277	0.000866586	0.00251178	0.00875948	0.0324794	0.197365	0.75745
a9	0.000113055	0.000185462	0.000352367	0.000989611	0.00275848	0.00897951	0.0320299	0.217233	0.737359
a87	0.00329834	0.00301887	0.00550724	0.00979048	0.0202443	0.0409255	0.0825457	0.289268	0.545402
a23	0.0961155	0.0379843	0.0583219	0.0619774	0.076358	0.0762036	0.0923833	0.233699	0.266957
a87	0.0421163	0.0242677	0.0267398	0.031271	0.0311255	0.0403607	0.0668515	0.221331	0.515936
</S>	0.0118281	0.00528786	0.00600911	0.00781423	0.00986093	0.018166	0.0462732	0.183555	0.711205
