 	la	maman	sèche	les	habits	au	soleil	</S>
a66	0.231148	0.190217	0.185789	0.152421	0.135837	0.0592416	0.0266085	0.0187377
a87	0.297359	0.16418	0.111142	0.129505	0.124609	0.0750343	0.053591	0.0445797
a97	0.335107	0.214575	0.12874	0.089272	0.0677288	0.0462815	0.0532995	0.0649969
a87	0.310728	0.233857	0.15768	0.0995764	0.0681524	0.0400629	0.039222	0.0507215
a97	0.286173	0.216052	0.156483	0.116143	0.0875924	0.0490378	0.0417545	0.046764
a13	0.313129	0.210709	0.15199	0.103185	0.0768463	0.0520141	0.04457	0.0475562
a53	0.324618	0.223219	0.161072	0.0932144	0.0711764	0.055175	0.040372	0.0311532
a93	0.316736	0.268774	0.178705	0.0845854	0.0495065	0.0393627	0.0343088	0.0280218
a98	0.240945	0.248409	0.199891	0.117503	0.0789706	0.0497468	0.0342362	0.0302988
a47	0.151569	0.17961	0.186966	0.158546	0.118481	0.0843707	0.0651419	0.0553161
a79	0.116723	0.153566	0.206333	0.164942	0.119543	0.0903211	0.0788417	0.0697296
a90	0.161142	0.191469	0.209272	0.166064	0.102571	0.0617209	0.0529376	0.0548226
a44	0.157943	0.18372	0.221615	0.18097	0.109157	0.0542884	0.0446827	0.047623
a94	0.12066	0.14936	0.218079	0.206315	0.134967	0.0614906	0.0506407	0.0584879
a0	0.0665164	0.0883779	0.179904	0.217414	0.179226	0.0889548	0.0786165	0.100991
a24	0.0446475	0.0505921	0.109166	0.169283	0.18621	0.120971	0.132643	0.186487
a62	0.0225076	0.0221547	0.0435454	0.0951296	0.176057	0.191163	0.205608	0.243834
a88	0.0124788	0.0118917	0.0246909	0.0600822	0.137458	0.216699	0.26246	0.274239
a54	0.0110559	0.0111195	0.0208992	0.0415358	0.0920702	0.160541	0.265695	0.397084
a6	0.00387273	0.00386215	0.00886763	0.020912	0.0507658	0.162857	0.282864	0.465999
a37	0.00243654	0.0025381	0.00641609	0.0169681	0.0417728	0.152026	0.290254	0.487588
a44	0.00154817	0.00135393	0.00283439	0.00771935	0.0176978	0.0878408	0.257548	0.623457
a94	0.00113561	0.000998905	0.00217792	0.00602707	0.0131235	0.0746351	0.253308	0.648594
a96	0.000735356	0.000654298	0.00136151	0.00411388	0.0101522	0.0600367	0.235809	0.687137
a24	0.000747364	0.000671085	0.0013713	0.00431472	0.0122714	0.0688644	0.247853	0.663906
a9	0.000944965	0.000840008	0.00187287	0.00563806	0.0146395	0.0730136	0.235166	0.667885
a97	0.0127592	0.0091371	0.0109006	0.0220297	0.0404513	0.109465	0.224075	0.571182
a87	0.148938	0.0827606	0.0582179	0.0702973	0.0904432	0.130505	0.165084	0.253754
a97	0.152958	0.0950643	0.0695942	0.0862531	0.110397	0.141879	0.16641	0.177444
a99	0.117105	0.067537	0.0539251	0.083794	0.118988	0.14828	0.190323	0.220048
</S>	0.0446695	0.0242729	0.0175277	0.0380741	0.0611912	0.120262	0.267558	0.426444
