 	mets	les	bananes	dans	ce	sac	rouge	</S>
a66	0.53083	0.191789	0.0659045	0.0577375	0.0452332	0.0378095	0.0334264	0.0372701
a87	0.516959	0.19492	0.0760993	0.0608885	0.0416908	0.0354563	0.0340553	0.0399312
a23	0.500003	0.168453	0.0601549	0.0356889	0.0330757	0.0427814	0.0644734	0.0953705
a40	0.313641	0.117122	0.0568054	0.0372316	0.0459788	0.0752192	0.128259	0.225744
a37	0.510917	0.199949	0.0882126	0.0582222	0.0411333	0.0317333	0.0328547	0.0369781
a54	0.415374	0.331318	0.151347	0.0449643	0.0220778	0.0102827	0.0119419	0.012694
a36	0.254748	0.324656	0.262539	0.0857196	0.0355893	0.0122444	0.0125053	0.0119985
a79	0.101828	0.201939	0.342138	0.152391	0.0837469	0.0365306	0.0413132	0.0401128
a56	0.179456	0.263122	0.280268	0.119877	0.0694326	0.0333332	0.0268391	0.0276719
a75	0.126578	0.17116	0.271488	0.156156	0.104579	0.0601395	0.0532525	0.0566471
a79	0.0887387	0.14173	0.211661	0.160497	0.131243	0.0918242	0.0842786	0.0900273
a7	0.0717291	0.117816	0.216411	0.203204	0.154522	0.0900843	0.071453	0.07478
a75	0.0251507	0.0395599	0.101524	0.188164	0.205236	0.156141	0.140964	0.143259
a56	0.0274502	0.0366811	0.0788506	0.139816	0.166412	0.172716	0.182833	0.195241
a96	0.00979876	0.0131743	0.0335069	0.103199	0.164966	0.206691	0.22525	0.243415
a21	0.00246707	0.00356965	0.0101369	0.0349924	0.0827187	0.169891	0.305903	0.390321
a5	0.00147597	0.00220457	0.00610722	0.0203997	0.0557524	0.139278	0.323976	0.450806
a56	0.000824243	0.00137344	0.00416936	0.0122294	0.0349141	0.10722	0.304739	0.534531
a96	0.000823244	0.00147748	0.00536096	0.015557	0.0417606	0.119926	0.296391	0.518704
a88	0.00110288	0.00205559	0.00668179	0.0176492	0.0439901	0.132946	0.276171	0.519403
a71	0.00104954	0.00201798	0.00531872	0.0131951	0.0295769	0.0979663	0.251117	0.599758
a9	0.00478024	0.00791373	0.0172422	0.0251808	0.0441315	0.109899	0.280194	0.510659
a97	0.0631889	0.0629595	0.0839089	0.072818	0.0860797	0.118548	0.195606	0.31689
a87	0.227879	0.134034	0.0949381	0.066704	0.0715543	0.0918032	0.132467	0.18062
a23	0.0711803	0.0499482	0.0483952	0.0417489	0.0607255	0.106186	0.231075	0.390741
a87	0.0519272	0.0308136	0.0376441	0.0429352	0.0631509	0.104155	0.25138	0.417994
</S>	0.0142102	0.0134177	0.0286304	0.0399934	0.0630415	0.123384	0.278989	0.438334
