 	cette	eau	froide	est	à	moi	et	la	chaude	est	à	toi	</S>
a10	0.187376	0.171798	0.127736	0.0877566	0.0771064	0.0724891	0.0714586	0.0634987	0.0694	0.0322859	0.0158113	0.0122651	0.0110182
a87	0.185353	0.142774	0.0848676	0.0583343	0.0575141	0.0493813	0.0618279	0.0821452	0.137051	0.0617265	0.0310695	0.0242326	0.0237225
a23	0.149607	0.0913554	0.078197	0.0735087	0.0840617	0.0716867	0.0665006	0.0624031	0.0688386	0.0598544	0.0577261	0.0651127	0.0711479
a83	0.177331	0.0903863	0.073725	0.097095	0.120188	0.100041	0.0761657	0.0505614	0.0466852	0.0319817	0.034926	0.0465929	0.0543214
a54	0.187013	0.157689	0.136861	0.114126	0.0759251	0.0583967	0.0488676	0.0378613	0.0301964	0.0215608	0.0293227	0.0435078	0.0586732
a47	0.181323	0.194212	0.193995	0.123122	0.071608	0.0471201	0.0362075	0.0275103	0.0244878	0.0178391	0.0207567	0.0276987	0.0341205
a37	0.171004	0.182384	0.179103	0.09821	0.0759257	0.0603818	0.0470295	0.0349319	0.0369315	0.0221249	0.0241458	0.0316831	0.0361436
a98	0.116619	0.132104	0.183361	0.131189	0.118345	0.0997207	0.0723622	0.0471577	0.0383922	0.0142746	0.0118843	0.0158194	0.0187696
a47	0.123419	0.128905	0.134156	0.0959659	0.0847633	0.0828598	0.0784033	0.0707225	0.067368	0.0346861	0.0287145	0.033414	0.0366231
a36	0.124523	0.117569	0.135375	0.113059	0.096075	0.0925219	0.0789863	0.0637122	0.0551789	0.0249192	0.0237098	0.0333634	0.0410079
a21	0.105892	0.0922224	0.111454	0.125099	0.132696	0.136704	0.103575	0.07039	0.0452753	0.0171591	0.014952	0.0200754	0.0245059
a61	0.0885013	0.0815661	0.0949769	0.121217	0.124062	0.132491	0.114921	0.0922375	0.0635648	0.0264291	0.0180822	0.019396	0.0225553
a34	0.056092	0.0489104	0.0536414	0.0792114	0.104997	0.133084	0.134832	0.131791	0.0957334	0.0461508	0.0347197	0.0375073	0.0433294
a98	0.0412507	0.0380572	0.041385	0.0562979	0.090967	0.132497	0.1522	0.153698	0.113831	0.0567107	0.0386069	0.0397884	0.0447107
a79	0.0369046	0.0295832	0.0306374	0.0466157	0.0624327	0.0903672	0.118526	0.126421	0.102452	0.0955374	0.081501	0.0819919	0.0970304
a98	0.0221856	0.019003	0.0253959	0.0465424	0.0611304	0.0909742	0.124043	0.133332	0.109387	0.0949091	0.0829959	0.08541	0.104692
a79	0.0227306	0.0189082	0.0275023	0.0508303	0.0619196	0.0892219	0.113535	0.107468	0.0821902	0.0827696	0.0953915	0.109317	0.138216
a37	0.0136588	0.0115199	0.0199915	0.0392775	0.0505042	0.0739755	0.115924	0.138569	0.0964155	0.0993381	0.0950887	0.106573	0.139164
a47	0.0131599	0.0111815	0.0188672	0.0362169	0.0508509	0.0710839	0.103755	0.127789	0.0946328	0.109433	0.101604	0.113663	0.147762
a36	0.0224397	0.0185251	0.0229353	0.0358037	0.0574856	0.081104	0.1096	0.11681	0.0814974	0.078239	0.0833167	0.120579	0.171663
a2	0.0292096	0.0214364	0.0239753	0.0326905	0.0494982	0.0660267	0.0945662	0.103052	0.0748245	0.0829119	0.0966563	0.136792	0.18836
a57	0.0557238	0.0379189	0.0389508	0.0355679	0.0429637	0.0497035	0.0689135	0.0789257	0.0662134	0.068035	0.0991854	0.152658	0.20524
a87	0.0617279	0.0312592	0.0300734	0.0405217	0.0460254	0.0493067	0.0700005	0.0837909	0.0684276	0.0704104	0.0997747	0.149559	0.199123
a23	0.0711321	0.0509794	0.0476172	0.0351797	0.0381534	0.0359189	0.0486957	0.0541194	0.0764263	0.0769816	0.112496	0.171043	0.181258
a99	0.015289	0.0110906	0.0108404	0.0189294	0.025989	0.0299268	0.0366722	0.0462836	0.0837931	0.103831	0.160523	0.21702	0.239812
a40	0.00118528	0.00132158	0.00287811	0.00721499	0.0107377	0.0137684	0.0207024	0.0283963	0.0554351	0.111997	0.186492	0.25659	0.303282
a6	0.00716755	0.00780851	0.0139474	0.017791	0.0226833	0.0309874	0.0412866	0.0455292	0.0531158	0.0749628	0.138626	0.234045	0.312049
a37	0.00388239	0.00536559	0.0104761	0.0152291	0.0240394	0.0384588	0.0512449	0.053566	0.0607094	0.0780066	0.131926	0.219758	0.307338
a61	0.00197471	0.00219923	0.00372723	0.00604989	0.00951514	0.0163951	0.0268474	0.0344126	0.0443039	0.0866303	0.173999	0.26046	0.333486
a21	0.00180753	0.00184242	0.00272132	0.00417863	0.00648751	0.0105531	0.0169659	0.0233846	0.0280552	0.0690001	0.174789	0.289665	0.37055
a85	0.00758203	0.00647465	0.00799327	0.0102025	0.0130424	0.0174044	0.0249956	0.0317907	0.0330203	0.0785361	0.181186	0.26367	0.324102
a37	0.00346542	0.00347601	0.0065133	0.0151544	0.0175527	0.0226933	0.0309941	0.0350865	0.0296075	0.0647198	0.157811	0.254254	0.358672
a21	0.000472086	0.000412222	0.000822754	0.00196131	0.0033957	0.00546859	0.00891676	0.0120508	0.0105186	0.0315885	0.127383	0.295321	0.501689
a61	0.00320889	0.00288713	0.00540588	0.00967613	0.0124012	0.0153428	0.0200915	0.0248647	0.0239571	0.0643042	0.171204	0.27012	0.376537
a37	0.00193402	0.00169913	0.00316803	0.00604228	0.00814903	0.010521	0.0135183	0.0163019	0.0166052	0.03856	0.12211	0.265976	0.495415
a85	0.000830649	0.000754859	0.00128348	0.00249173	0.00387498	0.00536293	0.00804593	0.0114907	0.0130754	0.0280293	0.104227	0.272176	0.548357
a37	0.00035963	0.00035592	0.000865813	0.00262171	0.00489428	0.0079646	0.0123969	0.0154795	0.0128555	0.0348013	0.126613	0.281823	0.498969
a26	0.000288961	0.000267293	0.000516208	0.0010264	0.00185425	0.0029476	0.00539144	0.00848482	0.0081232	0.0259224	0.113239	0.285049	0.54689
a82	0.00829332	0.00722991	0.010224	0.0105231	0.0122479	0.0139439	0.020068	0.0259084	0.028297	0.065727	0.164765	0.259239	0.373533
a10	0.0580219	0.0491363	0.0576568	0.0577166	0.0447162	0.0373606	0.0377448	0.0425098	0.0520659	0.0906665	0.13783	0.153795	0.18078
a87	0.112123	0.0964809	0.0792059	0.0517501	0.0399889	0.0312074	0.0342765	0.0389012	0.0530927	0.0746875	0.111882	0.129477	0.146927
a23	0.0696372	0.0586636	0.0519851	0.0427672	0.0464754	0.0453783	0.0596357	0.0670105	0.0892534	0.0983538	0.11473	0.124258	0.131852
a87	0.0154377	0.016594	0.0149086	0.0152756	0.0194743	0.0204923	0.0293607	0.0381687	0.0572999	0.124928	0.192048	0.227274	0.228738
</S>	0.004675	0.00582107	0.0063418	0.00714882	0.0105389	0.0120877	0.0179201	0.0241103	0.0413879	0.0886082	0.177329	0.28121	0.322822
