 	je	trie	les	grains	d'	arachide	</S>
a66	0.296583	0.154616	0.153317	0.126131	0.110968	0.0983146	0.0600714
a87	0.256912	0.189992	0.117762	0.0939643	0.0801632	0.11134	0.149867
a23	0.687239	0.169575	0.0400194	0.0259415	0.020374	0.0248423	0.0320093
a13	0.600391	0.183451	0.0471241	0.0469878	0.0351123	0.0429275	0.0440055
a54	0.27852	0.144384	0.0917892	0.182161	0.114637	0.108038	0.0804707
a5	0.270208	0.298087	0.133732	0.133991	0.0699293	0.0503814	0.0436705
a43	0.147607	0.325833	0.18071	0.129438	0.0843553	0.0606776	0.071379
a11	0.115465	0.265421	0.188376	0.129531	0.108278	0.0853261	0.107604
a90	0.0910646	0.148837	0.145665	0.118416	0.138107	0.160261	0.19765
a25	0.0545546	0.12178	0.205945	0.167159	0.158477	0.137713	0.154371
a79	0.0383854	0.0885479	0.199461	0.182051	0.162394	0.148412	0.180748
a44	0.0188633	0.0276022	0.12024	0.175731	0.190002	0.213022	0.25454
a11	0.020056	0.0259509	0.0982411	0.134225	0.183012	0.226456	0.312059
a4	0.00555021	0.011528	0.0259392	0.0532863	0.134266	0.295068	0.474362
a13	0.00350981	0.00873432	0.0178685	0.0392253	0.102882	0.287946	0.539834
a9	0.00235885	0.00721687	0.015655	0.0419867	0.100852	0.275283	0.556648
a99	0.0191502	0.0119876	0.0202675	0.04501	0.0960552	0.246452	0.561078
a87	0.0894758	0.0325514	0.0415975	0.0649101	0.107407	0.222615	0.441443
a23	0.366804	0.0686637	0.053491	0.0593119	0.0843	0.144491	0.222938
a97	0.315038	0.0955587	0.0607629	0.0456632	0.0696304	0.118769	0.294578
a87	0.130491	0.0720711	0.0611947	0.0529712	0.0959659	0.173915	0.413391
a23	0.190682	0.111466	0.066449	0.0570359	0.0836491	0.146385	0.344332
a87	0.249682	0.0982903	0.0548992	0.0424588	0.0666168	0.131843	0.35621
</S>	0.205811	0.0946528	0.0829981	0.0658098	0.106913	0.141491	0.302325
