 	je	regrette	d'	avoir	épousé	cet	homme	</S>
a66	0.311771	0.379965	0.106004	0.0671139	0.0554481	0.0382867	0.0241743	0.0172373
a87	0.470424	0.25106	0.088948	0.100116	0.0413587	0.0162479	0.016946	0.0148991
a23	0.586645	0.219871	0.0997548	0.0346723	0.0197906	0.0119324	0.0124925	0.0148411
a87	0.396311	0.298824	0.150158	0.0588232	0.0247431	0.015337	0.0226158	0.0331892
a23	0.409604	0.312643	0.129181	0.056457	0.029072	0.016626	0.021337	0.0250798
a18	0.346169	0.340405	0.111528	0.0504677	0.0255301	0.0258477	0.0415289	0.058524
a50	0.223219	0.326235	0.170495	0.10622	0.0368991	0.0337561	0.0471461	0.0560298
a88	0.169055	0.165657	0.195517	0.225373	0.127286	0.0416559	0.0377551	0.0377006
a61	0.0826036	0.0939451	0.197846	0.26307	0.187161	0.0694446	0.0516592	0.0542705
a75	0.0533672	0.0651188	0.164923	0.280815	0.265101	0.0804725	0.0458105	0.0443916
a92	0.0373995	0.0408213	0.132991	0.376478	0.271885	0.0690286	0.0350741	0.0363223
a37	0.0558902	0.0416481	0.144807	0.346991	0.247187	0.0867065	0.0400094	0.0367609
a92	0.0647491	0.0350341	0.102705	0.29063	0.294362	0.117328	0.0510035	0.0441875
a56	0.0444023	0.0179453	0.0464465	0.195803	0.286594	0.202145	0.109216	0.0974487
a61	0.031275	0.0111659	0.0229119	0.110602	0.257361	0.277596	0.150932	0.138157
a12	0.0112601	0.00389486	0.0081914	0.0442517	0.172284	0.346029	0.224708	0.189382
a56	0.00491113	0.00167384	0.00381362	0.0179426	0.0838238	0.327294	0.2971	0.263442
a93	0.00249448	0.000897313	0.00150743	0.0067176	0.0405739	0.267725	0.346735	0.333349
a56	0.00117352	0.000416863	0.000798282	0.00400401	0.02966	0.202906	0.353944	0.407097
a93	0.000343756	0.000105953	0.000208383	0.00104549	0.00785847	0.109578	0.337547	0.543313
a62	0.000283923	9.39194e-05	0.000191867	0.000902727	0.00717227	0.0982601	0.320042	0.573054
a88	0.000274306	6.34758e-05	0.000185593	0.00092471	0.00468624	0.0696337	0.339871	0.584361
a38	0.000190103	2.90751e-05	7.67873e-05	0.000658242	0.00408984	0.0662591	0.342222	0.586475
a70	0.000856529	0.000183324	0.000428759	0.0024568	0.0126161	0.0882101	0.329591	0.565658
a62	0.000153593	2.14201e-05	8.07012e-05	0.000969548	0.005077	0.0591844	0.331771	0.602742
a96	0.000132899	2.01949e-05	7.22648e-05	0.000869739	0.00504954	0.0633154	0.318616	0.611924
a75	0.000105166	2.91912e-05	0.000108226	0.000887463	0.00455292	0.0518945	0.279721	0.662701
a79	3.35726e-05	1.29818e-05	4.46071e-05	0.000303474	0.00175636	0.0260186	0.234905	0.736925
a44	1.9911e-05	6.21586e-06	2.08932e-05	0.000200196	0.00223026	0.0367906	0.270715	0.690017
a57	4.53344e-05	1.29491e-05	5.94277e-05	0.000581988	0.00377733	0.0401055	0.2648	0.690617
a82	0.000441499	0.000159095	0.000516353	0.00174043	0.00646772	0.0406727	0.235523	0.714479
a3	0.00918891	0.00488214	0.00598874	0.0102976	0.0231788	0.0726786	0.233623	0.640162
a87	0.0595942	0.0326947	0.0171586	0.0149479	0.0271406	0.0652603	0.200068	0.583136
a23	0.234747	0.106298	0.0584697	0.0502578	0.0432799	0.0634294	0.163034	0.280484
a87	0.091561	0.0319236	0.0307758	0.0170379	0.0297295	0.0905267	0.272211	0.436235
</S>	0.00572735	0.00249912	0.00364604	0.00476664	0.0167243	0.0923267	0.27707	0.59724
