 	j'	entends	la	pluie	qui	tombe	</S>
a66	0.367218	0.112493	0.107444	0.112759	0.105034	0.0969033	0.0981487
a87	0.192373	0.0899817	0.119368	0.111423	0.115755	0.174281	0.196819
a97	0.258504	0.125672	0.113563	0.0893738	0.105519	0.159505	0.147864
a82	0.228307	0.139691	0.124587	0.103056	0.111351	0.154788	0.13822
a53	0.234538	0.149687	0.128298	0.112227	0.112723	0.137059	0.125468
a15	0.282823	0.111216	0.0768401	0.0837956	0.113172	0.183254	0.1489
a20	0.20132	0.163335	0.158206	0.121839	0.131294	0.11733	0.106676
a69	0.270807	0.194721	0.155847	0.103079	0.10337	0.092862	0.0793143
a90	0.158772	0.149777	0.140182	0.106063	0.123656	0.160437	0.161113
a98	0.139644	0.133243	0.145204	0.112401	0.125584	0.165857	0.178067
a15	0.141689	0.140966	0.151133	0.117524	0.132912	0.160344	0.155433
a44	0.0624453	0.0829592	0.11259	0.118581	0.14473	0.227071	0.251623
a4	0.008777	0.0186466	0.0416567	0.0678774	0.130249	0.313034	0.419759
a26	0.00199616	0.00505096	0.0143939	0.0362756	0.0992802	0.321447	0.521556
a82	0.000924976	0.0032575	0.0105538	0.0321622	0.0827107	0.286702	0.583689
a97	0.00683716	0.00719704	0.0134394	0.0403281	0.0873316	0.277013	0.567854
a87	0.0545787	0.0506366	0.0686401	0.10558	0.153412	0.253736	0.313416
a97	0.042904	0.042425	0.073824	0.12655	0.183298	0.271467	0.259532
</S>	0.0278255	0.0377751	0.0849454	0.140549	0.203492	0.24985	0.255563
